Sample ID,186.M.C.3,187.M.C.3,191.M.C.3,192.M.C.3,198.M.C.3,228.M.C.3,229.M.C.3,269.M.S.3,270.M.S.3,271.M.S.3,272.M.S.3,255.M.C.3,256.M.C.3,27.M.S.4,28.M.S.4,37.M.S.3,80.M.S.3,81.M.S.3,49.M.S.3,52.M.S.3,55.M.S.3,58.M.S.3,54.M.S.3,43.M.S.3,56.M.S.3,77.M.S.3,75.M.S.3,61.M.S.3,47.M.S.3,71.M.S.3,65.M.S.3,44.M.S.3,67.M.S.3,41.M.S.3
Group,Mutant_Cohoused,Mutant_Cohoused,Mutant_Cohoused,Mutant_Cohoused,Mutant_Cohoused,Mutant_Cohoused,Mutant_Cohoused,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Cohoused,Mutant_Cohoused,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate
Formate,0.923529412,1.554054054,1.111363636,1.322222222,1.75,2.688888889,1.84,0.724285714,1.26,0.579487179,0.898333333,1.220930233,0.705555556,0.559322034,1.219512195,1.19047619,0.669410151,0.417094017,1.150976909,0.462756052,0.720827179,0.699115044,0.67798913,0.633293124,0.861486486,0.4417238,0.586206897,0.838258165,0.698300283,0.622282609,1.343137255,0.559509202,0.863261944,1.069672131
Fucose,0.562745098,0.589189189,0.825,0.666666667,0.826470588,1.083333333,0.557142857,0.355714286,0.665,0.423076923,0.471666667,0.658139535,0.436111111,0.651129944,1.223946785,1.10952381,0.740740741,0.526495726,0.827708703,0.248603352,1.00295421,0.513274336,0.644021739,0.84318456,0.653716216,0.572967679,0.371034483,1.493001555,1.660056657,0.660326087,1.642156863,0.82208589,1.589785832,1.055327869
Fumarate,0.08627451,0.294594595,0.115909091,0.105555556,0.117647059,0.266666667,0.2,0.05,0.198333333,0.028205128,0.106666667,0.113953488,0.105555556,0.084745763,0.197339246,0.161904762,0.192043896,0.123076923,0.081705151,0.120111732,0.134416544,0.157817109,0.157608696,0.229191797,0.201013514,0.135161606,0.162758621,0.107309487,0.107648725,0.086956522,0.151960784,0.111656442,0.146622735,0.129098361
Galactose,3.180392157,4.594594595,6.415909091,3.194444444,2.911764706,5.838888889,2.474285714,1.702857143,4.93,2.084615385,2.79,2.837209302,2.484722222,2.514124294,3.505543237,3.25952381,3.465020576,2.158974359,2.145648313,1.689013035,3.165435746,2.634218289,4.362771739,6.313630881,4.415540541,2.098922625,1.205517241,4.623639191,6.885269122,2.55298913,5.794117647,2.435582822,8.63261944,4.81557377
Glucose 1-phosphate,4.22745098,0.591891892,0.234090909,4.4,1.694117647,2.711111111,13.94,2.124285714,0.705,1.393589744,1.751666667,6.076744186,1.675,1.396892655,0.929046563,1.545238095,0.403292181,0.251282051,1.069271758,0.570763501,0.217134417,0.560471976,0.649456522,0.365500603,0.516891892,0.401567091,1.085517241,0.390357698,0.577903683,0.86548913,0.720588235,0.279754601,0.663920923,0.407786885
Glutamate,2.539215686,2.586486486,1.179545455,6.408333333,1.55,3.283333333,6.571428571,1.674285714,5.401666667,0.880769231,2.306666667,3.813953488,2.993055556,2.857344633,2.853658537,4.604761905,3.190672154,2.316239316,0.797513321,2.453445065,1.064992614,2.672566372,3.4375,6.306393245,8.697635135,2.686581783,3.773793103,1.33437014,3.077903683,3.960597826,3.181372549,2.849079755,2.774299835,1.981557377
Glutamine,0.715686275,0.986486486,0.525,0.894444444,1.070588235,1.055555556,2.497142857,0.757142857,1.595,0.258974359,1.025,0.627906977,0.386111111,0.338983051,0.481152993,0.271428571,0.66255144,0.412820513,0.367673179,0.717877095,0.283604136,0.517699115,0.645380435,0.890229192,0.717905405,0.465230167,0.657931034,0.231726283,0.331444759,0.65625,0.558823529,0.403680982,0.667215815,0.319672131
Glycine,1.168627451,1.302702703,0.606818182,1.902777778,1.026470588,1.161111111,3.451428571,0.902857143,3.02,0.416666667,1.315,1.706976744,0.869444444,0.560734463,1.308203991,1.192857143,1.017832647,0.677777778,0.470692718,0.905959032,0.446085672,0.790560472,0.974184783,1.431845597,1.548986486,0.745347698,1.20137931,0.527216174,0.814447592,1.065217391,0.93872549,0.660122699,1.169686985,0.606557377
Glycocholate,0.009803922,0.051351351,0.05,0.061111111,0.064705882,0.222222222,0.042857143,0.017142857,0.02,0.053846154,0.11,0.053488372,0.004166667,0.207627119,0.135254989,0.069047619,0.403292181,0.155555556,0.097690941,0.116387337,0.029542097,0.185840708,0.048913043,0.310012063,0.076013514,0.237022527,0.074482759,0.251944012,0.106232295,0.133152174,0.25,0.440490798,0.164744646,0.096311475
Guanosine monophosphate,1.768627451,1.397297297,1.05,1.483333333,0.858823529,2.833333333,4.128571429,0.85,0.361666667,0.606410256,1.363333333,1.795348837,0.890277778,0.711864407,0.631929047,0.604761905,0.717421125,0.303418803,0.440497336,0.434823091,0.46676514,0.932153392,0.220108696,0.243667069,0.58277027,0.484818805,0.590344828,0.287713841,0.420679887,0.888586957,0.291666667,0.483435583,0.263591433,0.713114754
Hexanoylcarnitine,0.058823529,0.17027027,0.143181818,0.108333333,0.547058824,0.466666667,0.414285714,0.09,0.221666667,0.228205128,0.116666667,0.134883721,0.080555556,0.042372881,0.305986696,0.038095238,0.100137174,0.074358974,0.284191829,0.049348231,0.05465288,0.078171091,0.050271739,0.074788902,0.097972973,0.036238981,0.062068966,0.079315708,0.062322946,0.050271739,0.078431373,0.055214724,0.052718287,0.057377049
Histamine,0.38627451,0.840540541,0.265909091,0.325,0.264705882,0.127777778,0.24,0.12,0.423333333,0.083333333,0.108333333,0.151162791,0.102777778,0.134180791,0.210643016,0.197619048,0.155006859,0.073504274,0.168738899,0.074487896,0.048744461,0.163716814,0.108695652,0.114595899,0.091216216,0.052889324,0.131034483,0.065318818,0.117563739,0.153532609,0.205882353,0.100613497,0.166392092,0.077868852
Histidine,0.4,0.551351351,0.422727273,0.85,0.279411765,1.055555556,1.671428571,0.35,0.518333333,0.134615385,0.306666667,0.346511628,0.265277778,0.314971751,0.268292683,0.233333333,0.426611797,0.265811966,0.159857904,0.297020484,0.147710487,0.362831858,0.135869565,0.209891435,0.344594595,0.195886386,0.137931034,0.209953344,0.218130312,0.422554348,0.458333333,0.322699387,0.428336079,0.219262295
Hypoxanthine,0.111764706,0.154054054,0.05,0.111111111,0.058823529,0.15,0.077142857,0.038571429,0.045,0.034615385,0.065,0.090697674,0.091666667,0.032485876,0.035476718,0.088095238,0.039780521,0.024786325,0.051509769,0.027001862,0.033973412,0.033923304,0.051630435,0.02774427,0.038851351,0.021547502,0.031724138,0.045101089,0.052407932,0.039402174,0.071078431,0.057668712,0.047775947,0.053278689
