Sample ID,186.M.C.3,187.M.C.3,191.M.C.3,192.M.C.3,198.M.C.3,228.M.C.3,229.M.C.3,269.M.S.3,270.M.S.3,271.M.S.3,272.M.S.3,255.M.C.3,256.M.C.3,27.M.S.4,28.M.S.4,37.M.S.3,80.M.S.3,81.M.S.3,49.M.S.3,52.M.S.3,55.M.S.3,58.M.S.3,54.M.S.3,43.M.S.3,56.M.S.3,77.M.S.3,75.M.S.3,61.M.S.3,47.M.S.3,71.M.S.3,65.M.S.3,44.M.S.3,67.M.S.3,41.M.S.3
Group,Mutant_Cohoused,Mutant_Cohoused,Mutant_Cohoused,Mutant_Cohoused,Mutant_Cohoused,Mutant_Cohoused,Mutant_Cohoused,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Cohoused,Mutant_Cohoused,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate
Phenylacetic acid,0.245098039,0.359459459,0.409090909,0.702777778,0.338235294,0.344444444,0.78,0.312857143,0.561666667,0.192307692,0.393333333,0.444186047,0.265277778,0.330508475,0.281596452,0.302380952,0.297668038,0.17008547,0.278863233,0.280260708,0.209748892,0.262536873,0.392663043,0.442702051,0.295608108,0.327130264,0.213793103,0.486780715,0.179886686,0.380434783,0.602941176,0.085889571,0.639209226,0.483606557
Phenylalanine,0.964705882,1.237837838,0.811363636,0.819444444,0.785294118,1.827777778,2.671428571,0.77,2.433333333,0.408974359,0.846666667,0.993023256,0.584722222,0.507062147,1.374722838,0.926190476,0.77914952,0.572649573,0.538188277,0.615456238,0.53323486,0.548672566,0.786684783,1.039806996,1.02027027,0.507345739,0.808275862,0.618973561,0.873937677,0.876358696,1.325980392,0.592638037,1.296540362,0.577868852
Proline,1.384313725,1.591891892,0.515909091,1.236111111,0.691176471,1.894444444,3.737142857,0.92,3.333333333,0.519230769,1.866666667,1.739534884,0.877777778,0.666666667,1.764966741,1.814285714,0.990397805,0.787179487,0.808170515,1.018621974,0.379615953,0.852507375,1.225543478,1.097708082,1.091216216,0.826640548,1.220689655,0.632970451,0.607648725,1.077445652,0.875,0.904294479,1.560131796,0.74795082
Propionate,5.721568627,7.989189189,5.563636364,13.05833333,4.532352941,2.905555556,10.1,5.097142857,4.658333333,4.837179487,5.415,6.91627907,3.4875,3.718926554,2.88691796,3.85,2.964334705,1.474358974,1.884547069,2.261638734,3.056129985,5.738938053,3.608695652,2.747889023,2.231418919,3.391772772,4.776551724,1.276827372,1.124645892,4.75951087,2.681372549,2.87607362,1.596375618,1.233606557
Ribose,3.723529412,6.154054054,2.309090909,6.469444444,0.758823529,3.627777778,6.388571429,3.194285714,5.198333333,0.866666667,3.568333333,4.979069767,2.973611111,3.258474576,3.574279379,6.026190476,3.809327846,1.791452991,1.98401421,2.148044693,1.144756278,3.221238938,3.277173913,2.71893848,4.228040541,2.362389814,3.303448276,1.737169518,3.579320113,3.707880435,3.519607843,2.359509202,5.39538715,3.928278689
Succinate,1.647058824,2.710810811,2.2,3.233333333,1.844117647,1.116666667,13.32285714,2.478571429,1.953333333,0.6,3.098333333,3.955813953,1.644444444,1.439265537,1.44345898,1.223809524,1.368998628,0.816239316,0.390763766,1.373370577,1.410635155,1.119469027,1.319293478,1.627261761,1.886824324,1.104799216,2.197241379,0.491446345,0.706798867,1.538043478,0.830882353,0.773006135,0.635914333,0.993852459
Taurine,0.405882353,0.559459459,1.402272727,0.8,1.814705882,3.111111111,2.32,0.771428571,0.9,0.156410256,0.848333333,1.360465116,0.448611111,0.498587571,7.463414634,0.311904762,1.263374486,1.123931624,5.674955595,0.273743017,0.426883309,0.513274336,0.486413043,0.496984318,0.380067568,2.02546523,0.431724138,0.810264386,0.185552408,0.535326087,2.110294118,1.36196319,0.528830313,0.430327869
Threonine,2.068627451,1.386486486,0.565909091,2.636111111,1.038235294,2.183333333,3.437142857,0.962857143,2.265,0.371794872,1.17,1.63255814,0.875,0.444915254,1.097560976,0.966666667,0.772290809,0.538461538,0.523978686,0.822160149,0.567208272,0.896755162,0.710597826,1.416164053,1.532094595,0.688540646,1.424827586,0.811819596,1.004249292,1.25,1.12745098,0.716564417,1.304777595,1.047131148
Thymine,0.249019608,0.7,0.079545455,0.302777778,0.129411765,0.322222222,0.377142857,0.09,0.356666667,0.056410256,0.166666667,0.269767442,0.2125,0.125706215,0.130820399,0.228571429,0.134430727,0.083760684,0.150976909,0.150837989,0.067946824,0.228613569,0.289402174,0.373944511,0.273648649,0.123408423,0.135172414,0.152410575,0.382436261,0.182065217,0.303921569,0.181595092,0.471169687,0.106557377
Trimethylamine,0.017647059,0.043243243,0.034090909,0.033333333,0.038235294,0.088888889,0.025714286,0.015714286,0.023333333,0.012820513,0.023333333,0.030232558,0.016666667,0.02259887,0.048780488,0.047619048,0.034293553,0.018803419,0.028419183,0.020484171,0.016248154,0.016224189,0.023097826,0.021712907,0.025337838,0.016650343,0.017931034,0.031104199,0.028328612,0.02173913,0.036764706,0.024539877,0.036243822,0.036885246
