,74.C.S.6,76.C.S.6,63.C.S.6,64.C.S.6,72.C.S.6,73.C.S.6,20.C.S.5,21.C.S.5,62.C.S.8,188.C.C.6,189.C.C.6,190.C.C.6,193.C.C.6,194.C.C.6,195.C.C.6,197.C.C.6,199.C.C.6,225.C.C.6,226.C.C.6,227.C.C.6,237.C.C.6,238.C.C.6,241.C.C.6,243.C.C.6,253.C.C.6,254.C.C.6,257.C.C.6,261.C.C.6,262.C.C.6,263.C.C.6
,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused
Choline,0.942028986,1.774193548,4.863453815,1.561669829,1.377431907,3.692307692,2.960264901,3.88691796,1.299120235,0.237410072,0.461340206,1.121900826,0.981021898,0.273972603,0.374350087,0.352,0.947148818,0.304948216,0.191321499,0.328593997,0.121034078,0.348547718,0.205382436,0.311890838,1.234177215,0.178333333,0.149758454,0.304812834,0.381125227,0.323717949
Cytidine monophosphate,0.304347826,0.887096774,1.168674699,0.385199241,1.60311284,0.596673597,1.549668874,0.370288248,1.850439883,0.512230216,0.367268041,0.621900826,0.119708029,0.159817352,0.409012132,0.168,0.293463143,0.499424626,0.230769231,0.372827804,0.28907168,0.394190871,0.417847025,0.512670565,0.42721519,0.265,0.368357488,1.131016043,0.57168784,0.427884615
D-Glucose,5.215320911,3.903225806,16.76305221,4.007590133,20.96498054,3.446985447,5.513245033,13.05986696,5.140762463,1.358273381,2.055412371,6.466942149,4.487591241,0.659817352,1.819757366,1.469333333,6.755215577,1.630609896,0.42800789,0.808846761,0.197414806,1.798755187,2.290368272,1.228070175,4.617088608,1.103333333,0.194444444,0.713903743,0.622504537,0.831730769
Dimethylamine,0.314699793,0.052419355,0.064257028,0.013282732,0.023346304,0.014553015,0.059602649,0.015521064,0.023460411,0.005755396,0.006443299,0.006198347,0.005839416,0.00456621,0.010398614,0.018666667,0.005563282,0.004602992,0.01183432,0.009478673,0.007050529,0.004149378,0.007082153,0.009746589,0.015822785,0.008333333,0.007246377,0.013368984,0.001814882,0.004807692
Ferulate,0.196687371,0.701612903,0.152610442,0.111954459,0.354085603,0.076923077,0.221854305,0.090909091,0.269794721,0.221582734,0.167525773,0.194214876,0.103649635,0.067351598,0.124783362,0.261333333,0.150208623,0.101265823,0.268244576,0.143759874,0.104582844,0.284232365,0.212464589,0.276803119,0.452531646,0.163333333,0.167874396,0.409090909,0.266787659,0.254807692
Formate,1.163561077,2.721774194,2.578313253,1.127134725,2.369649805,1.257796258,1.78807947,0.871396896,1.718475073,0.656115108,0.548969072,1.061983471,0.694890511,0.488584475,0.7694974,1.405333333,0.66759388,0.665132336,1.015779093,0.737756714,0.547591069,0.939834025,0.729461756,0.95711501,1.655063291,0.846666667,1.019323671,1.494652406,0.827586207,0.84775641
Fucose,0.293995859,1.592741935,2.389558233,0.470588235,1.042801556,0.74012474,2.122516556,1.037694013,0.824046921,0.620143885,0.427835052,0.79338843,0.198540146,0.7043379,0.24610052,0.842666667,0.258692629,0.921749137,0.556213018,0.434439179,0.490011751,0.975103734,0.617563739,0.8791423,1.591772152,0.626666667,0.34057971,1.061497326,0.969147005,0.636217949
Fumarate,0.072463768,0.157258065,0.40562249,0.161290323,0.303501946,0.158004158,0.334437086,0.128603104,0.425219941,0.139568345,0.073453608,0.320247934,0.093430657,0.055936073,0.08492201,0.12,0.080667594,0.113924051,0.084812623,0.194312796,0.205640423,0.099585062,0.062322946,0.105263158,0.129746835,0.126666667,0.120772947,0.310160428,0.139745917,0.149038462
Galactose,1.944099379,7.072580645,9.16064257,3.117647059,4.151750973,4.912681913,7.298013245,4.128603104,3.580645161,2.610071942,1.572164948,5.960743802,1.367883212,3.111872146,1.511265165,2.848,1.663421419,4.642117376,2.313609467,1.693522907,1.96239718,4.417012448,3.26203966,4.575048733,4.518987342,2.676666667,0.967391304,2.740641711,3.094373866,3.709935897
Glucose 1-phosphate,1.198757764,1.673387097,8.168674699,0.977229602,19.60700389,3.172557173,3.771523179,2.368070953,0.739002933,0.749640288,0.804123711,1.084710744,0.700729927,0.173515982,0.890814558,0.498666667,1.853963839,0.359033372,0.686390533,0.429699842,0.19506463,1.919087137,0.424929178,0.477582846,0.848101266,0.536666667,0.11352657,0.243315508,0.274047187,0.358974359
Glutamate,1.33126294,2.592741935,6.847389558,4.127134725,6.758754864,3.611226611,10.79470199,3.483370288,4.618768328,1.631654676,1.365979381,6.834710744,3.979562044,2.081050228,4.194107452,1.509333333,3.061196106,3.622554661,1.122287968,2.214849921,1.206815511,1.149377593,1.203966006,1.191033138,5.392405063,0.845,0.834541063,3.759358289,1.143375681,1.461538462
Glutamine,0.480331263,0.637096774,1.253012048,0.817836812,1.322957198,1.305613306,1.860927152,1.536585366,1.014662757,0.588489209,0.581185567,1.665289256,0.791240876,0.280821918,0.651646447,1.538666667,1.012517385,0.699654776,0.603550296,0.227488152,0.387779083,0.877593361,0.494334278,0.660818713,1.148734177,0.693333333,0.687198068,0.5,0.517241379,0.488782051
Glycine,0.610766046,1.169354839,2.763052209,1.146110057,1.540856031,1.715176715,2.158940397,1.762749446,2.219941349,0.808633094,0.777061856,2.944214876,1.182481752,0.543378995,1.332755633,0.525333333,1.556328234,1.330264672,0.587771203,0.693522907,0.410105758,0.43153527,0.562322946,0.561403509,1.778481013,0.373333333,0.241545894,0.949197861,0.626134301,0.604166667
Glycocholate,0.045548654,0.076612903,0.044176707,0.017077799,0.093385214,0.016632017,1.112582781,0.22172949,0.609970674,0.21294964,0.56443299,0.423553719,0.157664234,0.143835616,0.064124783,0.077333333,0.11821975,0.141542002,0.053254438,0.195892575,0.17626322,0.045643154,0.242209632,0.062378168,0.158227848,0.13,0.077294686,0.644385027,0.078039927,0.128205128
Guanosine monophosphate,1.134575569,1.346774194,4.064257028,1.738140417,2.420233463,2.047817048,3.695364238,3.833702882,4.865102639,1.070503597,1.24742268,2.006198347,1.204379562,0.501141553,1.225303293,0.6,1.158553547,0.596087457,0.619329389,0.897314376,0.526439483,0.742738589,0.597733711,0.635477583,2.762658228,0.311666667,0.519323671,2.417112299,1.076225045,0.90224359
Hexanoylcarnitine,0.246376812,0.056451613,0.393574297,0.136622391,0.140077821,0.176715177,0.208609272,0.246119734,0.079178886,0.043165468,0.100515464,0.144628099,0.113868613,0.02739726,0.045060659,0.458666667,0.108484006,0.052934407,0.228796844,0.075829384,0.065804935,0.213692946,0.206798867,0.142300195,0.053797468,0.268333333,0.292270531,0.200534759,0.259528131,0.115384615
Histamine,0.182194617,0.298387097,0.297188755,0.140417457,0.287937743,0.153846154,0.245033113,0.164079823,0.061583578,0.109352518,0.137886598,0.394628099,0.237956204,0.097031963,0.204506066,0.194666667,0.187760779,0.247410817,0.134122288,0.109004739,0.1386604,0.20746888,0.276203966,0.214424951,0.477848101,0.105,0.09178744,0.259358289,0.379310345,0.251602564
Histidine,0.217391304,0.423387097,0.421686747,0.199240987,0.46692607,0.297297297,0.764900662,0.450110865,0.442815249,0.089208633,0.125,0.390495868,0.18540146,0.063926941,0.100519931,0.282666667,0.104311544,0.066743383,0.124260355,0.173775671,0.074030552,0.10373444,0.055240793,0.216374269,0.287974684,0.128333333,0.09178744,0.227272727,0.099818512,0.136217949
Hypoxanthine,0.066252588,0.129032258,0.236947791,0.111954459,0.128404669,0.11018711,0.261589404,0.155210643,0.105571848,0.044604317,0.021907216,0.134297521,0.03649635,0.043378995,0.020797227,0.024,0.043115438,0.086306099,0.025641026,0.036334913,0.012925969,0.049792531,0.02266289,0.113060429,0.129746835,0.045,0.024154589,0.090909091,0.052631579,0.0625
Inosine,0.095238095,0.185483871,1.21686747,0.652751423,0.214007782,0.738045738,0.271523179,0.818181818,0.478005865,0.058992806,0.088917526,0.876033058,0.173722628,0.079908676,0.251299827,0.037333333,0.264255911,0.370540852,0.029585799,0.030015798,0.017626322,0.060165975,0.056657224,0.091617934,0.348101266,0.031666667,0.013285024,0.128342246,0.050816697,0.040064103
Isobutyrate,0.378881988,0.782258065,0.919678715,0.462998102,0.949416342,0.711018711,1,0.649667406,0.985337243,0.808633094,0.578608247,2.283057851,0.849635036,0.571917808,1.162911612,0.429333333,0.986091794,1.554660529,0.674556213,0.641390205,0.509988249,0.796680498,0.407932011,0.931773879,2.278481013,1.59,0.938405797,0.812834225,1.154264973,1.104166667
Isoleucine,0.66873706,1.112903226,2.59437751,1.191650854,1.354085603,2.17047817,1.48013245,2.164079823,1.7771261,0.490647482,0.414948454,2.394628099,0.693430657,0.375570776,0.518197574,0.330666667,1.176634214,1.349827388,0.368836292,0.33807267,0.3960047,0.300829876,0.895184136,0.549707602,1.272151899,0.23,0.177536232,0.577540107,0.495462795,0.336538462
