,47.M.S.8,44.M.S.8,51.C.S.8,50.C.S.8,42.C.S.8,40.C.S.8,269.M.S.9,270.M.S.9,272.M.S.9,211.M.S.9,159.M.S.10,170.M.S.10,183.C.S.10,173.M.S.10,169.M.S.10,164.M.S.9,216.C.S.10,206.C.S.10,208.C.S.10,222.C.S.10,179.C.S.10,174.C.S.11,218.C.S.10,224.M.S.9,215.M.S.10,184.C.S.10,202.M.S.10,146.M.S.11,203.M.S.10,201.M.S.10,12.M.S.9
,Mutant_Separate,Mutant_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Control_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Mutant_Separate,Mutant_Separate,Control_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate
Isovalerate,0.191279887,0.120762712,0.144444444,0.272959184,0.116945107,0.319672131,0.15,0.098837209,0.103030303,0.062903226,0.097727273,0.172,0.064285714,0.088059701,0.056666667,0.090384615,0.102173913,0.021052632,0.059615385,0.050819672,0.030909091,0.03164557,0.035211268,0.117142857,0.03164557,0.056164384,0.055,0.11375,0.019178082,0.085714286,0.132376396
L-Arginine,0.672292546,0.163135593,0.262222222,0.369897959,0.130071599,0.247540984,0.146296296,0.219767442,0.618181818,0.248387097,0.214772727,0.05,0.457142857,0.273134328,0.313333333,0.678846154,0.293478261,0.028070175,0.053846154,0.17704918,0.032727273,0.03164557,0.022535211,0.284285714,0.149367089,0.049315068,0.29,0.0125,0.17260274,0.604761905,0.205741627
Lactate,3.243319269,6.370762712,10.85333333,12.13520408,7.005966587,10.77540984,4.766666667,4.477906977,8.606060606,7.033870968,1.9875,6.968,15.37380952,6.617910448,7.405,9.101923077,33.34782609,7.726315789,14.86153846,22.70983607,5.350909091,4.479746835,9.402816901,3.945714286,13.76962025,7.298630137,13.19,2.1325,15.65753425,23.41428571,10.00478469
Leucine,2.797468354,1.158898305,2.053333333,2.880102041,1.007159905,1.321311475,1.722222222,0.945348837,1.739393939,1.046774194,0.677272727,1.706,2.445238095,1.020895522,1.595,3.638461538,2.319565217,0.633333333,0.880769231,2.450819672,0.387272727,0.483544304,0.518309859,1.451428571,0.705063291,0.680821918,0.745,0.585,0.794520548,2.614285714,1.215311005
Lysine,3.652601969,1.536016949,2.833333333,5.329081633,1.409307876,2.654098361,2.564814815,1.753488372,2.815151515,1.159677419,1.778409091,3.758,5.252380952,2.265671642,2.275,6.025,3.452173913,1.231578947,1.705769231,3.209836066,1.361818182,0.946835443,1.394366197,2.62,1.083544304,1.197260274,1.81,1.5475,1.194520548,2.621428571,2.673046252
Malonate,0.070323488,0.137711864,0.193333333,0.193877551,0.070405728,0.073770492,0.1,0.039534884,0.136363636,0.1,0.070454545,0.186,0.147619048,0.120895522,0.041666667,0.126923077,0.143478261,0.110526316,0.121153846,0.126229508,0.114545455,0.063291139,0.073239437,0.074285714,0.108860759,0.1,0.24,0.06125,0.15890411,0.15952381,0.148325359
Mannose,0.097046414,0.118644068,0.202222222,0.155612245,0.219570406,0.73442623,0.137037037,0.473255814,0.172727273,0.137096774,0.818181818,0.332,0.39047619,0.505970149,0.06,1.421153846,0.07826087,0.268421053,0.125,0.11147541,0.116363636,0.067088608,0.153521127,1.054285714,0.026582278,0.05890411,0.28,0.36625,0.161643836,0.328571429,0.242424242
Methionine,1.376933896,0.620762712,0.655555556,0.923469388,0.31026253,0.445901639,0.857407407,0.487209302,0.948484848,0.419354839,0.295454545,1.152,1.154761905,0.41641791,0.61,1.398076923,0.704347826,0.296491228,0.388461538,0.772131148,0.18,0.226582278,0.21971831,0.485714286,0.262025316,0.267123288,0.395,0.27125,0.298630137,1.016666667,0.743221691
Methylamine,0.187060478,0.127118644,0.226666667,0.201530612,0.14797136,0.283606557,0.431481481,0.275581395,0.387878788,0.364516129,0.572727273,1.12,0.914285714,0.595522388,0.586666667,0.992307692,0.645652174,0.638596491,1.015384615,0.729508197,0.478181818,0.473417722,0.538028169,0.538571429,0.282278481,0.61369863,0.935,0.61875,0.726027397,1.161904762,0.647527911
Nicotinate,0.268635724,0.216101695,0.277777778,0.216836735,0.279236277,0.680327869,0.557407407,0.56627907,0.33030303,0.029032258,0.457954545,1.06,0.24047619,0.453731343,0.18,0.898076923,0.186956522,0.178947368,0.342307692,0.236065574,0.185454545,0.248101266,0.4,0.647142857,0.067088608,0.335616438,0.4,0.3375,0.098630137,0.211904762,0.746411483
Oxypurinol,6.991561181,7.36440678,3.784444444,1.216836735,1.665871122,12.33114754,4.575925926,2.009302326,6.303030303,1.370967742,2.2875,7.836,9.235714286,2.731343284,7.148333333,2.001923077,4.315217391,6.436842105,6.507692308,5.739344262,7.278181818,8.115189873,4.316901408,5.434285714,2.292405063,2.260273973,8.25,2.8,3.950684932,6.723809524,4.23923445
Phenylacetic acid,0.421940928,0.252118644,0.277777778,0.492346939,0.142004773,0.32295082,0.325925926,0.281395349,0.36969697,0.085483871,0.276136364,0.398,0.554761905,0.282089552,0.158333333,0.576923077,0.380434783,0.11754386,0.203846154,0.473770492,0.132727273,0.151898734,0.153521127,0.345714286,0.082278481,0.093150685,0.16,0.29,0.104109589,0.216666667,0.433811802
Phenylalanine,1.954992968,0.819915254,1.206666667,2.051020408,0.525059666,0.627868852,0.922222222,0.459302326,1.290909091,0.611290323,0.296590909,1.142,1.742857143,0.449253731,0.781666667,1.421153846,1.113043478,0.436842105,0.484615385,1.142622951,0.254545455,0.308860759,0.361971831,0.554285714,0.416455696,0.387671233,0.69,0.2825,0.490410959,0.952380952,0.684210526
Proline,1.9395218,0.911016949,1.517777778,2.206632653,0.476133652,1.221311475,1.274074074,0.602325581,1.421212121,1.098387097,0.693181818,1.22,1.804761905,1.044776119,1.168333333,1.796153846,2.45,0.724561404,0.746153846,1.231147541,0.725454545,0.407594937,0.635211268,0.934285714,0.491139241,0.312328767,0.955,0.305,0.260273973,1.464285714,1.226475279
Propionate,3.798874824,3.980932203,4.602222222,4.117346939,4.920047733,9.445901639,2.394444444,4.33372093,9.018181818,2.462903226,3.613636364,3.554,2.485714286,3.143283582,2.263333333,6.094230769,2.408695652,3.101754386,4.976923077,2.480327869,3.585454545,3.369620253,3.666197183,6.344285714,2.443037975,3.554794521,4.315,4.0125,1.328767123,3.264285714,4.240829346
Ribose,1.267229255,1.972457627,1.737777778,1.262755102,0.877088305,1.532786885,3.414814815,1.455813953,1.912121212,1.856451613,2.376136364,6.002,2.523809524,3.104477612,1.475,4.136538462,0.565217391,1.852631579,1.711538462,2.416393443,1.361818182,2.064556962,1.85915493,2.318571429,0.650632911,1.835616438,0.77,2.1775,0.931506849,2.783333333,1.494417863
Succinate,1.514767932,4.252118644,1.404444444,3.788265306,0.929594272,2.485245902,1.124074074,2.412790698,3.53030303,2.941935484,2.220454545,1.198,6.423809524,4.3,1.47,7.278846154,16.0326087,3.575438596,1.992307692,1.993442623,4.732727273,0.673417722,1.84084507,3.937142857,1.267088608,0.719178082,1.29,1.055,1.591780822,0.683333333,1.483253589
Taurine,1.604781997,0.987288136,1.533333333,7.5,0.360381862,0.521311475,0.696296296,0.16744186,8.224242424,1.711290323,0.388636364,0.26,14.26428571,1.852238806,1.203333333,1.082692308,12.6673913,4.503508772,0.909615385,0.673770492,11.02363636,0.913924051,0.2,0.488571429,3.458227848,3.121917808,1.495,0.13375,2.504109589,1.652380952,0.290271132
Threonine,1.652601969,0.769067797,1.251111111,2.170918367,0.409307876,0.504918033,1.211111111,0.931395349,0.948484848,0.508064516,1.355681818,1.69,1.573809524,1.371641791,0.9,3.123076923,1.256521739,0.385964912,0.632692308,1.232786885,0.42,0.44556962,0.570422535,1.504285714,0.364556962,0.464383562,0.74,0.775,0.452054795,1.242857143,1.213716108
Thymine,0.092827004,0.093220339,0.064444444,0.06122449,0.090692124,0.045901639,0.175925926,0.137209302,0.103030303,0.05,0.075,0.46,0.261904762,0.086567164,0.11,0.253846154,0.110869565,0.161403509,0.157692308,0.283606557,0.076363636,0.07721519,0.154929577,0.088571429,0.040506329,0.087671233,0.125,0.07375,0.060273973,0.052380952,0.26953748
Trimethylamine,0.026722925,0.044491525,0.04,0.043367347,0.017899761,0.018032787,0.031481481,0.018604651,0.036363636,0.016129032,0.006818182,0.036,0.05,0.014925373,0.025,0.028846154,0.036956522,0.036842105,0.034615385,0.026229508,0.030909091,0.021518987,0.01971831,0.017142857,0.013924051,0.021917808,0.085,0.01125,0.032876712,0.033333333,0.03030303
Tryptophan,0.337552743,0.110169492,0.16,0.454081633,0.093078759,0.042622951,0.118518519,0.05,0.233333333,0.114516129,0.044318182,0.246,0.483333333,0.094029851,0.153333333,0.284615385,0.391304348,0.119298246,0.142307692,0.227868852,0.067272727,0.063291139,0.067605634,0.05,0.060759494,0.065753425,0.225,0.0525,0.084931507,0.130952381,0.149920255
Tyrosine,2.374120956,1.595338983,1.846666667,2.714285714,0.821002387,0.955737705,0.698148148,0.343023256,0.887878788,0.630645161,0.334090909,0.9,1.385714286,0.410447761,0.608333333,2.036538462,0.92826087,0.359649123,0.382692308,1.114754098,0.316363636,0.265822785,0.274647887,0.52,0.272151899,0.302739726,0.65,0.2975,0.312328767,0.795238095,0.500797448
UMP,0.571026723,0.639830508,0.3,0.364795918,0.360381862,0.952459016,0.787037037,0.452325581,0.781818182,0.209677419,0.380681818,0.67,0.6,0.547761194,0.28,0.913461538,0.119565217,0.194736842,0.315384615,0.221311475,0.161818182,0.207594937,0.28028169,0.554285714,0.120253165,0.226027397,0.535,0.12,0.336986301,0.476190476,0.629984051
Uracil,2.11954993,1.26059322,1.488888889,0.897959184,1.396181384,3.278688525,3.975925926,2.897674419,1.245454545,0.598387097,3.621590909,8.404,2.635714286,5.059701493,2.536666667,9.778846154,1.302173913,2.747368421,3.636538462,3.716393443,1.592727273,2.481012658,3.485915493,5.714285714,0.864556962,2.771232877,2.86,3.78125,0.821917808,1.535714286,11.06220096
Urocanate,0.254571027,0.082627119,0.115555556,0.18877551,0.070405728,0.078688525,0.183333333,0.103488372,0.166666667,0.035483871,0.042045455,0.074,0.088095238,0.092537313,0.07,0.176923077,0.043478261,0.073684211,0.073076923,0.08852459,0.038181818,0.021518987,0.023943662,0.07,0.049367089,0.047945205,0.085,0.03125,0.052054795,0.057142857,0.038277512
Valerate,0.383966245,0.194915254,0.357777778,0.163265306,0.446300716,0.937704918,0.359259259,0.686046512,0.596969697,0.09516129,0.303409091,0.538,0.245238095,0.207462687,0.158333333,0.596153846,0.152173913,0.150877193,0.323076923,0.226229508,0.156363636,0.22278481,0.247887324,0.495714286,0.105063291,0.347945205,0.275,0.42625,0.073972603,0.285714286,0.336523126
Valine,3.405063291,1.396186441,1.708888889,3.096938776,0.633651551,1.109836066,1.922222222,0.954651163,1.454545455,0.927419355,0.585227273,2.104,2.576190476,1.068656716,1.438333333,3.767307692,1.893478261,0.570175439,0.726923077,1.998360656,0.352727273,0.484810127,0.509859155,1.217142857,0.507594937,0.468493151,0.705,0.5175,0.630136986,1.830952381,1.562998405
Xanthine,2.710267229,2.052966102,2.177777778,1.619897959,1.936754177,3.644262295,5.844444444,4.163953488,1.990909091,0.529032258,1.095454545,5.836,1.623809524,3.213432836,2.096666667,5.263461538,0.6,1.552631579,2.373076923,2.932786885,1.065454545,1.675949367,1.991549296,2.301428571,0.570886076,1.602739726,1.645,2.1225,1.005479452,1.261904762,5.920255183
Xylose,3.58790436,4.544491525,1.475555556,1.56122449,1.192124105,0.727868852,1.95,0.711627907,4.075757576,4.053225806,0.770454545,3.29,8.745238095,2.791044776,3.693333333,0.75,0.995652174,3.11754386,2.025,1.627868852,1.507272727,2.963291139,0.976056338,0.957142857,0.893670886,2.149315068,1.93,1.2025,3.953424658,7.147619048,1.542264753
p-Cresol,0.047819972,0.029661017,0.097777778,0.091836735,0.027446301,0.032786885,0.062962963,0.012790698,0.087878788,0.101612903,0.035227273,0.062,0.254761905,0.023880597,0.026666667,0.069230769,0.089130435,0.122807018,0.109615385,0.095081967,0.141818182,0.059493671,0.077464789,0.068571429,0.064556962,0.05890411,0.17,0.06625,0.093150685,0.15,0.138755981
?-Alanine,0.209563994,0.194915254,0.173333333,0.221938776,0.082338902,0.21147541,0.168518519,0.079069767,0.148484848,0.074193548,0.105681818,0.278,0.307142857,0.119402985,0.065,0.273076923,0.093478261,0.075438596,0.111538462,0.116393443,0.129090909,0.074683544,0.050704225,0.144285714,0.037974684,0.117808219,0.205,0.145,0.098630137,0.066666667,0.462519936
