,51.C.S.8,50.C.S.8,42.C.S.8,40.C.S.8,225.C.C.9,226.C.C.9,227.C.C.9,257.C.C.9,243.C.C.9,253.C.C.9,254.C.C.9,261.C.C.9,262.C.C.9,188.C.C.9,189.C.C.9,190.C.C.9,193.C.C.9,194.C.C.9,195.C.C.9,197.C.C.9,199.C.C.9,263.C.C.9,237.C.C.9,238.C.C.9,183.C.S.10,216.C.S.10,206.C.S.10,208.C.S.10,222.C.S.10,179.C.S.10,174.C.S.11,218.C.S.10,184.C.S.10
,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate
Isovalerate,0.144444444,0.272959184,0.116945107,0.319672131,0.12173913,0.152542373,0.062264151,0.217142857,0.10877193,0.163478261,0.119148936,0.054929577,0.2,0.07,0.024074074,0.068253968,0.040425532,0.0796875,0.042253521,0.056164384,0.105555556,0.020634921,0.01875,0.044680851,0.064285714,0.102173913,0.021052632,0.059615385,0.050819672,0.030909091,0.03164557,0.035211268,0.056164384
L-Arginine,0.262222222,0.369897959,0.130071599,0.247540984,0.262318841,1.101694915,0.132075472,0.244285714,0.377192982,0.109565217,0.206382979,0.152112676,0.198823529,0.08,0.062962963,0.025396825,0.106382979,0.0921875,0.109859155,0.153424658,0.337037037,0.074603175,0.15,0.082978723,0.457142857,0.293478261,0.028070175,0.053846154,0.17704918,0.032727273,0.03164557,0.022535211,0.049315068
Lactate,10.85333333,12.13520408,7.005966587,10.77540984,5.050724638,4.513559322,1.339622642,7.375714286,13.09649123,5.659130435,5.810638298,5.26056338,7.722352941,6.520909091,8.375925926,8.047619048,4.665957447,3.9625,5.9,6.171232877,15.7,10.87936508,6.916666667,7.621276596,15.37380952,33.34782609,7.726315789,14.86153846,22.70983607,5.350909091,4.479746835,9.402816901,7.298630137
Leucine,2.053333333,2.880102041,1.007159905,1.321311475,1.357971014,1.845762712,0.69245283,1.338571429,2.58245614,0.811304348,1.057446809,0.687323944,1.834117647,0.551818182,0.594444444,1.079365079,0.609574468,0.79375,0.883098592,0.579452055,2.087037037,0.680952381,0.502083333,0.727659574,2.445238095,2.319565217,0.633333333,0.880769231,2.450819672,0.387272727,0.483544304,0.518309859,0.680821918
Lysine,2.833333333,5.329081633,1.409307876,2.654098361,2.065217391,4.237288136,0.673584906,2.477142857,2.784210526,1.273913043,1.814893617,1.48028169,2.514117647,1.466363636,1.855555556,1.733333333,1.953191489,1.95,2.422535211,1.731506849,4.57037037,1.249206349,1.379166667,2.05106383,5.252380952,3.452173913,1.231578947,1.705769231,3.209836066,1.361818182,0.946835443,1.394366197,1.197260274
Malonate,0.193333333,0.193877551,0.070405728,0.073770492,0.073913043,0.110169492,0.047169811,0.051428571,0.157894737,0.05826087,0.078723404,0.05915493,0.051764706,0.030909091,0.040740741,0.03015873,0.020212766,0.05,0.042253521,0.031506849,0.103703704,0.050793651,0.114583333,0.155319149,0.147619048,0.143478261,0.110526316,0.121153846,0.126229508,0.114545455,0.063291139,0.073239437,0.1
Mannose,0.202222222,0.155612245,0.219570406,0.73442623,0.107246377,1.496610169,0.109433962,0.648571429,0.142105263,0.193913043,0.104255319,0.050704225,0.231764706,0.160909091,0.142592593,0.049206349,0.189361702,0.0484375,0.16056338,0.157534247,0.855555556,0.09047619,0.08125,0.119148936,0.39047619,0.07826087,0.268421053,0.125,0.11147541,0.116363636,0.067088608,0.153521127,0.05890411
Methionine,0.655555556,0.923469388,0.31026253,0.445901639,0.652173913,0.744067797,0.243396226,0.588571429,0.754385965,0.422608696,0.657446809,0.397183099,0.534117647,0.314545455,0.268518519,0.39047619,0.343617021,0.375,0.483098592,0.267123288,1.222222222,0.226984127,0.3,0.442553191,1.154761905,0.704347826,0.296491228,0.388461538,0.772131148,0.18,0.226582278,0.21971831,0.267123288
Methylamine,0.226666667,0.201530612,0.14797136,0.283606557,0.307246377,0.218644068,0.164150943,0.274285714,0.410526316,0.252173913,0.376595745,0.185915493,0.267058824,0.206363636,0.22037037,0.29047619,0.226595745,0.2578125,0.254929577,0.290410959,0.383333333,0.203174603,0.275,0.395744681,0.914285714,0.645652174,0.638596491,1.015384615,0.729508197,0.478181818,0.473417722,0.538028169,0.61369863
Nicotinate,0.277777778,0.216836735,0.279236277,0.680327869,0.257971014,1.247457627,0.154716981,0.588571429,0.30877193,0.406086957,0.40212766,0.161971831,0.481176471,0.380909091,0.222222222,0.307936508,0.464893617,0.3921875,0.505633803,0.491780822,0.962962963,0.20952381,0.33125,0.482978723,0.24047619,0.186956522,0.178947368,0.342307692,0.236065574,0.185454545,0.248101266,0.4,0.335616438
Oxypurinol,3.784444444,1.216836735,1.665871122,12.33114754,5.537681159,9.06779661,2.747169811,3.11,1.684210526,0.803478261,3.676595745,0.825352113,1.210588235,1.998181818,2.222222222,2.028571429,1.662765957,6.890625,2.002816901,2.421917808,4.824074074,2.023809524,1.895833333,1.489361702,9.235714286,4.315217391,6.436842105,6.507692308,5.739344262,7.278181818,8.115189873,4.316901408,2.260273973
Phenylacetic acid,0.277777778,0.492346939,0.142004773,0.32295082,0.357971014,0.722033898,0.139622642,0.405714286,0.31754386,0.274782609,0.131914894,0.15915493,0.5,0.290909091,0.131481481,0.2,0.2,0.2375,0.264788732,0.2,0.416666667,0.173015873,0.2125,0.159574468,0.554761905,0.380434783,0.11754386,0.203846154,0.473770492,0.132727273,0.151898734,0.153521127,0.093150685
Phenylalanine,1.206666667,2.051020408,0.525059666,0.627868852,0.886956522,1.223728814,0.371698113,0.604285714,1.449122807,0.449565217,0.704255319,0.385915493,0.898823529,0.350909091,0.501851852,0.666666667,0.344680851,0.5078125,0.522535211,0.352054795,1.133333333,0.46984127,0.3625,0.54893617,1.742857143,1.113043478,0.436842105,0.484615385,1.142622951,0.254545455,0.308860759,0.361971831,0.387671233
Proline,1.517777778,2.206632653,0.476133652,1.221311475,0.952173913,2.152542373,0.245283019,1.211428571,0.973684211,0.493043478,0.44893617,0.405633803,1.314117647,0.359090909,0.451851852,0.579365079,0.517021277,0.4921875,0.721126761,0.571232877,1.461111111,0.403174603,0.427083333,0.587234043,1.804761905,2.45,0.724561404,0.746153846,1.231147541,0.725454545,0.407594937,0.635211268,0.312328767
Propionate,4.602222222,4.117346939,4.920047733,9.445901639,2.898550725,5.888135593,6.047169811,6.622857143,4.254385965,4.064347826,4.255319149,2.536619718,6.322352941,3.576363636,2.07037037,3.844444444,2.2,3.6859375,2.876056338,4.535616438,5.112962963,1.423809524,2.758333333,2.776595745,2.485714286,2.408695652,3.101754386,4.976923077,2.480327869,3.585454545,3.369620253,3.666197183,3.554794521
Ribose,1.737777778,1.262755102,0.877088305,1.532786885,1.914492754,8.476271186,0.773584906,2.321428571,1.621052632,1.630434783,2.189361702,0.616901408,1.287058824,1.834545455,1.703703704,2.653968254,2.705319149,2.3296875,2.767605634,2.784931507,3.296296296,0.819047619,1.610416667,2.765957447,2.523809524,0.565217391,1.852631579,1.711538462,2.416393443,1.361818182,2.064556962,1.85915493,1.835616438
Succinate,1.404444444,3.788265306,0.929594272,2.485245902,0.772463768,2.274576271,0.645283019,2.825714286,1.370175439,1.215652174,1.119148936,0.46056338,1.957647059,1.401818182,0.6,1.306349206,2.069148936,1.653125,1.956338028,1.973972603,3.644444444,0.722222222,3.660416667,1.238297872,6.423809524,16.0326087,3.575438596,1.992307692,1.993442623,4.732727273,0.673417722,1.84084507,0.719178082
Taurine,1.533333333,7.5,0.360381862,0.521311475,0.479710145,0.442372881,1.437735849,0.435714286,1.305263158,0.120869565,0.561702128,0.849295775,0.309411765,0.202727273,0.490740741,0.182539683,0.29787234,0.2453125,0.21971831,0.209589041,0.266666667,0.876190476,1.002083333,0.285106383,14.26428571,12.6673913,4.503508772,0.909615385,0.673770492,11.02363636,0.913924051,0.2,3.121917808
Threonine,1.251111111,2.170918367,0.409307876,0.504918033,0.74057971,1.093220339,0.377358491,1.737142857,1.321052632,0.66173913,0.891489362,0.384507042,0.830588235,0.438181818,0.507407407,0.804761905,0.513829787,0.6453125,0.732394366,0.398630137,1.475925926,0.43015873,0.566666667,0.687234043,1.573809524,1.256521739,0.385964912,0.632692308,1.232786885,0.42,0.44556962,0.570422535,0.464383562
Thymine,0.064444444,0.06122449,0.090692124,0.045901639,0.213043478,0.218644068,0.035849057,0.064285714,0.210526316,0.087826087,0.114893617,0.084507042,0.201176471,0.247272727,0.157407407,0.384126984,0.14893617,0.2109375,0.195774648,0.12739726,0.377777778,0.133333333,0.13125,0.244680851,0.261904762,0.110869565,0.161403509,0.157692308,0.283606557,0.076363636,0.07721519,0.154929577,0.087671233
Trimethylamine,0.04,0.043367347,0.017899761,0.018032787,0.023188406,0.022033898,0.013207547,0.014285714,0.028070175,0.009565217,0.034042553,0.023943662,0.015294118,0.017272727,0.02962963,0.026984127,0.023404255,0.0296875,0.029577465,0.016438356,0.031481481,0.033333333,0.041666667,0.046808511,0.05,0.036956522,0.036842105,0.034615385,0.026229508,0.030909091,0.021518987,0.01971831,0.021917808
Tryptophan,0.16,0.454081633,0.093078759,0.042622951,0.220289855,0.083050847,0.098113208,0.08,0.289473684,0.072173913,0.15106383,0.070422535,0.064705882,0.051818182,0.064814815,0.111111111,0.055319149,0.0859375,0.053521127,0.036986301,0.127777778,0.093650794,0.0875,0.117021277,0.483333333,0.391304348,0.119298246,0.142307692,0.227868852,0.067272727,0.063291139,0.067605634,0.065753425
