Sample ID,188.C.C.3,189.C.C.3,190.C.C.3,193.C.C.3,194.C.C.3,197.C.C.3,199.C.C.3,225.C.C.3,226.C.C.3,227.C.C.3,257.C.C.3,23.C.S.3,25.C.S.3,26.C.S.3,59.C.S.3,60.C.S.3,35.C.S.3,36.C.S.3,38.C.S.3,30.C.S.4,31.C.S.4,74.C.S.3,76.C.S.3,68.C.S.3,69.C.S.3,70.C.S.3,45.C.S.3,46.C.S.3,48.C.S.3,53.C.S.3,57.C.S.3,62.C.S.3,63.C.S.3,64.C.S.3,72.C.S.3,73.C.S.3,51.C.S.3,50.C.S.3,42.C.S.3,40.C.S.3
Group,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate
Mannose,1.0675,0.872972973,0.5025,0.189795918,0.333333333,1.334782609,0.165789474,0.15,1.494117647,1.292857143,0.176,0.189873418,0.901785714,2.303389831,0.634655532,0.254019293,0.217532468,0.225210084,0.170704846,0.401734104,0.596980256,0.178428762,0.174603175,0.791878173,0.379679144,0.162740899,0.594117647,0.417840376,0.330396476,0.318777293,1.514223195,0.148837209,0.214285714,1.847058824,0.303030303,0.340874811,1.006954103,0.176870748,0.287822878,2.079545455
Methionine,1.735,1.327027027,1.2475,0.442857143,0.788405797,1.326086957,0.592105263,0.43,2.511764706,0.94047619,0.84,0.465822785,0.7875,3.991525424,0.782881002,0.778135048,0.594155844,0.616806723,0.54845815,0.774566474,0.81068525,1.046604527,0.98015873,1.789340102,1.636363636,0.336188437,1.564705882,2.061032864,1.607929515,1.165938865,1.86214442,0.688372093,0.766483516,4.441176471,0.895622896,0.644042232,0.838664812,0.806122449,0.560885609,2.189393939
Methylamine,1.9425,1.075675676,1.6525,0.628571429,1.020289855,1.37826087,1.468421053,1.085,1.308823529,1.45952381,0.524,0.806329114,1.258928571,1.972881356,1.212943633,1.569131833,0.925324675,0.833613445,0.751101322,1.043352601,0.731707317,0.946737683,1.579365079,1.898477157,2.395721925,0.920770878,4.411764706,2.201877934,1.616740088,1.244541485,1.262582057,2.846511628,1.156593407,1.588235294,1.777777778,0.965309201,0.670375522,2.170068027,1.391143911,1.526515152
Nicotinate,1.23,0.92972973,0.9775,0.095918367,0.702898551,1.243478261,0.357894737,0.2025,1.797058824,1.092857143,0.118,0.281012658,0.646428571,1.030508475,0.594989562,0.295819936,0.295454545,0.588235294,0.508810573,0.861271676,0.37398374,0.76298269,0.404761905,1.203045685,0.802139037,0.205567452,1.511764706,1.154929577,0.334801762,0.336244541,0.833698031,0.409302326,0.653846154,2.670588235,0.656565657,0.518853695,0.639777469,0.493197279,0.199261993,1.799242424
Oxypurinol,2.8775,2.827027027,0.7525,4.155102041,1.805797101,4.663043478,7.989473684,4.78,12.72058824,2.988095238,7.664,2.105063291,1.685714286,0.972881356,9.127348643,11.06109325,9.850649351,9.006722689,1.788546256,14.43063584,1.293844367,2.296937417,11.5515873,2.484771574,11.88235294,2.205567452,24.44705882,14.11737089,14.60792952,11.37117904,9.094091904,10.35813953,12.79945055,17.12352941,13.88215488,2.220211161,1.527121001,9.724489796,6.638376384,3.40530303
Phenylacetic acid,0.82,0.691891892,1.1575,0.244897959,0.401449275,0.37173913,0.413157895,0.31,0.720588235,0.416666667,0.382,0.23164557,0.410714286,0.728813559,0.622129436,0.578778135,0.584415584,0.416806723,0.328193833,1.054913295,0.343786295,0.605858855,0.297619048,0.835025381,0.860962567,0.588865096,0.541176471,1.107981221,0.577092511,0.43231441,0.652078775,0.637209302,0.192307692,1.670588235,0.828282828,0.549019608,0.421418637,0.697278912,0.180811808,0.856060606
Phenylalanine,1.695,1.640540541,1.6125,0.659183673,0.902898551,1.406521739,0.702631579,0.595,2.952941176,1.261904762,1.156,0.608860759,1.182142857,4.057627119,1.150313152,0.823151125,0.668831169,0.578151261,0.640969163,0.841040462,1.023228804,1.181091877,1.138888889,1.911167513,1.64171123,0.488222698,1.970588235,1.971830986,1.854625551,1.227074236,2.18380744,0.953488372,1.093406593,5.070588235,0.915824916,0.690799397,0.76216968,1.193877551,0.937269373,2.810606061
Proline,1.625,2.194594595,1.975,0.691836735,0.834782609,1.252173913,0.786842105,0.8275,3.202941176,1.385714286,1.25,0.473417722,1.558928571,5.715254237,1.386221294,1.012861736,0.902597403,0.833613445,0.986784141,1.442196532,1.267131243,1.866844208,2.337301587,2.271573604,2.625668449,0.704496788,3.582352941,2.568075117,1.356828194,1.344978166,2.400437637,0.730232558,1.568681319,6.405882353,1.323232323,1.095022624,1.216968011,0.993197279,0.819188192,4.162878788
Propionate,9.63,11.01081081,10.185,4.295918367,4.843478261,8.823913043,5.263157895,8.5025,11.24705882,9.028571429,2.656,4.348101266,6.632142857,10.69491525,6.112734864,4.659163987,5.564935065,4.645378151,2.693832599,12.99132948,3.462253194,5.098535286,2.138888889,7.251269036,3.449197861,5.064239829,6.817647059,5.23943662,1.986784141,2.917030568,8.358862144,2.134883721,5.425824176,14.87647059,7.589225589,4.954751131,4.282336579,2.404761905,7.992619926,15.27651515
Ribose,6.76,2.889189189,7.4625,1.032653061,2.205797101,4.85,1.621052632,2.5325,4.258823529,3.447619048,1.896,1.625316456,2.292857143,6.108474576,4.538622129,3.993569132,0.808441558,2.789915966,3.700440529,5.346820809,3.171893148,1.524633822,3.416666667,3.700507614,6.310160428,1.978586724,3.070588235,7.399061033,5.832599119,5.165938865,7.126914661,4.009302326,1.923076923,8.735294118,3.95959596,2.429864253,2.513212796,3.234693878,2.184501845,3.193181818
Succinate,4.52,9.748648649,4.2525,5.985714286,2.584057971,3.402173913,1.65,3.4775,8.155882353,5.942857143,0.794,0.94556962,3.317857143,4.620338983,3.486430063,1.122186495,1.561688312,1.830252101,1.685022026,2.49132948,3.56445993,4.30758988,1.01984127,4.568527919,1.935828877,1.323340471,6.623529412,5.0657277,1.872246696,1.384279476,5.897155361,2.348837209,8.947802198,21.62352941,1.582491582,2.064856712,3.933240612,2.047619048,0.896678967,9.321969697
Taurine,1.135,2.032432432,0.965,5.051020408,0.250724638,0.376086957,2.465789474,1.4525,1.541176471,1.492857143,0.802,0.144303797,0.523214286,0.949152542,1.081419624,2.125401929,1.714285714,0.613445378,0.682819383,6.75433526,1.81184669,1.042609854,0.353174603,1.096446701,0.56684492,4.537473233,5.729411765,0.82629108,0.823788546,2.851528384,1.980306346,21.59534884,5.909340659,3.364705882,0.585858586,0.466063348,0.42837274,6.557823129,0.431734317,3.178030303
Threonine,2,3.048648649,1.77,0.512244898,0.926086957,2.134782609,1.202631579,0.575,3.75,1.661904762,1.2,0.759493671,1.351785714,4.749152542,1.413361169,1.231511254,1.243506494,0.643697479,0.81277533,1.661849711,1.241579559,1.691078562,2.361111111,2.33248731,3.759358289,0.82012848,5.405882353,3.178403756,2.325991189,1.903930131,2.446389497,1.637209302,1.604395604,10.94705882,1.548821549,1.067873303,2.038942976,1.071428571,1.380073801,6.916666667
Thymine,1.5575,0.340540541,0.81,0.059183673,0.284057971,0.345652174,0.265789474,0.2,0.279411765,0.226190476,0.128,0.275949367,0.251785714,1.547457627,0.423799582,0.421221865,0.136363636,0.171428571,0.292951542,0.315028902,0.347270616,0.246338216,0.285714286,0.454314721,0.582887701,0.226980728,0.564705882,0.624413146,0.964757709,0.397379913,0.663019694,0.204651163,0.277472527,0.988235294,0.161616162,0.194570136,0.204450626,0.544217687,0.121771218,0.231060606
Trimethylamine,0.0375,0.035135135,0.04,0.02244898,0.027536232,0.02826087,0.036842105,0.025,0.029411765,0.035714286,0.032,0.018987342,0.019642857,0.033898305,0.033402923,0.08681672,0.048701299,0.020168067,0.017621145,0.037572254,0.019744483,0.030625832,0.091269841,0.040609137,0.096256684,0.017130621,0.111764706,0.075117371,0.105726872,0.069868996,0.043763676,0.074418605,0.046703297,0.135294118,0.057239057,0.022624434,0.031988873,0.129251701,0.033210332,0.049242424
Tryptophan,0.2825,0.221621622,0.2525,0.181632653,0.086956522,0.210869565,0.168421053,0.1125,0.320588235,0.195238095,0.244,0.120253165,0.132142857,0.225423729,0.162839248,0.186495177,0.12012987,0.11092437,0.098017621,0.182080925,0.12659698,0.146471372,0.19047619,0.223350254,0.181818182,0.128479657,0.452941176,0.248826291,0.251101322,0.218340611,0.277899344,2.441860465,0.214285714,0.882352941,0.215488215,0.147812971,0.100139082,0.163265306,0.228782288,0.25
Tyrosine,1.595,1.413513514,1.4275,0.467346939,0.817391304,1.384782609,0.439473684,0.395,3,0.935714286,0.644,0.464556962,1.092857143,2.588135593,0.753653445,1.025723473,0.626623377,0.413445378,0.476872247,0.904624277,0.862950058,1.174434088,1.670634921,1.814720812,2.561497326,0.301927195,2.888235294,2.502347418,2.625550661,1.296943231,1.656455142,1.055813953,0.747252747,7.047058824,0.707070707,0.619909502,0.720445063,1.170068027,0.697416974,2.428030303
UMP,1.2,1.113513514,0.8125,0.112244898,0.482608696,0.908695652,0.310526316,0.2675,1.264705882,0.95,0.14,0.160759494,0.483928571,0.044067797,0.607515658,0.488745981,0.331168831,0.45210084,0.399779736,1.106936416,0.665505226,0.478029294,0.837301587,1.02284264,1.187165775,0.147751606,1.188235294,1.258215962,0.964757709,0.733624454,1.135667396,0.809302326,0.903846154,3.141176471,0.932659933,0.4826546,0.543810848,0.506802721,0.490774908,1.075757576
Uracil,20.1075,12.31891892,16.375,0.857142857,9.762318841,14.69130435,5.118421053,3.0275,16.64411765,12.70952381,1.386,4.587341772,8.133928571,15.52033898,9.64091858,5.363344051,2.883116883,5.001680672,8.145374449,9.398843931,9.980255517,7.34620506,7.119047619,12.32233503,11.2459893,2.584582441,15.14117647,19.45070423,10.72246696,5.292576419,16.1487965,2.669767442,6.082417582,33.22941176,8.185185185,7.058823529,7.435326843,8.231292517,2.833948339,14.85606061
Urocanate,0.07,0.075675676,0.07,0.036734694,0.026086957,0.030434783,0.113157895,0.06,0.070588235,0.035714286,0.072,0.062025316,0.114285714,0.123728814,0.08559499,0.096463023,0.051948052,0.070588235,0.034140969,0.170520231,0.12775842,0.050599201,0.146825397,0.098984772,0.20855615,0.08993576,0.229411765,0.215962441,0.149779736,0.148471616,0.067833698,0.111627907,0.101648352,0.564705882,0.077441077,0.045248869,0.075104312,0.12585034,0.103321033,0.151515152
Valerate,0.8025,0.532432432,0.8825,0.16122449,0.479710145,0.556521739,0.384210526,0.26,0.826470588,0.366666667,0.154,0.305063291,0.430357143,1.313559322,0.486430063,0.47266881,0.321428571,0.403361345,0.311674009,0.797687861,0.295005807,0.488681758,0.285714286,0.911167513,0.663101604,0.366167024,0.947058824,0.718309859,0.308370044,0.323144105,0.516411379,0.172093023,0.255494505,1.329411765,0.491582492,0.582202112,0.447844228,0.231292517,0.520295203,1.098484848
Valine,3.355,3.078378378,3.1875,1.071428571,1.971014493,2.686956522,1.060526316,0.97,6.452941176,2.345238095,1.758,1.15443038,2.721428571,9.577966102,1.924843424,1.147909968,1.025974026,1.154621849,1.385462555,1.604046243,2.291521487,2.72436751,1.888888889,3.92893401,2.92513369,0.856531049,3.2,3.389671362,2.907488987,1.558951965,4.280087527,1.046511628,1.793956044,12.35882353,1.602693603,1.542986425,1.828929068,1.676870748,1.095940959,4.901515152
Xanthine,10.8325,4.359459459,7.99,0.767346939,4.962318841,6.023913043,2.297368421,1.6675,6.15,5.495238095,0.912,3.158227848,5.4125,6.108474576,5.043841336,2.588424437,1.918831169,1.929411765,3.906387665,4.361271676,4.272938444,3.005326232,3.515873016,5.340101523,6.556149733,2.154175589,8.158823529,10.37089202,5.625550661,3.672489083,5.227571116,1.060465116,2.703296703,9.752941176,3.65993266,3.708898944,3.543810848,4.979591837,1.468634686,6.257575758
Xylose,1.135,2.281081081,2.265,1.989795918,1.330434783,1.45,4.797368421,1.6425,1.932352941,1.328571429,7.75,4.015189873,2.926785714,2.244067797,4.688935282,7.47266881,4.266233766,2.457142857,0.709251101,2.783236994,0.704994193,1.195739015,5.904761905,1.416243655,3.759358289,1.653104925,6.758823529,4.873239437,6.511013216,6.611353712,2,3.153488372,2.521978022,2.617647059,3.686868687,1.211161388,0.838664812,5.43537415,8.47601476,1.231060606
p-Cresol,0.12,0.040540541,0.0875,0.079591837,0.056521739,0.073913043,0.039473684,0.045,0.205882353,0.076190476,0.016,0.016455696,0.055357143,0.081355932,0.154488518,0.163987138,0.178571429,0.11092437,0.06277533,0.196531792,0.095238095,0.161118509,0.392857143,0.243654822,0.235294118,0.079229122,0.170588235,0.187793427,0.233480176,0.144104803,0.216630197,0.120930233,0.164835165,0.594117647,0.178451178,0.090497738,0.109874826,0.132653061,0.118081181,0.265151515
?-Alanine,1.5075,0.22972973,0.3175,0.063265306,0.236231884,0.354347826,0.236842105,0.0925,0.417647059,0.2,0.14,0.082278481,0.116071429,0.352542373,0.144050104,0.1414791,0.188311688,0.156302521,0.387665198,0.260115607,0.068524971,0.183754993,0.396825397,0.530456853,0.342245989,0.096359743,0.717647059,0.427230047,0.259911894,0.283842795,0.129102845,0.344186047,0.131868132,0.941176471,0.094276094,0.214177979,0.305980529,0.289115646,0.158671587,0.409090909
