Sample ID,186.M.C.3,187.M.C.3,188.C.C.3,189.C.C.3,190.C.C.3,191.M.C.3,192.M.C.3,193.C.C.3,194.C.C.3,197.C.C.3,198.M.C.3,199.C.C.3,225.C.C.3,226.C.C.3,227.C.C.3,228.M.C.3,229.M.C.3,269.M.S.3,270.M.S.3,271.M.S.3,272.M.S.3,255.M.C.3,256.M.C.3,257.C.C.3,23.C.S.3,25.C.S.3,26.C.S.3,59.C.S.3,60.C.S.3,35.C.S.3,36.C.S.3,38.C.S.3,30.C.S.4,31.C.S.4,74.C.S.3,76.C.S.3,68.C.S.3,69.C.S.3,70.C.S.3,45.C.S.3,46.C.S.3,48.C.S.3,53.C.S.3,57.C.S.3,62.C.S.3,63.C.S.3,64.C.S.3,72.C.S.3,73.C.S.3,51.C.S.3,50.C.S.3,42.C.S.3,40.C.S.3,27.M.S.4,28.M.S.4,37.M.S.3,80.M.S.3,81.M.S.3,49.M.S.3,52.M.S.3,55.M.S.3,58.M.S.3,54.M.S.3,43.M.S.3,56.M.S.3,77.M.S.3,75.M.S.3,61.M.S.3,47.M.S.3,71.M.S.3,65.M.S.3,44.M.S.3,67.M.S.3,41.M.S.3
Group,Mutant_Cohoused,Mutant_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Mutant_Cohoused,Mutant_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Mutant_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Mutant_Cohoused,Mutant_Cohoused,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Cohoused,Mutant_Cohoused,Control_Cohoused,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate
2-Aminoisobutyric acid,0.062745098,0.032432432,0.09,0.210810811,0.195,0.056818182,0.036111111,0.048979592,0.034782609,0.052173913,0.070588235,0.081578947,0.08,0.129411765,0.069047619,0.133333333,0.068571429,0.032857143,0.071666667,0.055128205,0.048333333,0.109302326,0.026388889,0.038,0.015189873,0.0375,0.149152542,0.041753653,0.093247588,0.058441558,0.030252101,0.019823789,0.101156069,0.046457607,0.078561917,0.047619048,0.096446701,0.085561497,0.019271949,0.064705882,0.089201878,0.233480176,0.082969432,0.115973742,0.16744186,0.101648352,0.158823529,0.074074074,0.025641026,0.065368567,0.095238095,0.033210332,0.140151515,0.021186441,0.064301552,0.088095238,0.038408779,0.031623932,0.065719361,0.034450652,0.051698671,0.033923304,0.033967391,0.051869723,0.038851351,0.011753183,0.023448276,0.045101089,0.036827195,0.038043478,0.034313725,0.017177914,0.02800659,0.036885246
4-Hydroxyphenylacetate,0.131372549,0.27027027,0.2625,0.2,0.185,0.427272727,0.286111111,0.273469388,0.149275362,0.223913043,0.302941176,0.147368421,0.5025,0.317647059,0.20952381,0.488888889,0.214285714,0.107142857,0.125,0.203846154,0.265,0.11627907,0.097222222,0.14,0.156962025,0.276785714,0.262711864,0.409185804,0.485530547,0.467532468,0.2,0.131057269,0.592485549,0.177700348,0.131824234,0.392857143,0.192893401,0.379679144,0.411134904,0.447058824,0.460093897,0.550660793,0.31441048,0.266958425,3.023255814,0.442307692,0.911764706,0.390572391,0.171945701,0.121001391,0.459183673,0.328413284,0.443181818,0.142655367,0.203991131,0.178571429,0.124828532,0.072649573,0.129662522,0.10707635,0.205317578,0.156342183,0.171195652,0.115802171,0.195945946,0.083251714,0.110344828,0.138413686,0.123229462,0.190217391,0.223039216,0.176687117,0.207578254,0.168032787
5-Aminopentanoate,0.362745098,0.340540541,1.17,2.427027027,0.5025,1.309090909,1.413888889,3.257142857,0.47826087,0.636956522,2.464705882,0.534210526,1.885,0.761764706,0.514285714,2.122222222,4.954285714,0.261428571,0.506666667,0.38974359,0.458333333,0.472093023,0.3,2.424,0.239240506,0.946428571,1.244067797,1.002087683,0.707395498,3.866883117,0.791596639,0.198237885,0.789017341,0.207897793,0.804260985,0.619047619,0.42893401,1.267379679,1.99143469,4.223529412,1.248826291,1.092511013,4.23580786,0.487964989,1.134883721,5.895604396,2.294117647,0.545454545,0.399698341,0.305980529,0.683673469,0.420664207,1.606060606,0.324858757,1.725055432,0.445238095,0.437585734,0.469230769,2.227353464,0.190875233,0.465288035,0.284660767,0.5,0.305186972,0.326013514,0.208619001,0.300689655,0.447900467,0.375354108,0.403532609,0.536764706,0.604907975,0.831960461,0.346311475
Acetate,53.52156863,66.22432432,71.1675,74.86756757,69.865,36.13409091,79.27222222,38.73061224,39.0942029,66.35869565,35,48.93421053,47.4125,101.2235294,75.48095238,40.06111111,97.24285714,41.41714286,38.68833333,31.74871795,37.90333333,52.84186047,31.99444444,29.264,27.8164557,47.2,56.15423729,40.23799582,25.69453376,31.27272727,32.23865546,24.09801762,73.41618497,32.8466899,33.3608522,28.68650794,58.02030457,36.62566845,29.12847966,52.87058824,45.9342723,72.00440529,31.93449782,79.39606127,30.05116279,49.24450549,167.2235294,46.48148148,31.22775264,49.81641168,48.66666667,63.36900369,123.8825758,27.42231638,28.23725055,34.08333333,25.65432099,13.76410256,25.42628774,20.93575419,28.35893648,42.48525074,32.9361413,19.986731,29.14358108,20.83545544,44.12,12.65940902,15.57932011,39.38586957,28.08578431,19.27852761,18.0461285,19.4795082
Adenine,6.723529412,7.708108108,13.05,10.32432432,10.6125,0.981818182,10.25555556,0.546938776,5.555072464,10.28695652,0.6,2.697368421,1.8375,13.92941176,9.45,2.155555556,16.22,6.054285714,6.213333333,1.062820513,5.848333333,7.820930233,4.788888889,0.246,2.898734177,6.407142857,6.869491525,6.384133612,2.717041801,1.084415584,3.453781513,5.189427313,6.26300578,6.303135889,6.735019973,3.186507937,11.28680203,6.823529412,1.856531049,7.505882353,9.774647887,5.519823789,2.995633188,12.71115974,0.869767442,4.354395604,25.72352941,4.481481481,5.612368024,6.965229485,4.295918367,1.808118081,14.28787879,2.783898305,1.67405765,3.64047619,4.886145405,2.471794872,1.209591474,4.34264432,0.521418021,4.119469027,4.917119565,5.756332931,7.422297297,3.672869736,4.624827586,1.396578538,2.963172805,4.501358696,1.357843137,1.960736196,2.792421746,2.336065574
Alanine,3.350980392,4.618918919,7.3725,5.2,5.6325,1.797727273,3.483333333,1.481632653,3.473913043,4.806521739,2.241176471,1.928947368,1.47,8.402941176,4.473809524,4.466666667,9.668571429,2.832857143,7.916666667,1.194871795,3.346666667,3.641860465,2.559722222,2.68,1.864556962,4.255357143,14.05254237,3.582463466,2.302250804,1.944805195,2.23697479,2.997797357,3.121387283,3.538908246,4.225033289,3.674603175,6.733502538,5.401069519,1.434689507,7.176470588,7.253521127,6.581497797,3.375545852,6.717724289,2.279069767,2.964285714,19.11764706,3.063973064,2.546003017,3.044506259,3.568027211,2.018450185,8.454545455,1.370056497,3.33924612,2.945238095,3.085048011,1.701709402,1.211367673,2.454376164,1.471196455,1.991150442,2.569293478,3.635705669,4.048986486,1.964740451,2.828965517,1.730948678,2.412181303,2.963315217,3.080882353,1.728834356,3.362438221,1.782786885
Alpha-ketoisovaleric acid,0.058823529,0.045945946,0.1975,0.037837838,0.045,0.031818182,0.108333333,0.024489796,0.08115942,0.043478261,0.035294118,0.031578947,0.01,0.032352941,0.021428571,0.094444444,0.048571429,0.028571429,0.111666667,0.017948718,0.025,0.072093023,0.081944444,0.032,0.027848101,0.032142857,0.379661017,0.025052192,0.025723473,0.029220779,0.070588235,0.105726872,0.026011561,0.042973287,0.023968043,0.05952381,0.043147208,0.106951872,0.029978587,0.105882353,0.098591549,0.207048458,0.061135371,0.028446389,0.195348837,0.021978022,0.058823529,0.043771044,0.058823529,0.025034771,0.068027211,0.040590406,0.026515152,0.019774011,0.075388027,0.126190476,0.041152263,0.032478632,0.031971581,0.030726257,0.022156573,0.041297935,0.038043478,0.086851628,0.121621622,0.023506366,0.07862069,0.029548989,0.076487252,0.073369565,0.053921569,0.044171779,0.062602965,0.028688525
Arabinose,4.823529412,6.508108108,2.0025,8.721621622,4.82,8.181818182,3.044444444,10.18571429,1.642028986,5.297826087,11.95588235,5.305263158,6.0375,2.752941176,3.047619048,17.37222222,2.697142857,3.652857143,5.345,4.778205128,6.211666667,6.03255814,3.501388889,7.924,3.012658228,7.855357143,4.283050847,6.189979123,5.713826367,5.769480519,3.191596639,3.570484581,7.011560694,3.010452962,5.716378162,6.376984127,4.812182741,4.962566845,2.175588865,11.15294118,9.018779343,5.718061674,6.545851528,14.71772429,4.423255814,8.832417582,11.71764706,4.215488215,1.027149321,4.930458971,4.034013605,9.32103321,8.992424242,3.604519774,10.53436807,6.966666667,2.551440329,1.658119658,5.973357016,1.648044693,6.067946824,4.137168142,3.502717391,2.595898673,2.543918919,2.508325171,2.659310345,9.192846034,3.872521246,2.707880435,17.1495098,2.818404908,2.915980231,8.157786885
Asparagine,0.3,0.218918919,0.2025,0.37027027,0.3425,0.268181818,0.327777778,0.240816327,0.171014493,0.204347826,0.276470588,0.247368421,0.235,0.752941176,0.369047619,0.861111111,0.442857143,0.148571429,0.306666667,0.125641026,0.163333333,0.227906977,0.098611111,0.198,0.125316456,0.176785714,0.361016949,0.246346555,0.270096463,0.181818182,0.094117647,0.129955947,0.332369942,0.202090592,0.203728362,0.277777778,0.411167513,0.363636364,0.145610278,0.594117647,0.38028169,0.242290749,0.35371179,0.415754923,0.302325581,0.285714286,1.105882353,0.276094276,0.156862745,0.250347705,0.404761905,0.346863469,0.965909091,0.22740113,0.412416851,0.338095238,0.165980796,0.103418803,0.25044405,0.27839851,0.169867061,0.134218289,0.141304348,0.246079614,0.114864865,0.150832517,0.125517241,0.360808709,0.162889518,0.164402174,0.296568627,0.191411043,0.21416804,0.174180328
Aspartate,1.662745098,1.613513514,2.9925,2.418918919,1.7775,0.715909091,1.375,0.895918367,1.572463768,1.986956522,1.105882353,1.213157895,0.85,4.305882353,1.804761905,1.805555556,4.571428571,1.307142857,3.743333333,0.455128205,1.541666667,1.853488372,1.094444444,1.656,0.803797468,1.785714286,2.574576271,1.91440501,1.688102894,1.954545455,1.119327731,1.268722467,2.271676301,1.927990708,2.090545939,3.496031746,4.243654822,4.695187166,0.82869379,4.229411765,3.868544601,3.392070485,2.152838428,2.643326039,1.572093023,2.43956044,10.75294118,2.34006734,2.108597285,2.151599444,1.428571429,1.457564576,5.863636364,0.980225989,2.062084257,1.723809524,1.502057613,0.866666667,0.806394316,1.229981378,0.849335303,0.827433628,1.3125,1.440289505,1.695945946,0.821743389,1.104827586,0.852255054,1.528328612,1.997282609,2.058823529,1.260122699,1.700164745,0.985655738
Beta-N-Acetylglucosamine,7.494117647,10.32972973,17.625,2.943243243,17.08,9.15,12.33611111,2.524489796,15.12753623,7.026086957,2.638235294,4.134210526,5.3375,2.902941176,9.347619048,4.011111111,4.168571429,4.901428571,15.965,4.792307692,8.958333333,6.253488372,8.280555556,3.94,6.117721519,14.84285714,19.46610169,15.37160752,10.81350482,9.159090909,14.15966387,5.535242291,10.21387283,7.130081301,6.043941411,6.21031746,7.751269036,6.427807487,7.749464668,13.65294118,40.14084507,12.49339207,4.851528384,8.10940919,6.158139535,6.230769231,8.829411765,21.28619529,17.74660633,4.855354659,4.74829932,3.232472325,3.833333333,3.478813559,9.77827051,8.178571429,11.10288066,6.55042735,3.952042629,5.156424581,7.562776957,6.278761062,12.31793478,23.00603136,15.23986486,5.627815867,2.586206897,8.842923795,20.05949008,7.275815217,10.74509804,7.171779141,28.98023064,8.30942623
Butyrate,10.70196078,4.459459459,10.37,13.03513514,9.955,3.202272727,19.675,2.740816327,6.123188406,9.639130435,2.817647059,3.602631579,3.22,10.42941176,7.307142857,1.972222222,7.251428571,4.842857143,8.201666667,4.680769231,5.911666667,8.937209302,6.379166667,1.554,3.236708861,7.328571429,11.90338983,3.774530271,2.59807074,2.756493506,5.927731092,4.098017621,9.216763006,3.466898955,4.841544607,2.05952381,10.56598985,4.422459893,1.520342612,7.417647059,4.338028169,1.63876652,2.772925764,7.216630197,1.274418605,3.423076923,13.54117647,5.858585859,5.21719457,4.129346314,1.180272109,5.819188192,11.28787879,3.796610169,1.966740576,3.35,2.920438957,1.734188034,0.840142096,2.297020484,1.375184638,6.435103245,5.169836957,3.913148372,3.564189189,3.548481881,6.646896552,0.947122862,1.239376771,5.191576087,1.605392157,1.919018405,1.126853377,1.172131148
Chenodeoxycholic acid,0.017647059,0.467567568,0.3625,0.078378378,0.055,1.677272727,1.891666667,0.748979592,0.962318841,0.723913043,0.176470588,2.505263158,0.285,0.155882353,0.04047619,0.85,0.12,0.06,0.181666667,0.162820513,0.553333333,0.246511628,0.025,0.452,0.567088608,0.576785714,0.33559322,1.158663883,2.691318328,1.201298701,1.722689076,1.81277533,1.450867052,0.118466899,3.075898802,2.996031746,0.124365482,3.625668449,1.586723769,8.252941176,4.882629108,11.82819383,3.179039301,0.094091904,7.827906977,3.214285714,0.523529412,0.801346801,0.461538462,0.161335188,5.619047619,2.557195572,0.196969697,0.766949153,2.241685144,0.388095238,4.570644719,2.179487179,1.042628774,0.173184358,0.500738552,0.091445428,0.044836957,4.688781665,1.418918919,2.989226249,1.08137931,1.421461897,2.33286119,0.110054348,4.330882353,3.011042945,1.235584843,0.975409836
Cholate,0.003921569,0.027027027,0.0225,0.016216216,0.015,0.047727273,0.013888889,0.108163265,0.004347826,0.013043478,0.355882353,0.144736842,0.36,0.020588235,0.00952381,1.177777778,0.025714286,0.008571429,0.01,0.053846154,0.013333333,0.023255814,0.002777778,0.376,0.012658228,0.0875,0.028813559,0.686847599,0.250803859,0.175324675,0.075630252,0.008810573,0.052023121,0.010452962,0.111850866,1.373015873,0.043147208,0.037433155,0.139186296,0.717647059,0.399061033,0.317180617,0.480349345,0.019693654,0.395348837,0.714285714,0.070588235,0.023569024,0.018099548,0.019471488,1.180272109,0.195571956,0.083333333,0.146892655,0.385809313,0.047619048,0.226337449,0.099145299,0.880994671,0.017690875,0.134416544,0.033923304,0.024456522,0.084439083,0.013513514,0.181194907,0.015172414,0.65163297,0.028328612,0.048913043,0.406862745,0.120245399,0.375617792,0.672131148
Choline,1.770588235,2.275675676,2.5825,3.448648649,3.1275,0.620454545,1.975,0.589795918,1.156521739,3.104347826,1.194117647,1.360526316,0.8625,6.179411765,5.707142857,1.983333333,5.9,2.784285714,1.94,0.462820513,2.105,3.376744186,1.191666667,0.642,0.762025316,2.205357143,3.688135593,3.795407098,0.646302251,0.769480519,0.742857143,0.854625551,4.069364162,2.367015099,3.944074567,0.75,4.14213198,1.689839572,1.325481799,4.347058824,3.971830986,1.052863436,1.480349345,5.52297593,1.195348837,3.741758242,17.38823529,1.71043771,1.853695324,3.816411683,0.962585034,0.693726937,8.431818182,0.995762712,0.516629712,1.092857143,2.556927298,1.18974359,0.319715808,2.861266294,0.366322009,1.626843658,1.519021739,1.20747889,1.197635135,1.39079334,1.051034483,0.306376361,0.378186969,1.96875,0.588235294,0.808588957,0.484349259,0.637295082
Cytidine monophosphate,0.419607843,0.921621622,0.855,0.302702703,0.33,0.581818182,0.736111111,0.246938776,0.573913043,0.315217391,0.5,0.576315789,0.41,0.438235294,0.266666667,1.6,0.92,0.155714286,0.078333333,0.226923077,0.235,0.41627907,0.302777778,0.52,0.269620253,0.380357143,0.155932203,0.181628392,1.350482315,0.899350649,1.065546218,0.246696035,0.48265896,0.180023229,0.181091877,1.682539683,0.329949239,2.417112299,0.314775161,1.417647059,1.061032864,2.405286344,1.528384279,0.361050328,2.046511628,0.184065934,1.611764706,1.077441077,0.117647059,0.275382476,1.214285714,0.826568266,0.352272727,0.142655367,0.988913525,0.95,0.17558299,0.099145299,0.738898757,0.094040968,0.389955687,0.252212389,0.198369565,0.20747889,0.599662162,0.200783546,0.252413793,0.732503888,0.23796034,0.157608696,0.892156863,0.157055215,0.268533773,1.098360656
D-Glucose,6.970588235,5.016216216,1.855,14.52972973,7.545,3.304545455,6.361111111,1.689795918,2.353623188,11.58478261,2.332352941,1.936842105,5.18,7.352941176,10.25714286,5.561111111,26.20571429,5.281428571,7.966666667,3.105128205,10.04666667,7.43255814,3.133333333,0.572,1.250632911,10.48214286,9.949152542,7.847599165,2.225080386,1.282467532,1.515966387,0.70154185,8.289017341,3.454123113,8.735019973,2.166666667,10.64720812,2.764705882,1.299785867,16.9,5.361502347,2.149779736,3.069868996,6.984682713,2.511627907,9.137362637,33.41176471,2.861952862,2.90346908,9.959666203,0.717687075,1.439114391,12.87878788,2.72740113,1.317073171,2.138095238,2.157750343,1.08974359,1.165186501,1.94972067,0.595273264,2.504424779,3.788043478,3.062726176,1.038851351,3.686581783,1.717241379,2.172628305,0.698300283,3.381793478,1.754901961,0.943558282,1.505766063,1.993852459
Dimethylamine,0.003921569,0.032432432,0.04,0.313513514,0.035,0.047727273,0.022222222,0.171428571,0.024637681,0.02173913,0.467647059,0.036842105,0.05,0.026470588,0.035714286,0.211111111,0.2,0.012857143,0.025,0.034615385,0.043333333,0.13255814,0.020833333,0.218,0.013924051,0.021428571,0.037288136,0.039665971,0.035369775,0.220779221,0.033613445,0.035242291,0.01734104,0.051103368,0.097203728,0.043650794,0.032994924,0.064171123,0.04496788,0.211764706,0.056338028,0.04845815,0.200873362,0.024070022,0.111627907,0.197802198,0.094117647,0.03030303,0.022624434,0.015299026,0.227891156,0.025830258,0.060606061,0.011299435,0.126385809,0.016666667,0.017832647,0.011111111,0.373001776,0.014897579,0.017725258,0.01179941,0.010869565,0.010856454,0.016891892,0.027424094,0.013793103,0.0155521,0.015580737,0.013586957,0.022058824,0.011042945,0.011532125,0.020491803
Ferulate,0.103921569,0.197297297,0.07,0.097297297,0.0575,0.161363636,0.066666667,0.283673469,0.04057971,0.095652174,0.35,0.136842105,0.1025,0.105882353,0.071428571,0.666666667,0.102857143,0.052857143,0.088333333,0.132051282,0.088333333,0.090697674,0.1,0.196,0.065822785,0.089285714,0.061016949,0.154488518,0.282958199,0.285714286,0.062184874,0.06277533,0.202312139,0.046457607,0.075898802,0.365079365,0.121827411,0.256684492,0.057815846,0.488235294,0.34741784,0.418502203,0.397379913,0.115973742,0.320930233,0.277472527,0.164705882,0.127946128,0.051282051,0.116828929,0.241496599,0.346863469,0.253787879,0.15960452,0.421286031,0.271428571,0.100137174,0.062393162,0.236234458,0.059590317,0.255539143,0.116519174,0.108695652,0.079613993,0.116554054,0.078354554,0.084137931,0.267496112,0.161473088,0.088315217,0.637254902,0.12392638,0.115321252,0.254098361
Formate,0.923529412,1.554054054,1.23,1.413513514,1.56,1.111363636,1.322222222,1.86122449,0.844927536,1.326086957,1.75,1.268421053,1.2325,1.6,1.461904762,2.688888889,1.84,0.724285714,1.26,0.579487179,0.898333333,1.220930233,0.705555556,1.476,0.644303797,0.989285714,1.786440678,1.137787056,1.279742765,1.633116883,0.61512605,0.658590308,1.060693642,0.711962834,0.603195739,1.591269841,1.16751269,2.267379679,0.680942184,2.305882353,1.755868545,2.740088106,1.480349345,1.258205689,1.576744186,1.173076923,2.452941176,1.212121212,0.604826546,0.531293463,0.146258503,1.579335793,1.321969697,0.559322034,1.219512195,1.19047619,0.669410151,0.417094017,1.150976909,0.462756052,0.720827179,0.699115044,0.67798913,0.633293124,0.861486486,0.4417238,0.586206897,0.838258165,0.698300283,0.622282609,1.343137255,0.559509202,0.863261944,1.069672131
Fucose,0.562745098,0.589189189,1.0075,0.656756757,0.845,0.825,0.666666667,0.287755102,0.868115942,0.515217391,0.826470588,0.686842105,0.6725,0.285294118,0.523809524,1.083333333,0.557142857,0.355714286,0.665,0.423076923,0.471666667,0.658139535,0.436111111,0.606,0.603797468,0.851785714,0.681355932,1.037578288,1.090032154,2.094155844,1.183193277,0.547356828,1.054913295,0.442508711,0.271637816,1.281746032,0.758883249,2.187165775,0.875802998,2.470588235,3.82629108,2.647577093,1.545851528,0.702407002,2.488372093,0.733516484,1.2,2.047138047,0.69984917,0.318497914,1.071428571,0.870848708,0.734848485,0.651129944,1.223946785,1.10952381,0.740740741,0.526495726,0.827708703,0.248603352,1.00295421,0.513274336,0.644021739,0.84318456,0.653716216,0.572967679,0.371034483,1.493001555,1.660056657,0.660326087,1.642156863,0.82208589,1.589785832,1.055327869
Fumarate,0.08627451,0.294594595,0.2075,0.183783784,0.39,0.115909091,0.105555556,0.12244898,0.126086957,0.117391304,0.117647059,0.15,0.1,0.047058824,0.114285714,0.266666667,0.2,0.05,0.198333333,0.028205128,0.106666667,0.113953488,0.105555556,0.056,0.121518987,0.153571429,1.571186441,0.217118998,0.24437299,0.214285714,0.208403361,0.168502203,0.121387283,0.211382114,0.129161119,0.297619048,0.159898477,0.304812834,0.100642398,0.347058824,0.478873239,0.726872247,0.327510917,0.166301969,0.330232558,0.282967033,0.170588235,0.185185185,0.117647059,0.104311544,0.394557823,0.3099631,0.03030303,0.084745763,0.197339246,0.161904762,0.192043896,0.123076923,0.081705151,0.120111732,0.134416544,0.157817109,0.157608696,0.229191797,0.201013514,0.135161606,0.162758621,0.107309487,0.107648725,0.086956522,0.151960784,0.111656442,0.146622735,0.129098361
Galactose,3.180392157,4.594594595,4.815,2.113513514,4.4,6.415909091,3.194444444,2.202040816,4.076811594,2.215217391,2.911764706,2.457894737,3.0525,0.888235294,2.485714286,5.838888889,2.474285714,1.702857143,4.93,2.084615385,2.79,2.837209302,2.484722222,1.82,2.417721519,4.528571429,5.111864407,5.187891441,4.800643087,3.941558442,4.299159664,2.003303965,3.49132948,2.008130081,1.51930759,3.154761905,2.550761421,3.475935829,2.959314775,7.247058824,16.12206573,6.396475771,3.72489083,2.562363239,3.023255814,3.793956044,2.247058824,7.127946128,4.907993967,1.410292072,1.80952381,3.070110701,0.965909091,2.514124294,3.505543237,3.25952381,3.465020576,2.158974359,2.145648313,1.689013035,3.165435746,2.634218289,4.362771739,6.313630881,4.415540541,2.098922625,1.205517241,4.623639191,6.885269122,2.55298913,5.794117647,2.435582822,8.63261944,4.81557377
Glucose 1-phosphate,4.22745098,0.591891892,0.5475,4.810810811,1.75,0.234090909,4.4,1.895918367,0.539130435,3.710869565,1.694117647,0.634210526,3.82,4.364705882,2.042857143,2.711111111,13.94,2.124285714,0.705,1.393589744,1.751666667,6.076744186,1.675,1.596,0.403797468,2.994642857,1.56440678,1.321503132,0.321543408,0.623376623,2.704201681,0.485682819,0.783236994,1.160278746,1.821571238,0.567460317,2.185279188,1.122994652,0.595289079,3.7,0.915492958,0.925110132,0.777292576,2.995623632,0.609302326,0.626373626,7.923529412,0.882154882,0.518853695,2.063977747,0.489795918,1.734317343,5.416666667,1.396892655,0.929046563,1.545238095,0.403292181,0.251282051,1.069271758,0.570763501,0.217134417,0.560471976,0.649456522,0.365500603,0.516891892,0.401567091,1.085517241,0.390357698,0.577903683,0.86548913,0.720588235,0.279754601,0.663920923,0.407786885
Glutamate,2.539215686,2.586486486,6.1975,3.602702703,4.4225,1.179545455,6.408333333,0.965306122,3.011594203,4.306521739,1.55,2.039473684,1.48,4.044117647,3.130952381,3.283333333,6.571428571,1.674285714,5.401666667,0.880769231,2.306666667,3.813953488,2.993055556,1.726,1.656962025,2.119642857,11.3559322,2.956158664,2.906752412,1.954545455,6.198319328,4.257709251,3.76300578,3.180023229,3.30758988,4.567460317,7.307106599,12.57754011,1.642398287,13.1,9.117370892,7.026431718,4.497816594,5.455142232,4,3.274725275,16.44705882,4.888888889,5.520361991,3.838664812,5.727891156,2.3099631,10.29166667,2.857344633,2.853658537,4.604761905,3.190672154,2.316239316,0.797513321,2.453445065,1.064992614,2.672566372,3.4375,6.306393245,8.697635135,2.686581783,3.773793103,1.33437014,3.077903683,3.960597826,3.181372549,2.849079755,2.774299835,1.981557377
Glutamine,0.715686275,0.986486486,1.685,1.821621622,1.685,0.525,0.894444444,0.52244898,0.873913043,1.356521739,1.070588235,0.447368421,0.515,2.532352941,1.285714286,1.055555556,2.497142857,0.757142857,1.595,0.258974359,1.025,0.627906977,0.386111111,1.22,0.492405063,1.014285714,2.33220339,0.981210856,0.556270096,0.402597403,0.472268908,0.927312775,1.26300578,0.904761905,1.697736352,0.793650794,2.411167513,1.577540107,0.561027837,2.535294118,1.938967136,1,0.602620087,1.897155361,2.246511628,0.85989011,7.158823529,0.723905724,0.791855204,0.968011127,0.56462585,0.442804428,3.984848485,0.338983051,0.481152993,0.271428571,0.66255144,0.412820513,0.367673179,0.717877095,0.283604136,0.517699115,0.645380435,0.890229192,0.717905405,0.465230167,0.657931034,0.231726283,0.331444759,0.65625,0.558823529,0.403680982,0.667215815,0.319672131
Glycine,1.168627451,1.302702703,2.23,2.483783784,1.75,0.606818182,1.902777778,0.546938776,1.134782609,1.506521739,1.026470588,0.815789474,0.7,3.094117647,1.55,1.161111111,3.451428571,0.902857143,3.02,0.416666667,1.315,1.706976744,0.869444444,1.202,0.57721519,1.646428571,6.925423729,1.258872651,0.829581994,0.808441558,0.779831933,1.199339207,1.132947977,1.534262485,1.665778961,1.226190476,2.068527919,1.614973262,0.620985011,3.2,2.075117371,1.792951542,1.126637555,2.597374179,1.106976744,1.508241758,6.235294118,1.249158249,1.135746606,1.280945758,1.513605442,0.763837638,4.162878788,0.560734463,1.308203991,1.192857143,1.017832647,0.677777778,0.470692718,0.905959032,0.446085672,0.790560472,0.974184783,1.431845597,1.548986486,0.745347698,1.20137931,0.527216174,0.814447592,1.065217391,0.93872549,0.660122699,1.169686985,0.606557377
Glycocholate,0.009803922,0.051351351,0.0375,0.021621622,0.02,0.05,0.061111111,0.163265306,0.008695652,0.026086957,0.064705882,0.339473684,0.075,0.038235294,0.023809524,0.222222222,0.042857143,0.017142857,0.02,0.053846154,0.11,0.053488372,0.004166667,0.08,0.058227848,0.1375,0.042372881,0.102296451,0.154340836,0.042207792,0.055462185,0.04185022,0.23699422,0.074332172,0.20505992,0.055555556,0.053299492,0.22459893,0.070663812,0.388235294,0.159624413,0.198237885,0.296943231,0.083150985,0.353488372,0.376373626,0.117647059,0.077441077,0.398190045,0.168289291,0.278911565,0.092250923,0.045454545,0.207627119,0.135254989,0.069047619,0.403292181,0.155555556,0.097690941,0.116387337,0.029542097,0.185840708,0.048913043,0.310012063,0.076013514,0.237022527,0.074482759,0.251944012,0.106232295,0.133152174,0.25,0.440490798,0.164744646,0.096311475
Guanosine monophosphate,1.768627451,1.397297297,2.7625,3.194594595,1.2825,1.05,1.483333333,0.569387755,1.020289855,1.947826087,0.858823529,1.136842105,0.6625,4.120588235,2.852380952,2.833333333,4.128571429,0.85,0.361666667,0.606410256,1.363333333,1.795348837,0.890277778,0.658,0.213924051,1.353571429,0.084745763,1.03131524,0.852090032,1.035714286,0.956302521,0.4030837,3.39017341,1.216027875,1.16644474,1.94047619,0.629441624,3.058823529,0.408993576,3.041176471,2.046948357,0.502202643,1.92139738,1.84463895,1.539534884,2.656593407,9.305882353,2.582491582,1.176470588,1.278164117,0.850340136,1.911439114,2.659090909,0.711864407,0.631929047,0.604761905,0.717421125,0.303418803,0.440497336,0.434823091,0.46676514,0.932153392,0.220108696,0.243667069,0.58277027,0.484818805,0.590344828,0.287713841,0.420679887,0.888586957,0.291666667,0.483435583,0.263591433,0.713114754
