Sample ID,186.M.C.3,187.M.C.3,188.C.C.3,189.C.C.3,190.C.C.3,191.M.C.3,192.M.C.3,193.C.C.3,194.C.C.3,197.C.C.3,198.M.C.3,199.C.C.3,225.C.C.3,226.C.C.3,227.C.C.3,228.M.C.3,229.M.C.3,269.M.S.3,270.M.S.3,271.M.S.3,272.M.S.3,255.M.C.3,256.M.C.3,257.C.C.3,23.C.S.3,25.C.S.3,26.C.S.3,59.C.S.3,60.C.S.3,35.C.S.3,36.C.S.3,38.C.S.3,30.C.S.4,31.C.S.4,74.C.S.3,76.C.S.3,68.C.S.3,69.C.S.3,70.C.S.3,45.C.S.3,46.C.S.3,48.C.S.3,53.C.S.3,57.C.S.3,62.C.S.3,63.C.S.3,64.C.S.3,72.C.S.3,73.C.S.3,51.C.S.3,50.C.S.3,42.C.S.3,40.C.S.3,27.M.S.4,28.M.S.4,37.M.S.3,80.M.S.3,81.M.S.3,49.M.S.3,52.M.S.3,55.M.S.3,58.M.S.3,54.M.S.3,43.M.S.3,56.M.S.3,77.M.S.3,75.M.S.3,61.M.S.3,47.M.S.3,71.M.S.3,65.M.S.3,44.M.S.3,67.M.S.3,41.M.S.3
Group,Mutant_Cohoused,Mutant_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Mutant_Cohoused,Mutant_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Mutant_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Mutant_Cohoused,Mutant_Cohoused,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Cohoused,Mutant_Cohoused,Control_Cohoused,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate
Phenylalanine,0.964705882,1.237837838,1.695,1.640540541,1.6125,0.811363636,0.819444444,0.659183673,0.902898551,1.406521739,0.785294118,0.702631579,0.595,2.952941176,1.261904762,1.827777778,2.671428571,0.77,2.433333333,0.408974359,0.846666667,0.993023256,0.584722222,1.156,0.608860759,1.182142857,4.057627119,1.150313152,0.823151125,0.668831169,0.578151261,0.640969163,0.841040462,1.023228804,1.181091877,1.138888889,1.911167513,1.64171123,0.488222698,1.970588235,1.971830986,1.854625551,1.227074236,2.18380744,0.953488372,1.093406593,5.070588235,0.915824916,0.690799397,0.76216968,1.193877551,0.937269373,2.810606061,0.507062147,1.374722838,0.926190476,0.77914952,0.572649573,0.538188277,0.615456238,0.53323486,0.548672566,0.786684783,1.039806996,1.02027027,0.507345739,0.808275862,0.618973561,0.873937677,0.876358696,1.325980392,0.592638037,1.296540362,0.577868852
Proline,1.384313725,1.591891892,1.625,2.194594595,1.975,0.515909091,1.236111111,0.691836735,0.834782609,1.252173913,0.691176471,0.786842105,0.8275,3.202941176,1.385714286,1.894444444,3.737142857,0.92,3.333333333,0.519230769,1.866666667,1.739534884,0.877777778,1.25,0.473417722,1.558928571,5.715254237,1.386221294,1.012861736,0.902597403,0.833613445,0.986784141,1.442196532,1.267131243,1.866844208,2.337301587,2.271573604,2.625668449,0.704496788,3.582352941,2.568075117,1.356828194,1.344978166,2.400437637,0.730232558,1.568681319,6.405882353,1.323232323,1.095022624,1.216968011,0.993197279,0.819188192,4.162878788,0.666666667,1.764966741,1.814285714,0.990397805,0.787179487,0.808170515,1.018621974,0.379615953,0.852507375,1.225543478,1.097708082,1.091216216,0.826640548,1.220689655,0.632970451,0.607648725,1.077445652,0.875,0.904294479,1.560131796,0.74795082
Propionate,5.721568627,7.989189189,9.63,11.01081081,10.185,5.563636364,13.05833333,4.295918367,4.843478261,8.823913043,4.532352941,5.263157895,8.5025,11.24705882,9.028571429,2.905555556,10.1,5.097142857,4.658333333,4.837179487,5.415,6.91627907,3.4875,2.656,4.348101266,6.632142857,10.69491525,6.112734864,4.659163987,5.564935065,4.645378151,2.693832599,12.99132948,3.462253194,5.098535286,2.138888889,7.251269036,3.449197861,5.064239829,6.817647059,5.23943662,1.986784141,2.917030568,8.358862144,2.134883721,5.425824176,14.87647059,7.589225589,4.954751131,4.282336579,2.404761905,7.992619926,15.27651515,3.718926554,2.88691796,3.85,2.964334705,1.474358974,1.884547069,2.261638734,3.056129985,5.738938053,3.608695652,2.747889023,2.231418919,3.391772772,4.776551724,1.276827372,1.124645892,4.75951087,2.681372549,2.87607362,1.596375618,1.233606557
Ribose,3.723529412,6.154054054,6.76,2.889189189,7.4625,2.309090909,6.469444444,1.032653061,2.205797101,4.85,0.758823529,1.621052632,2.5325,4.258823529,3.447619048,3.627777778,6.388571429,3.194285714,5.198333333,0.866666667,3.568333333,4.979069767,2.973611111,1.896,1.625316456,2.292857143,6.108474576,4.538622129,3.993569132,0.808441558,2.789915966,3.700440529,5.346820809,3.171893148,1.524633822,3.416666667,3.700507614,6.310160428,1.978586724,3.070588235,7.399061033,5.832599119,5.165938865,7.126914661,4.009302326,1.923076923,8.735294118,3.95959596,2.429864253,2.513212796,3.234693878,2.184501845,3.193181818,3.258474576,3.574279379,6.026190476,3.809327846,1.791452991,1.98401421,2.148044693,1.144756278,3.221238938,3.277173913,2.71893848,4.228040541,2.362389814,3.303448276,1.737169518,3.579320113,3.707880435,3.519607843,2.359509202,5.39538715,3.928278689
Succinate,1.647058824,2.710810811,4.52,9.748648649,4.2525,2.2,3.233333333,5.985714286,2.584057971,3.402173913,1.844117647,1.65,3.4775,8.155882353,5.942857143,1.116666667,13.32285714,2.478571429,1.953333333,0.6,3.098333333,3.955813953,1.644444444,0.794,0.94556962,3.317857143,4.620338983,3.486430063,1.122186495,1.561688312,1.830252101,1.685022026,2.49132948,3.56445993,4.30758988,1.01984127,4.568527919,1.935828877,1.323340471,6.623529412,5.0657277,1.872246696,1.384279476,5.897155361,2.348837209,8.947802198,21.62352941,1.582491582,2.064856712,3.933240612,2.047619048,0.896678967,9.321969697,1.439265537,1.44345898,1.223809524,1.368998628,0.816239316,0.390763766,1.373370577,1.410635155,1.119469027,1.319293478,1.627261761,1.886824324,1.104799216,2.197241379,0.491446345,0.706798867,1.538043478,0.830882353,0.773006135,0.635914333,0.993852459
Taurine,0.405882353,0.559459459,1.135,2.032432432,0.965,1.402272727,0.8,5.051020408,0.250724638,0.376086957,1.814705882,2.465789474,1.4525,1.541176471,1.492857143,3.111111111,2.32,0.771428571,0.9,0.156410256,0.848333333,1.360465116,0.448611111,0.802,0.144303797,0.523214286,0.949152542,1.081419624,2.125401929,1.714285714,0.613445378,0.682819383,6.75433526,1.81184669,1.042609854,0.353174603,1.096446701,0.56684492,4.537473233,5.729411765,0.82629108,0.823788546,2.851528384,1.980306346,21.59534884,5.909340659,3.364705882,0.585858586,0.466063348,0.42837274,6.557823129,0.431734317,3.178030303,0.498587571,7.463414634,0.311904762,1.263374486,1.123931624,5.674955595,0.273743017,0.426883309,0.513274336,0.486413043,0.496984318,0.380067568,2.02546523,0.431724138,0.810264386,0.185552408,0.535326087,2.110294118,1.36196319,0.528830313,0.430327869
Threonine,2.068627451,1.386486486,2,3.048648649,1.77,0.565909091,2.636111111,0.512244898,0.926086957,2.134782609,1.038235294,1.202631579,0.575,3.75,1.661904762,2.183333333,3.437142857,0.962857143,2.265,0.371794872,1.17,1.63255814,0.875,1.2,0.759493671,1.351785714,4.749152542,1.413361169,1.231511254,1.243506494,0.643697479,0.81277533,1.661849711,1.241579559,1.691078562,2.361111111,2.33248731,3.759358289,0.82012848,5.405882353,3.178403756,2.325991189,1.903930131,2.446389497,1.637209302,1.604395604,10.94705882,1.548821549,1.067873303,2.038942976,1.071428571,1.380073801,6.916666667,0.444915254,1.097560976,0.966666667,0.772290809,0.538461538,0.523978686,0.822160149,0.567208272,0.896755162,0.710597826,1.416164053,1.532094595,0.688540646,1.424827586,0.811819596,1.004249292,1.25,1.12745098,0.716564417,1.304777595,1.047131148
Thymine,0.249019608,0.7,1.5575,0.340540541,0.81,0.079545455,0.302777778,0.059183673,0.284057971,0.345652174,0.129411765,0.265789474,0.2,0.279411765,0.226190476,0.322222222,0.377142857,0.09,0.356666667,0.056410256,0.166666667,0.269767442,0.2125,0.128,0.275949367,0.251785714,1.547457627,0.423799582,0.421221865,0.136363636,0.171428571,0.292951542,0.315028902,0.347270616,0.246338216,0.285714286,0.454314721,0.582887701,0.226980728,0.564705882,0.624413146,0.964757709,0.397379913,0.663019694,0.204651163,0.277472527,0.988235294,0.161616162,0.194570136,0.204450626,0.544217687,0.121771218,0.231060606,0.125706215,0.130820399,0.228571429,0.134430727,0.083760684,0.150976909,0.150837989,0.067946824,0.228613569,0.289402174,0.373944511,0.273648649,0.123408423,0.135172414,0.152410575,0.382436261,0.182065217,0.303921569,0.181595092,0.471169687,0.106557377
Trimethylamine,0.017647059,0.043243243,0.0375,0.035135135,0.04,0.034090909,0.033333333,0.02244898,0.027536232,0.02826087,0.038235294,0.036842105,0.025,0.029411765,0.035714286,0.088888889,0.025714286,0.015714286,0.023333333,0.012820513,0.023333333,0.030232558,0.016666667,0.032,0.018987342,0.019642857,0.033898305,0.033402923,0.08681672,0.048701299,0.020168067,0.017621145,0.037572254,0.019744483,0.030625832,0.091269841,0.040609137,0.096256684,0.017130621,0.111764706,0.075117371,0.105726872,0.069868996,0.043763676,0.074418605,0.046703297,0.135294118,0.057239057,0.022624434,0.031988873,0.129251701,0.033210332,0.049242424,0.02259887,0.048780488,0.047619048,0.034293553,0.018803419,0.028419183,0.020484171,0.016248154,0.016224189,0.023097826,0.021712907,0.025337838,0.016650343,0.017931034,0.031104199,0.028328612,0.02173913,0.036764706,0.024539877,0.036243822,0.036885246
Tryptophan,0.184313725,0.17027027,0.2825,0.221621622,0.2525,0.095454545,0.122222222,0.181632653,0.086956522,0.210869565,0.232352941,0.168421053,0.1125,0.320588235,0.195238095,0.361111111,0.391428571,0.111428571,0.343333333,0.111538462,0.115,0.169767442,0.113888889,0.244,0.120253165,0.132142857,0.225423729,0.162839248,0.186495177,0.12012987,0.11092437,0.098017621,0.182080925,0.12659698,0.146471372,0.19047619,0.223350254,0.181818182,0.128479657,0.452941176,0.248826291,0.251101322,0.218340611,0.277899344,2.441860465,0.214285714,0.882352941,0.215488215,0.147812971,0.100139082,0.163265306,0.228782288,0.25,0.088983051,0.2172949,0.2,0.131687243,0.094871795,0.119005329,0.063314711,0.100443131,0.104719764,0.130434783,0.149577805,0.121621622,0.123408423,0.135172414,0.115085537,0.154390935,0.138586957,0.191176471,0.093251534,0.275123558,0.110655738
Tyrosine,0.778431373,0.897297297,1.595,1.413513514,1.4275,0.497727273,0.805555556,0.467346939,0.817391304,1.384782609,0.570588235,0.439473684,0.395,3,0.935714286,2.227777778,2.902857143,0.692857143,1.705,0.28974359,0.706666667,0.827906977,0.405555556,0.644,0.464556962,1.092857143,2.588135593,0.753653445,1.025723473,0.626623377,0.413445378,0.476872247,0.904624277,0.862950058,1.174434088,1.670634921,1.814720812,2.561497326,0.301927195,2.888235294,2.502347418,2.625550661,1.296943231,1.656455142,1.055813953,0.747252747,7.047058824,0.707070707,0.619909502,0.720445063,1.170068027,0.697416974,2.428030303,0.264124294,0.835920177,0.683333333,0.596707819,0.408547009,0.321492007,0.376163873,0.307237814,0.309734513,0.80298913,0.763570567,0.738175676,0.486777669,0.485517241,0.379471229,0.464589235,0.638586957,0.835784314,0.505521472,0.94398682,0.399590164
UMP,0.666666667,0.591891892,1.2,1.113513514,0.8125,0.252272727,0.597222222,0.112244898,0.482608696,0.908695652,0.252941176,0.310526316,0.2675,1.264705882,0.95,0.577777778,1.477142857,0.414285714,0.046666667,0.180769231,0.515,0.718604651,0.4875,0.14,0.160759494,0.483928571,0.044067797,0.607515658,0.488745981,0.331168831,0.45210084,0.399779736,1.106936416,0.665505226,0.478029294,0.837301587,1.02284264,1.187165775,0.147751606,1.188235294,1.258215962,0.964757709,0.733624454,1.135667396,0.809302326,0.903846154,3.141176471,0.932659933,0.4826546,0.543810848,0.506802721,0.490774908,1.075757576,0.395480226,0.243902439,0.614285714,0.524005487,0.178632479,0.211367673,0.260707635,0.150664697,0.446902655,0.27173913,0.208685163,0.33277027,0.288932419,0.48,0.208398134,0.164305949,0.464673913,0.355392157,0.289570552,0.184514003,0.344262295
Uracil,8.082352941,11.97027027,20.1075,12.31891892,16.375,2.036363636,15.175,0.857142857,9.762318841,14.69130435,2.391176471,5.118421053,3.0275,16.64411765,12.70952381,3.555555556,21.98285714,7.801428571,13.88833333,1.743589744,8.35,8.625581395,6.816666667,1.386,4.587341772,8.133928571,15.52033898,9.64091858,5.363344051,2.883116883,5.001680672,8.145374449,9.398843931,9.980255517,7.34620506,7.119047619,12.32233503,11.2459893,2.584582441,15.14117647,19.45070423,10.72246696,5.292576419,16.1487965,2.669767442,6.082417582,33.22941176,8.185185185,7.058823529,7.435326843,8.231292517,2.833948339,14.85606061,4.162429379,4.011086475,8.907142857,8.041152263,4.233333333,1.918294849,5.582867784,1.895125554,6.132743363,7.84375,9.868516285,11.13175676,5.458374143,6.055172414,3.063763608,5.793201133,6.475543478,4.129901961,3.871165644,5.70675453,4.153688525
Urocanate,0.150980392,0.094594595,0.07,0.075675676,0.07,0.061363636,0.072222222,0.036734694,0.026086957,0.030434783,0.085294118,0.113157895,0.06,0.070588235,0.035714286,0.127777778,0.077142857,0.038571429,0.063333333,0.044871795,0.098333333,0.16744186,0.090277778,0.072,0.062025316,0.114285714,0.123728814,0.08559499,0.096463023,0.051948052,0.070588235,0.034140969,0.170520231,0.12775842,0.050599201,0.146825397,0.098984772,0.20855615,0.08993576,0.229411765,0.215962441,0.149779736,0.148471616,0.067833698,0.111627907,0.101648352,0.564705882,0.077441077,0.045248869,0.075104312,0.12585034,0.103321033,0.151515152,0.070621469,0.119733925,0.178571429,0.120713306,0.075213675,0.06749556,0.055865922,0.062038405,0.061946903,0.069293478,0.038600724,0.108108108,0.03036239,0.067586207,0.079315708,0.056657224,0.119565217,0.174019608,0.085889571,0.098846787,0.06557377
Valerate,0.531372549,0.367567568,0.8025,0.532432432,0.8825,0.238636364,1.036111111,0.16122449,0.479710145,0.556521739,0.235294118,0.384210526,0.26,0.826470588,0.366666667,0.255555556,0.425714286,0.318571429,0.653333333,0.241025641,0.333333333,0.365116279,0.256944444,0.154,0.305063291,0.430357143,1.313559322,0.486430063,0.47266881,0.321428571,0.403361345,0.311674009,0.797687861,0.295005807,0.488681758,0.285714286,0.911167513,0.663101604,0.366167024,0.947058824,0.718309859,0.308370044,0.323144105,0.516411379,0.172093023,0.255494505,1.329411765,0.491582492,0.582202112,0.447844228,0.231292517,0.520295203,1.098484848,0.337570621,0.22616408,0.242857143,0.314128944,0.195726496,0.127886323,0.27839851,0.124076809,0.477876106,0.394021739,0.332931242,0.300675676,0.28403526,0.380689655,0.111975117,0.144475921,0.434782609,0.196078431,0.220858896,0.278418451,0.182377049
Valine,1.839215686,2.272972973,3.355,3.078378378,3.1875,1.127272727,1.780555556,1.071428571,1.971014493,2.686956522,1.311764706,1.060526316,0.97,6.452941176,2.345238095,2.377777778,6.011428571,1.641428571,5.208333333,0.744871795,1.776666667,2.060465116,1.220833333,1.758,1.15443038,2.721428571,9.577966102,1.924843424,1.147909968,1.025974026,1.154621849,1.385462555,1.604046243,2.291521487,2.72436751,1.888888889,3.92893401,2.92513369,0.856531049,3.2,3.389671362,2.907488987,1.558951965,4.280087527,1.046511628,1.793956044,12.35882353,1.602693603,1.542986425,1.828929068,1.676870748,1.095940959,4.901515152,0.644067797,1.711751663,1.788095238,1.511659808,0.941880342,0.737122558,1.261638734,0.901033973,1.137168142,1.505434783,2.10615199,2.121621622,1.16748286,1.434482759,1.01244168,1.470254958,1.616847826,1.615196078,0.950920245,2.18121911,1.172131148
