,71.M.S.6,65.M.S.6,47.M.S.6,44.M.S.6,67.M.S.6,74.C.S.6,76.C.S.6,63.C.S.6,64.C.S.6,72.C.S.6,73.C.S.6,269.M.S.6,270.M.S.6,272.M.S.6,22.M.S.5,20.C.S.5,21.C.S.5,12.M.S.6,62.C.S.8,186.M.C.6,187.M.C.6,188.C.C.6,189.C.C.6,190.C.C.6,191.M.C.6,192.M.C.6,193.C.C.6,194.C.C.6,195.C.C.6,197.C.C.6,198.M.C.6,199.C.C.6,225.C.C.6,226.C.C.6,227.C.C.6,228.M.C.6,229.M.C.6,236.M.C.6,237.C.C.6,238.C.C.6,241.C.C.6,242.M.C.6,243.C.C.6,252.M.C.6,253.C.C.6,254.C.C.6,255.M.C.6,256.M.C.6,257.C.C.6,259.M.C.6,261.C.C.6,262.C.C.6,263.C.C.6
,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Control_Separate,Control_Separate,Mutant_Separate,Control_Separate,Mutant_Cohoused,Mutant_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Mutant_Cohoused,Mutant_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Mutant_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Mutant_Cohoused,Mutant_Cohoused,Mutant_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Mutant_Cohoused,Control_Cohoused,Mutant_Cohoused,Control_Cohoused,Control_Cohoused,Mutant_Cohoused,Mutant_Cohoused,Control_Cohoused,Mutant_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused
Aspartate,1.630472855,1.654320988,2.596618357,1.678571429,4.300429185,0.892339545,1.995967742,3.967871486,1.370018975,1.852140078,2.367983368,0.916666667,1.653846154,0.652564103,1.049531459,3.701986755,3.026607539,0.860351563,1.692082111,1.328897338,1.512886598,0.962589928,0.783505155,2.537190083,1.127329193,1.571794872,1.258394161,0.618721461,1.005199307,0.762666667,0.466666667,1.695410292,1.542002301,0.50295858,1.208530806,0.716157205,1.75,0.703958692,0.96827262,0.763485477,0.650141643,0.866071429,0.863547758,0.66061706,1.42721519,0.451666667,0.856729378,1.436708861,0.551932367,1.635416667,1.639037433,0.733212341,0.766025641
Beta-N-Acetylglucosamine,16.42556918,10.18871252,20.98309179,10.36607143,29.70815451,1.788819876,5.379032258,33.20080321,9.916508539,7.739299611,18.25571726,4.4,10.56923077,10.54358974,5.878179384,16.86423841,16.26385809,9.520507813,10.75953079,6.41634981,2.391752577,6.477697842,3.887886598,19.20454545,16.88819876,9.794871795,3.861313869,10.50114155,3.209705373,2.88,3.834782609,5.235048679,17.3118527,3.321499014,2.687203791,4.347161572,11.11617647,5.04130809,4.887191539,10.22614108,5.936260623,1.876785714,11.53021442,7.301270417,11.76582278,5.085,4.516642547,13.42405063,1.553140097,3.549479167,6.28342246,6.390199637,6.177884615
Butyrate,6.197898424,9.283950617,12.95169082,1.258928571,4.605150215,10.20910973,4.27016129,8.493975904,8.138519924,12.68093385,11.30769231,1.386111111,3.257692308,2.584615385,2.906291834,3.751655629,3.592017738,2.463867188,9.586510264,1.868821293,1.716494845,2.391366906,2.456185567,5.287190083,6.860248447,1.117948718,5.159124088,2.01369863,5.928942808,0.706666667,1.837681159,5.556328234,2.675489068,1.130177515,1.944707741,2.469432314,5.070588235,1.139414802,0.965922444,4.128630705,0.743626062,0.414285714,1.265107212,1.441016334,2.620253165,1.038333333,1.358900145,1.41350211,0.933574879,0.755208333,1.122994652,1.127041742,0.772435897
Chenodeoxycholic acid,1.134851138,0.100529101,0.094202899,1.386904762,2.570815451,0.805383023,0.911290323,0.16064257,0.237191651,0.961089494,0.066528067,1.494444444,2.784615385,1.691025641,5.263721553,11.9602649,1.277161863,0.318359375,7.337243402,3.798479087,3.538659794,2.047482014,2.666237113,2.795454545,2.122670807,1.133333333,3.797080292,3.603881279,3.745233969,1.112,0.369565217,0.835883171,2.543153049,0.542406312,1.856240126,0.637554585,0.083823529,1.550774527,1.69212691,0.738589212,5.379603399,0.698214286,1.26705653,0.787658802,1.648734177,1.641666667,4.037626628,10.55696203,2.080917874,3.979166667,8.975935829,0.882032668,1.322115385
Cholate,0.019264448,0.024691358,0.007246377,0.077380952,0.030042918,0.17184265,0.056451613,0.032128514,0.011385199,0.140077821,0.008316008,1.194444444,0.873076923,0.219230769,0.022757697,1.182119205,0.039911308,0.047851563,0.15542522,0.503802281,0.494845361,0.129496403,0.405927835,0.05785124,0.029503106,0.123076923,0.01459854,0.091324201,0.01559792,1.72,0.443478261,0.015299026,0.013808976,1.114398422,0.671406003,0.482532751,0.036764706,0.500860585,0.247943596,0.008298755,0.849858357,0.919642857,0.169590643,0.059891107,0.047468354,0.425,0.073806078,0.546413502,0.161835749,0.911458333,1.040106952,0.248638838,0.607371795
Choline,1.371278459,1.793650794,2.152173913,1.0625,2.236051502,0.942028986,1.774193548,4.863453815,1.561669829,1.377431907,3.692307692,0.444444444,0.376923077,0.532051282,0.380187416,2.960264901,3.88691796,1.408203125,1.299120235,0.228136882,0.340206186,0.237410072,0.461340206,1.121900826,0.291925466,0.453846154,0.981021898,0.273972603,0.374350087,0.352,0.169565217,0.947148818,0.304948216,0.191321499,0.328593997,0.358078603,1.080882353,0.084337349,0.121034078,0.348547718,0.205382436,1.167857143,0.311890838,0.225045372,1.234177215,0.178333333,0.218523878,0.835443038,0.149758454,0.419270833,0.304812834,0.381125227,0.323717949
Cytidine monophosphate,0.42732049,0.48324515,0.611111111,0.964285714,3.231759657,0.304347826,0.887096774,1.168674699,0.385199241,1.60311284,0.596673597,0.738888889,2.153846154,0.505128205,0.927710843,1.549668874,0.370288248,0.220703125,1.850439883,0.961977186,1.005154639,0.512230216,0.367268041,0.621900826,0.785714286,1.351282051,0.119708029,0.159817352,0.409012132,0.168,0.45942029,0.293463143,0.499424626,0.230769231,0.372827804,0.805676856,0.432352941,0.376936317,0.28907168,0.394190871,0.417847025,0.282142857,0.512670565,0.671506352,0.42721519,0.265,0.400868307,0.44092827,0.368357488,0.7734375,1.131016043,0.57168784,0.427884615
D-Glucose,8.607705779,5.781305115,3.316425121,1.592261905,10.8111588,5.215320911,3.903225806,16.76305221,4.007590133,20.96498054,3.446985447,1.313888889,3.069230769,1.902564103,0.848728246,5.513245033,13.05986696,3.315429688,5.140762463,1.633079848,1.608247423,1.358273381,2.055412371,6.466942149,3.419254658,2.746153846,4.487591241,0.659817352,1.819757366,1.469333333,0.6,6.755215577,1.630609896,0.42800789,0.808846761,1.624454148,7.513235294,0.230636833,0.197414806,1.798755187,2.290368272,0.7125,1.228070175,1.172413793,4.617088608,1.103333333,0.458755427,1.455696203,0.194444444,0.5234375,0.713903743,0.622504537,0.831730769
Dimethylamine,0.024518389,0.014109347,0.02173913,0.133928571,0.051502146,0.314699793,0.052419355,0.064257028,0.013282732,0.023346304,0.014553015,0.022222222,0.023076923,0.006410256,0.018741633,0.059602649,0.015521064,0.005859375,0.023460411,0.007604563,0.012886598,0.005755396,0.006443299,0.006198347,0.007763975,0.015384615,0.005839416,0.00456621,0.010398614,0.018666667,0.008695652,0.005563282,0.004602992,0.01183432,0.009478673,0.013100437,0.004411765,0.015490534,0.007050529,0.004149378,0.007082153,0.007142857,0.009746589,0.005444646,0.015822785,0.008333333,0.00723589,0.018987342,0.007246377,0.013020833,0.013368984,0.001814882,0.004807692
Ferulate,0.141856392,0.121693122,0.157004831,0.360119048,0.618025751,0.196687371,0.701612903,0.152610442,0.111954459,0.354085603,0.076923077,0.477777778,0.526923077,0.135897436,0.080321285,0.221854305,0.090909091,0.0703125,0.269794721,0.480988593,0.649484536,0.221582734,0.167525773,0.194214876,0.172360248,0.469230769,0.103649635,0.067351598,0.124783362,0.261333333,0.289855072,0.150208623,0.101265823,0.268244576,0.143759874,0.480349345,0.104411765,0.089500861,0.104582844,0.284232365,0.212464589,0.416071429,0.276803119,0.335753176,0.452531646,0.163333333,0.214182344,0.248945148,0.167874396,0.486979167,0.409090909,0.266787659,0.254807692
