,71.M.S.6,65.M.S.6,47.M.S.6,44.M.S.6,67.M.S.6,74.C.S.6,76.C.S.6,63.C.S.6,64.C.S.6,72.C.S.6,73.C.S.6,269.M.S.6,270.M.S.6,272.M.S.6,22.M.S.5,20.C.S.5,21.C.S.5,12.M.S.6,62.C.S.8,186.M.C.6,187.M.C.6,188.C.C.6,189.C.C.6,190.C.C.6,191.M.C.6,192.M.C.6,193.C.C.6,194.C.C.6,195.C.C.6,197.C.C.6,198.M.C.6,199.C.C.6,225.C.C.6,226.C.C.6,227.C.C.6,228.M.C.6,229.M.C.6,236.M.C.6,237.C.C.6,238.C.C.6,241.C.C.6,242.M.C.6,243.C.C.6,252.M.C.6,253.C.C.6,254.C.C.6,255.M.C.6,256.M.C.6,257.C.C.6,259.M.C.6,261.C.C.6,262.C.C.6,263.C.C.6
,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Control_Separate,Control_Separate,Mutant_Separate,Control_Separate,Mutant_Cohoused,Mutant_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Mutant_Cohoused,Mutant_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Mutant_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Mutant_Cohoused,Mutant_Cohoused,Mutant_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Mutant_Cohoused,Control_Cohoused,Mutant_Cohoused,Control_Cohoused,Control_Cohoused,Mutant_Cohoused,Mutant_Cohoused,Control_Cohoused,Mutant_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused
Hexanoylcarnitine,0.054290718,0.130511464,0.11352657,1.5625,0.167381974,0.246376812,0.056451613,0.393574297,0.136622391,0.140077821,0.176715177,0.422222222,0.169230769,0.051282051,0.070950469,0.208609272,0.246119734,0.05859375,0.079178886,0.30418251,0.172680412,0.043165468,0.100515464,0.144628099,0.091614907,0.266666667,0.113868613,0.02739726,0.045060659,0.458666667,0.331884058,0.108484006,0.052934407,0.228796844,0.075829384,0.286026201,0.163235294,0.04302926,0.065804935,0.213692946,0.206798867,0.219642857,0.142300195,0.049001815,0.053797468,0.268333333,0.054992764,0.054852321,0.292270531,0.106770833,0.200534759,0.259528131,0.115384615
Histamine,0.126094571,0.380952381,0.224637681,0.49702381,0.377682403,0.182194617,0.298387097,0.297188755,0.140417457,0.287937743,0.153846154,0.294444444,0.234615385,0.082051282,0.127175368,0.245033113,0.164079823,0.236328125,0.061583578,0.19581749,0.139175258,0.109352518,0.137886598,0.394628099,0.200310559,0.215384615,0.237956204,0.097031963,0.204506066,0.194666667,0.185507246,0.187760779,0.247410817,0.134122288,0.109004739,0.172489083,0.189705882,0.046471601,0.1386604,0.20746888,0.276203966,0.217857143,0.214424951,0.2323049,0.477848101,0.105,0.230101302,0.221518987,0.09178744,0.200520833,0.259358289,0.379310345,0.251602564
Histidine,0.518388792,0.522045855,0.528985507,0.446428571,1.021459227,0.217391304,0.423387097,0.421686747,0.199240987,0.46692607,0.297297297,0.180555556,0.407692308,0.102564103,0.34939759,0.764900662,0.450110865,0.25,0.442815249,0.174904943,0.090206186,0.089208633,0.125,0.390495868,0.153726708,0.158974359,0.18540146,0.063926941,0.100519931,0.282666667,0.149275362,0.104311544,0.066743383,0.124260355,0.173775671,0.179039301,0.254411765,0.075731497,0.074030552,0.10373444,0.055240793,0.130357143,0.216374269,0.154264973,0.287974684,0.128333333,0.069464544,0.160337553,0.09178744,0.174479167,0.227272727,0.099818512,0.136217949
Hypoxanthine,0.087565674,0.051146384,0.043478261,0.077380952,0.334763948,0.066252588,0.129032258,0.236947791,0.111954459,0.128404669,0.11018711,0.061111111,0.157692308,0.041025641,0.038821954,0.261589404,0.155210643,0.036132813,0.105571848,0.041825095,0.038659794,0.044604317,0.021907216,0.134297521,0.034161491,0.087179487,0.03649635,0.043378995,0.020797227,0.024,0.02173913,0.043115438,0.086306099,0.025641026,0.036334913,0.041484716,0.030882353,0.025817556,0.012925969,0.049792531,0.02266289,0.030357143,0.113060429,0.058076225,0.129746835,0.045,0.095513748,0.137130802,0.024154589,0.057291667,0.090909091,0.052631579,0.0625
Inosine,0.367775832,0.924162257,1.449275362,0.071428571,0.463519313,0.095238095,0.185483871,1.21686747,0.652751423,0.214007782,0.738045738,0.033333333,0.138461538,0.307692308,0.176706827,0.271523179,0.818181818,0.158203125,0.478005865,0.034220532,0.046391753,0.058992806,0.088917526,0.876033058,0.326086957,0.135897436,0.173722628,0.079908676,0.251299827,0.037333333,0.04057971,0.264255911,0.370540852,0.029585799,0.030015798,0.048034934,0.480882353,0.027538726,0.017626322,0.060165975,0.056657224,0.023214286,0.091617934,0.067150635,0.348101266,0.031666667,0.05788712,0.168776371,0.013285024,0.046875,0.128342246,0.050816697,0.040064103
Isobutyrate,0.80385289,0.467372134,0.949275362,0.607142857,1.072961373,0.378881988,0.782258065,0.919678715,0.462998102,0.949416342,0.711018711,2.208333333,1.546153846,0.387179487,0.309236948,1,0.649667406,0.353515625,0.985337243,1.347908745,0.530927835,0.808633094,0.578608247,2.283057851,2.316770186,3.374358974,0.849635036,0.571917808,1.162911612,0.429333333,0.685507246,0.986091794,1.554660529,0.674556213,0.641390205,0.449781659,0.929411765,0.194492255,0.509988249,0.796680498,0.407932011,2.210714286,0.931773879,0.97277677,2.278481013,1.59,0.916063676,1.20464135,0.938405797,1.138020833,0.812834225,1.154264973,1.104166667
Isoleucine,1.012259194,1.331569665,1.403381643,0.62797619,3.253218884,0.66873706,1.112903226,2.59437751,1.191650854,1.354085603,2.17047817,0.888888889,1.061538462,0.593589744,1.012048193,1.48013245,2.164079823,0.978515625,1.7771261,0.741444867,0.634020619,0.490647482,0.414948454,2.394628099,0.816770186,1.258974359,0.693430657,0.375570776,0.518197574,0.330666667,0.260869565,1.176634214,1.349827388,0.368836292,0.33807267,0.469432314,1.694117647,0.137693632,0.3960047,0.300829876,0.895184136,0.691071429,0.549707602,0.540834846,1.272151899,0.23,0.315484805,0.556962025,0.177536232,0.411458333,0.577540107,0.495462795,0.336538462
Isovalerate,0.206654991,0.165784832,0.224637681,0.053571429,0.077253219,0.072463768,0.141129032,0.140562249,0.180265655,0.19844358,0.326403326,0.030555556,0.069230769,0.051282051,0.135207497,0.225165563,0.059866962,0.107421875,0.340175953,0.068441065,0.067010309,0.077697842,0.042525773,0.115702479,0.107142857,0.043589744,0.052554745,0.054794521,0.100519931,0.042666667,0.046376812,0.0472879,0.13118527,0.041420118,0.064770932,0.045851528,0.110294118,0.032702238,0.030552291,0.039419087,0.031161473,0.051785714,0.04288499,0.059891107,0.14556962,0.04,0.031837916,0.042194093,0.02294686,0.033854167,0.045454545,0.023593466,0.028846154
L-Arginine,0.273204904,0.363315697,0.548309179,0.279761905,0.944206009,0.35610766,0.407258065,0.558232932,0.313092979,0.428015564,0.449064449,0.319444444,0.319230769,0.135897436,0.15394913,0.546357616,0.390243902,0.16796875,0.369501466,0.336501901,0.239690722,0.211510791,0.201030928,0.276859504,0.279503106,0.351282051,0.302189781,0.094748858,0.239168111,0.344,0.134782609,0.406119611,0.248561565,0.116370809,0.124802528,0.23580786,0.379411765,0.04475043,0.143360752,0.201244813,0.253541076,0.5625,0.20662768,0.152450091,0.569620253,0.203333333,0.095513748,0.187763713,0.062801932,0.091145833,0.197860963,0.132486388,0.108974359
Lactate,12.16812609,3.126984127,6.623188406,24.99107143,2.832618026,9.538302277,24.31854839,24.74698795,15.25047438,9.031128405,4.885654886,59.31388889,7.376923077,2.691025641,5.741633199,27.14569536,11.23059867,10.53320313,17.80938416,14.7851711,12.95103093,6.116546763,8.980670103,8.630165289,9.52173913,21.68205128,8.81459854,4.53652968,9.003466205,7.744,5.414492754,9.134909597,1.345224396,9.258382643,5.015797788,11.02401747,5.954411765,1.908777969,4.532314924,8.002074689,6.147308782,11.55535714,6.760233918,8.145190563,20.97151899,6.398333333,6.81186686,8.841772152,6.760869565,18.35416667,15.98128342,18.48820327,14.92788462
Leucine,1.334500876,1.733686067,2.074879227,1.056547619,4.420600858,1.099378882,1.548387097,3.562248996,1.666034156,2.299610895,2.954261954,1.588888889,1.407692308,0.679487179,1.250334672,3.32781457,2.658536585,1.318359375,1.850439883,1.176806084,0.914948454,0.738129496,0.471649485,2.987603306,1.329192547,2.207692308,1.086131387,0.623287671,0.960138648,0.976,0.586956522,1.894297636,1.906789413,0.883629191,0.59399684,0.969432314,1.888235294,0.294320138,0.595769683,0.556016598,1.111898017,1.178571429,0.953216374,0.713248639,1.57278481,0.398333333,0.444283647,1.002109705,0.368357488,0.770833333,0.874331551,0.693284936,0.616987179
Lysine,2.50262697,3.687830688,6.492753623,2.693452381,7.175965665,1.689440994,3.052419355,7.562248996,4.309297913,3.739299611,7.542619543,3.936111111,3.157692308,1.933333333,2.870147256,5.990066225,6.059866962,2.548828125,3.876832845,1.688212928,1.453608247,1.362589928,1.835051546,5.838842975,3.198757764,3.138461538,2.941605839,1.441780822,2.651646447,1.52,0.808695652,3.560500695,3.562715765,1.449704142,1.605055292,1.563318777,4.257352941,0.671256454,1.238542891,1.512448133,2.412181303,2.898214286,1.635477583,1.838475499,5.443037975,1.16,1.289435601,2.635021097,1.050724638,2.2734375,3.36631016,1.784029038,1.578525641
Malonate,0.245183888,0.176366843,0.140096618,0.074404762,0.248927039,0.120082816,0.189516129,0.248995984,0.117647059,0.210116732,0.234927235,0.080555556,0.084615385,0.043589744,0.203480589,0.466887417,0.201773836,0.0703125,0.170087977,0.043726236,0.082474227,0.048920863,0.052835052,0.05785124,0.027950311,0.153846154,0.048175182,0.02739726,0.036395147,0.237333333,0.044927536,0.036161335,0.037974684,0.053254438,0.042654028,0.06768559,0.075,0.061962134,0.01880141,0.076763485,0.067988669,0.055357143,0.07797271,0.092558984,0.148734177,0.133333333,0.056439942,0.113924051,0.039855072,0.130208333,0.240641711,0.13430127,0.086538462
Mannose,0.511383538,1.71957672,0.963768116,0.360119048,0.253218884,0.182194617,0.383064516,1.353413655,0.622390892,0.385214008,0.918918919,0.263888889,0.4,0.379487179,0.175368139,0.258278146,1.002217295,0.400390625,0.211143695,0.197718631,0.268041237,0.063309353,0.292525773,1.002066116,0.75,0.223076923,0.637956204,0.050228311,0.863084922,0.296,0.185507246,0.991655076,0.181818182,0.175542406,0.063191153,0.412663755,0.963235294,0.223752151,0.109283196,0.114107884,0.174220963,0.269642857,0.066276803,0.067150635,0.731012658,0.101666667,0.109985528,0.156118143,0.106280193,0.083333333,0.144385027,0.10707804,0.076923077
Methionine,0.676007005,0.865961199,1.195652174,0.514880952,2.575107296,0.482401656,0.806451613,1.919678715,0.671726755,1.062256809,1.0997921,0.616666667,1.026923077,0.346153846,0.767068273,1.546357616,1.341463415,0.46875,0.997067449,0.52661597,0.592783505,0.329496403,0.344072165,1.123966942,0.642857143,0.758974359,0.442335766,0.22260274,0.480069324,0.482666667,0.291304348,0.645340751,0.706559264,0.333333333,0.31121643,0.408296943,0.742647059,0.234079174,0.238542891,0.286307054,0.501416431,0.471428571,0.37037037,0.426497278,0.996835443,0.288333333,0.316931983,0.457805907,0.171497585,0.4609375,0.799465241,0.344827586,0.286858974
Methylamine,0.940455342,0.835978836,1.987922705,1.160714286,3.381974249,0.759834369,2.673387097,2.248995984,1.20113852,2.490272374,1.511434511,0.338888889,0.634615385,0.266666667,1.072289157,1.890728477,0.911308204,0.512695313,0.211143695,0.351711027,0.515463918,0.243165468,0.265463918,0.690082645,0.422360248,0.574358974,0.277372263,0.226027397,0.334488735,0.512,0.269565217,0.353268428,0.410817031,0.364891519,0.236966825,0.467248908,0.414705882,0.141135972,0.159811986,0.32780083,0.28470255,0.1875,0.409356725,0.388384755,0.96835443,0.328333333,0.264833575,0.345991561,0.137681159,0.3671875,0.545454545,0.491833031,0.371794872
Nicotinate,0.877408056,1.0335097,1.400966184,0.273809524,1.356223176,0.215320911,0.487903226,1.726907631,0.815939279,0.968871595,1.126819127,0.302777778,0.615384615,0.456410256,0.583668005,0.854304636,0.869179601,0.377929688,0.809384164,0.207224335,0.208762887,0.189928058,0.255154639,1.022727273,0.723602484,0.343589744,0.738686131,0.318493151,0.726169844,0.296,0.156521739,0.656467316,0.560414269,0.228796844,0.282780411,0.205240175,0.819117647,0.104991394,0.135135135,0.238589212,0.114730878,0.157142857,0.235867446,0.185117967,1.003164557,0.113333333,0.186685962,0.411392405,0.157004831,0.325520833,0.347593583,0.239564428,0.304487179
Oxypurinol,8.243432574,1.278659612,3.483091787,13.10119048,19.48927039,1.968944099,7.282258065,2.401606426,4.119544592,22.23735409,3.738045738,2.466666667,6.146153846,2.342307692,6.437751004,25.93046358,8.12195122,2.616210938,14.98826979,2.448669202,2.422680412,2.061870504,1.739690722,3.898760331,4.577639752,3.074358974,1.880291971,1.147260274,3.431542461,1.24,1.08115942,1.897079277,2.346375144,1.230769231,1.54028436,2.737991266,0.969117647,1.156626506,1.211515864,1.041493776,1.432011331,1.041071429,1.598440546,1.611615245,4.490506329,0.536666667,1.882778582,4.259493671,1.484299517,3.018229167,4.280748663,2.588021779,1.91025641
Phenylacetic acid,0.586690018,0.384479718,0.671497585,0.43452381,0.532188841,0.155279503,1.088709677,1.325301205,0.626185958,0.548638132,1.158004158,0.325,0.426923077,0.214102564,0.210174029,0.582781457,0.842572062,0.25,0.659824047,0.148288973,0.118556701,0.171223022,0.262886598,0.797520661,0.450310559,0.115384615,0.435036496,0.186073059,0.258232236,0.090666667,0.131884058,0.31015299,0.452243959,0.140039448,0.123222749,0.170305677,0.258823529,0.068846816,0.116333725,0.186721992,0.133144476,0.230357143,0.116959064,0.168784029,0.389240506,0.126666667,0.105643994,0.339662447,0.105072464,0.091145833,0.326203209,0.10707804,0.179487179
Phenylalanine,0.676007005,0.827160494,1.31884058,0.696428571,3.244635193,0.652173913,1.040322581,1.746987952,0.777988615,1.26459144,1.388773389,1.022222222,0.873076923,0.408974359,0.788487282,1.51986755,1.543237251,0.643554688,1.134897361,0.743346008,0.646907216,0.417266187,0.350515464,1.493801653,0.644409938,1.035897436,0.525547445,0.347031963,0.459272097,0.416,0.27826087,0.922114047,0.911392405,0.408284024,0.320695103,0.504366812,1.014705882,0.244406196,0.352526439,0.367219917,0.923512748,0.766071429,0.575048733,0.475499093,0.791139241,0.288333333,0.301013025,0.546413502,0.198067633,0.494791667,0.63368984,0.466424682,0.341346154
Proline,1.415061296,1.195767196,1.400966184,1.357142857,2.201716738,0.600414079,1.286290323,3.265060241,0.956356736,1.817120623,1.802494802,0.652777778,1.153846154,0.88974359,0.6854083,2.920529801,1.629711752,1.124023438,1.692082111,0.876425856,0.878865979,0.566906475,0.547680412,1.797520661,0.645962733,1.069230769,0.816058394,0.381278539,0.696707106,0.624,0.602898551,0.933240612,0.904487917,0.546351085,0.499210111,0.834061135,1.114705882,0.204819277,0.28907168,0.5,0.531161473,1.35,0.436647173,0.450090744,1.189873418,0.32,0.269175109,0.64556962,0.199275362,0.486979167,0.622994652,0.499092559,0.434294872
Propionate,4.95971979,4.215167549,4.983091787,4.154761905,4.317596567,8.799171843,3.370967742,9.706827309,6.199240987,6.556420233,8.625779626,2.963888889,4.484615385,2.757692308,2.309236948,4.483443709,4.243902439,2.647460938,11.25806452,2.918250951,2.466494845,4.604316547,4.461340206,4.340909091,6.107142857,3.156410256,5.624817518,2.702054795,6.164644714,2.021333333,3.371014493,4.742698192,2.482163406,2.009861933,4.222748815,2.866812227,4.389705882,3.068846816,1.920094007,8.2406639,1.628895184,0.844642857,3.253411306,2.268602541,4.46835443,3.036666667,2.487698987,2.700421941,2.632850242,1.638020833,1.909090909,2.607985481,1.217948718
Ribose,2.313485114,1.46031746,7.929951691,6.369047619,9.184549356,0.070393375,1.673387097,10.40160643,6.130929791,5.719844358,6.164241164,1.888888889,3.161538462,2.320512821,4.744310576,6.592715232,4.920177384,3.740234375,3.017595308,1.910646388,1.896907216,1.038848921,1.675257732,7.095041322,3.507763975,3.005128205,3.093430657,2.091324201,3.190641248,2.016,0.986956522,4.80945758,4.707710012,2.761341223,1.436018957,2.292576419,5.448529412,1.339070568,1.407755582,0.761410788,1.423512748,0.678571429,1.399610136,1.914700544,5.193037975,1.343333333,1.638205499,2.877637131,0.694444444,1.6015625,1.943850267,1.201451906,1.604166667
Succinate,1.898423818,2.414462081,3.219806763,10.33630952,2.416309013,2.875776398,1.213709677,3.353413655,2.415559772,49.86770428,3.61954262,10.97777778,1.896153846,1.161538462,1.385542169,2.549668874,6.44345898,1.131835938,2.970674487,4.745247148,0.992268041,1.303597122,1.010309278,3.167355372,2.49689441,4.479487179,2.564963504,1.228310502,2.726169844,0.730666667,1.162318841,2.340751043,1.372842348,0.682445759,1.271721959,0.705240175,2.485294118,0.640275387,1.16333725,2.356846473,0.454674221,6.775,0.925925926,0.713248639,3.10443038,2.706666667,0.874095514,1.210970464,1.095410628,1.002604167,1.050802139,1.099818512,1.294871795
Taurine,0.318739054,0.375661376,0.816425121,0.49702381,1.128755365,1.774327122,1.032258065,1.43373494,0.740037951,0.93385214,1.517671518,6.247222222,3.619230769,0.212820513,0.174029451,7.857615894,0.982261641,0.244140625,1.979472141,2.882129278,3.652061856,0.890647482,1.657216495,0.745867769,0.461180124,1.443589744,0.491970803,0.642694064,0.383015598,1.136,0.352173913,0.787204451,0.197928654,0.518737673,1.353870458,1.886462882,1.051470588,0.148020654,0.280846063,0.139004149,3.150141643,1.510714286,0.202729045,0.228675136,0.981012658,7.278333333,0.235890014,1.485232068,0.710144928,5.442708333,0.564171123,0.31215971,0.334935897
Threonine,1.520140105,2.186948854,2.033816425,0.714285714,2.772532189,0.960662526,1.536290323,3.257028112,1.180265655,1.813229572,1.775467775,0.877777778,1.153846154,0.508974359,1.042838019,2.294701987,2.303769401,0.692382813,1.686217009,0.730038023,0.538659794,0.608633094,0.407216495,1.619834711,0.513975155,1.533333333,0.626277372,0.533105023,0.601386482,0.64,0.234782609,0.902642559,1.117376295,0.560157791,0.510268562,0.489082969,0.922058824,0.383820998,0.373678026,0.414937759,0.641643059,0.503571429,0.339181287,0.421052632,0.96835443,0.186666667,0.328509407,0.516877637,0.214975845,0.338541667,0.497326203,0.381125227,0.427884615
Thymine,0.670753065,0.292768959,0.297101449,0.181547619,0.506437768,0.031055901,0.116935484,0.152610442,0.227703985,0.128404669,0.241164241,0.094444444,0.184615385,0.085897436,0.289156627,0.433774834,0.44789357,0.263671875,0.258064516,0.079847909,0.103092784,0.083453237,0.101804124,0.747933884,0.155279503,0.135897436,0.127007299,0.081050228,0.103986135,0.109333333,0.055072464,0.139082058,0.544303797,0.072978304,0.058451817,0.056768559,0.091176471,0.025817556,0.064629847,0.05186722,0.097733711,0.096428571,0.140350877,0.130671506,0.189873418,0.061666667,0.047756874,0.120253165,0.062801932,0.0859375,0.248663102,0.072595281,0.084935897
Trimethylamine,0.042031524,0.029982363,0.043478261,0.068452381,0.081545064,0.022774327,0.080645161,0.064257028,0.024667932,0.054474708,0.018711019,0.027777778,0.065384615,0.016666667,0.029451138,0.039735099,0.035476718,0.018554688,0.049853372,0.036121673,0.06185567,0.017266187,0.016752577,0.041322314,0.023291925,0.046153846,0.02189781,0.014840183,0.020797227,0.037333333,0.023188406,0.016689847,0.016110472,0.041420118,0.02685624,0.037117904,0.013235294,0.012048193,0.016451234,0.01659751,0.031161473,0.021428571,0.031189084,0.032667877,0.03164557,0.018333333,0.020260492,0.042194093,0.019323671,0.041666667,0.061497326,0.032667877,0.03525641
Tryptophan,0.206654991,0.167548501,0.188405797,0.18452381,0.566523605,0.140786749,0.233870968,0.385542169,0.123339658,0.342412451,0.164241164,0.266666667,0.215384615,0.056410256,0.176706827,0.245033113,0.305986696,0.125,0.202346041,0.08365019,0.103092784,0.087769784,0.067010309,0.216942149,0.127329193,0.243589744,0.077372263,0.068493151,0.150779896,0.16,0.071014493,0.152990264,0.29689298,0.118343195,0.048973144,0.054585153,0.077941176,0.037865749,0.039952996,0.062240664,0.185552408,0.155357143,0.115009747,0.11615245,0.186708861,0.048333333,0.073806078,0.143459916,0.061594203,0.083333333,0.14973262,0.045372051,0.040064103
Tyrosine,0.450087566,0.631393298,1.214975845,0.517857143,3.454935622,0.445134576,1.379032258,1.97188755,0.647058824,1.307392996,1.249480249,0.872222222,0.9,0.358974359,0.414993307,1.195364238,1.370288248,0.341796875,1.988269795,0.655893536,0.693298969,0.398561151,0.255154639,1.22107438,0.458074534,0.951282051,0.397080292,0.202054795,0.343154246,0.448,0.262318841,0.696801113,0.573072497,0.272189349,0.319115324,0.508733624,0.772058824,0.17211704,0.303172738,0.433609959,0.660056657,0.589285714,0.600389864,0.490018149,0.797468354,0.243333333,0.214182344,0.459915612,0.165458937,0.473958333,0.759358289,0.390199637,0.384615385
UMP,0.527145359,0.544973545,1,0.208333333,1.39055794,0.3126294,0.657258065,2.144578313,0.736242884,1.112840467,0.598752599,0.261111111,0.834615385,0.515384615,0.27978581,1.572847682,1.297117517,0.36328125,1.797653959,0.247148289,0.304123711,0.202877698,0.389175258,0.811983471,0.513975155,0.551282051,0.432116788,0.206621005,0.52339688,0.189333333,0.114492754,0.617524339,0.344073648,0.136094675,0.251184834,0.301310044,0.435294118,0.13253012,0.131609871,0.186721992,0.21388102,0.25,0.220272904,0.261343013,0.810126582,0.101666667,0.20260492,0.681434599,0.121980676,0.325520833,0.628342246,0.352087114,0.294871795
Uracil,13.48861646,12.31216931,16.40338164,3.824404762,13.83690987,1.49689441,5.205645161,20.02811245,11.09867173,7.894941634,10.96257796,0.808333333,2.657692308,2.174358974,8.346720214,12.00662252,14.32150776,8.012695313,5.947214076,0.918250951,0.922680412,1,1.547680412,6.834710744,3.600931677,2.325641026,2.859854015,1.607305936,2.944540728,1.456,0.746376812,3.902642559,4.024165708,0.960552268,1.017377567,0.864628821,4.236764706,0.550774527,0.636897767,1.043568465,0.774787535,0.553571429,1.050682261,1.157894737,3.867088608,0.538333333,0.843704776,1.94092827,0.501207729,0.796875,1.748663102,1.021778584,1
Urocanate,0.045534151,0.0670194,0.04589372,0.068452381,0.154506438,0.074534161,0.217741935,0.248995984,0.075901328,0.105058366,0.085239085,0.083333333,0.15,0.106410256,0.052208835,0.122516556,0.075388027,0.026367188,0.208211144,0.100760456,0.12628866,0.103597122,0.06185567,0.179752066,0.091614907,0.105128205,0.03649635,0.037671233,0.076256499,0.144,0.055072464,0.137691238,0.088607595,0.065088757,0.04107425,0.115720524,0.127941176,0.082616179,0.032902468,0.05186722,0.053824363,0.078571429,0.1208577,0.119782214,0.224683544,0.096666667,0.078147612,0.164556962,0.071256039,0.106770833,0.112299465,0.08892922,0.073717949
Valerate,0.507880911,0.511463845,0.683574879,0.285714286,0.622317597,0.627329193,0.399193548,0.534136546,0.559772296,0.770428016,0.858627859,0.080555556,0.142307692,0.228205128,0.222222222,0.589403974,0.254988914,0.185546875,0.832844575,0.089353612,0.113402062,0.175539568,0.216494845,0.326446281,0.517080745,0.107692308,0.494890511,0.289954338,0.481802426,0.08,0.107246377,0.386648122,0.242807825,0.106508876,0.309636651,0.091703057,0.397058824,0.055077453,0.086956522,0.317427386,0.083569405,0.075,0.126705653,0.157894737,0.246835443,0.063333333,0.117221418,0.14556962,0.055555556,0.114583333,0.106951872,0.108892922,0.065705128
Valine,1.464098074,1.698412698,2.280193237,0.910714286,4.377682403,0.824016563,1.423387097,3.682730924,1.671726755,1.953307393,2.765072765,1.533333333,1.465384615,0.81025641,1.504685408,2.745033113,3.141906874,1.3125,2.595307918,1.081749049,0.920103093,0.487769784,0.586340206,3.219008264,1.111801242,1.769230769,0.997080292,0.503424658,0.755632582,0.698666667,0.382608696,1.64394993,1.80552359,0.552268245,0.47235387,0.709606987,2.061764706,0.313253012,0.439482961,0.408713693,1.269121813,0.851785714,0.723196881,0.711433757,1.537974684,0.39,0.500723589,1.097046414,0.283816425,0.736979167,1.080213904,0.724137931,0.53525641
Xanthine,5.866900175,6.091710758,8.456521739,1.842261905,11.14592275,0.592132505,2.387096774,12.06024096,5.275142315,4.762645914,5.72972973,1.447222222,2.684615385,2.611538462,4.298527443,7.493377483,5.188470067,2.915039063,6.319648094,1.519011407,1.621134021,1.233093525,1.565721649,9.076446281,4.043478261,2.897435897,2.519708029,1.996575342,3.393414211,1.586666667,1.044927536,3.88178025,5.540851554,1.045364892,1.056872038,0.949781659,4.914705882,0.585197935,0.873090482,0.736514523,0.961756374,0.635714286,1.797270955,1.143375681,4.417721519,0.536666667,1.001447178,1.664556962,0.643719807,1.1328125,2.513368984,1.090744102,1.174679487
Xylose,1.397548161,1.358024691,3.024154589,5.380952381,8.227467811,3.494824017,11.16532258,6.530120482,1.185958254,7.175097276,1.056133056,4.511111111,9.203846154,2.683333333,2.301204819,5.708609272,1.605321508,1.66015625,4.521994135,9.69391635,10.32216495,3.260431655,1.948453608,1.973140496,1.925465839,11.45384615,0.845255474,1.133561644,2.090121317,3.445333333,6.610144928,1.378303199,0.766398159,6.102564103,1.751974724,10.24454148,1.248529412,2.487091222,1.057579318,4.253112033,3.449008499,4.271428571,4.931773879,4.796733212,4.234177215,1.358333333,1.500723589,3.533755274,1.583333333,2.875,4.120320856,2.442831216,2.748397436
p-Cresol,0.126094571,0.111111111,0.082125604,0.053571429,0.364806867,0.101449275,0.358870968,0.204819277,0.045540797,0.245136187,0.168399168,0.05,0.057692308,0.024358974,0.09772423,0.185430464,0.073170732,0.046875,0.11143695,0.091254753,0.157216495,0.070503597,0.051546392,0.064049587,0.054347826,0.061538462,0.049635036,0.033105023,0.039861352,0.138666667,0.073913043,0.034770515,0.036823936,0.108481262,0.074249605,0.102620087,0.038235294,0.018932874,0.043478261,0.062240664,0.056657224,0.041071429,0.109161793,0.083484574,0.088607595,0.098333333,0.054992764,0.05907173,0.061594203,0.088541667,0.114973262,0.072595281,0.065705128
?-Alanine,0.238178634,0.239858907,0.632850242,0.178571429,0.313304721,0.089026915,0.262096774,0.787148594,0.371916509,0.190661479,0.41995842,0.1,0.176923077,0.079487179,0.089692102,0.228476821,0.243902439,0.243164063,0.360703812,0.108365019,0.110824742,0.069064748,0.057989691,0.324380165,0.192546584,0.148717949,0.362043796,0.059360731,0.100519931,0.093333333,0.08115942,0.207232267,0.544303797,0.084812623,0.055292259,0.072052402,0.154411765,0.020654045,0.03760282,0.062240664,0.031161473,0.130357143,0.056530214,0.043557169,0.110759494,0.043333333,0.056439942,0.116033755,0.031400966,0.075520833,0.122994652,0.061705989,0.080128205
