"","Kingdom","King.conf","Phylum","Phy.conf","Class","Class.conf","Order","Order.conf","family","fam.conf","genus","gen.conf"
"210","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Lachnospiraceae","100","Lachnospiraceae_unclassified","100"
"211","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Ruminococcaceae","100","Ruminococcaceae_unclassified","100"
"212","Bacteria","100","Firmicutes","100","Firmicutes_unclassified","100","Firmicutes_unclassified","100","Firmicutes_unclassified","100","Firmicutes_unclassified","100"
"213","Bacteria","100","Actinobacteria","100","Actinobacteria","100","Coriobacteriales","100","Coriobacteriaceae","100","Collinsella","100"
"214","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Clostridiales_Incertae_Sedis_XI","100","Anaerococcus","100"
"215","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Lachnospiraceae","100","Lachnospiraceae_unclassified","100"
"216","Bacteria","100","Bacteroidetes","100","Bacteroidia","100","Bacteroidales","100","Prevotellaceae","100","Prevotella","100"
"217","Bacteria","100","Bacteria_unclassified","100","Bacteria_unclassified","100","Bacteria_unclassified","100","Bacteria_unclassified","100","Bacteria_unclassified","100"
"218","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Ruminococcaceae","100","Ruminococcaceae_unclassified","100"
"219","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Lachnospiraceae","100","Lachnospiraceae_unclassified","100"
"220","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Ruminococcaceae","100","Clostridium_IV","99"
"221","Bacteria","100","Actinobacteria","100","Actinobacteria","100","Coriobacteriales","100","Coriobacteriaceae","100","Coriobacteriaceae_unclassified","100"
"222","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Lachnospiraceae","100","Lachnospiraceae_unclassified","100"
"223","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Ruminococcaceae","100","Ruminococcaceae_unclassified","100"
"224","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Ruminococcaceae","100","Oscillibacter","100"
"225","Bacteria","100","Bacteroidetes","100","Bacteroidia","100","Bacteroidales","100","Prevotellaceae","100","Prevotella","100"
"226","Bacteria","100","Firmicutes","100","Erysipelotrichia","100","Erysipelotrichales","100","Erysipelotrichaceae","100","Holdemania","100"
"227","Bacteria","100","Proteobacteria","100","Proteobacteria_unclassified","100","Proteobacteria_unclassified","100","Proteobacteria_unclassified","100","Proteobacteria_unclassified","100"
"228","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Lachnospiraceae","100","Lachnospiraceae_unclassified","95"
"229","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Lachnospiraceae","100","Lachnospiraceae_unclassified","100"
"230","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Ruminococcaceae","100","Intestinimonas","85"
"231","Bacteria","100","Firmicutes","100","Firmicutes_unclassified","74","Firmicutes_unclassified","74","Firmicutes_unclassified","74","Firmicutes_unclassified","74"
"232","Bacteria","100","Firmicutes","100","Bacilli","100","Lactobacillales","100","Lactobacillaceae","100","Lactobacillus","100"
"233","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Clostridiaceae_1","100","Clostridium_sensu_stricto","100"
"234","Bacteria","100","Bacteria_unclassified","100","Bacteria_unclassified","100","Bacteria_unclassified","100","Bacteria_unclassified","100","Bacteria_unclassified","100"
"235","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Ruminococcaceae","100","Clostridium_IV","100"
"236","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Clostridiales_unclassified","100","Clostridiales_unclassified","100"
"237","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Ruminococcaceae","99","Oscillibacter","99"
"238","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Clostridiales_unclassified","100","Clostridiales_unclassified","100"
"239","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Ruminococcaceae","100","Ruminococcaceae_unclassified","97"
"240","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Lachnospiraceae","100","Lachnospiraceae_unclassified","99"
"241","Bacteria","100","Proteobacteria","100","Alphaproteobacteria","99","Alphaproteobacteria_unclassified","99","Alphaproteobacteria_unclassified","99","Alphaproteobacteria_unclassified","99"
"242","Bacteria","100","Firmicutes","100","Negativicutes","100","Selenomonadales","100","Acidaminococcaceae","100","Phascolarctobacterium","100"
"243","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Ruminococcaceae","100","Ruminococcaceae_unclassified","100"
"244","Bacteria","100","Proteobacteria","100","Betaproteobacteria","100","Betaproteobacteria_unclassified","100","Betaproteobacteria_unclassified","100","Betaproteobacteria_unclassified","100"
"245","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Lachnospiraceae","100","Lachnospiraceae_unclassified","100"
"246","Bacteria","100","Actinobacteria","100","Actinobacteria","100","Coriobacteriales","100","Coriobacteriaceae","100","Coriobacteriaceae_unclassified","100"
"247","Bacteria","100","Bacteroidetes","100","Bacteroidetes_unclassified","100","Bacteroidetes_unclassified","100","Bacteroidetes_unclassified","100","Bacteroidetes_unclassified","100"
