ID,date,sex,genotype,mouse,time,r1,r2
m50.9.14,14-Sep,m,mutant,m850,40,m50-9-14_S252_L001_R1_001.fastq,m50-9-14_S252_L001_R2_001.fastq
m50.9.28,28-Sep,m,mutant,m850,54,m50-9-28_S268_L001_R1_001.fastq,m50-9-28_S268_L001_R2_001.fastq
m66.7.26,26-Jul,m,control,m866,0,m66-7-26_S197_L001_R1_001.fastq,m66-7-26_S197_L001_R2_001.fastq
m66.8.10,10-Aug,m,control,m866,15,m66-8-10_S213_L001_R1_001.fastq,m66-8-10_S213_L001_R2_001.fastq
m66.8.30,30-Aug,m,control,m866,25,m66-8-30_S229_L001_R1_001.fastq,m66-8-30_S229_L001_R2_001.fastq
m66.9.14,14-Sep,m,control,m866,40,m66-9-14_S245_L001_R1_001.fastq,m66-9-14_S245_L001_R2_001.fastq
m66.9.28,28-Sep,m,control,m866,54,m66-9-28_S261_L001_R1_001.fastq,m66-9-28_S261_L001_R2_001.fastq
m67.7.26,26-Jul,m,mutant,m867,0,m67-7-26_S207_L001_R1_001.fastq,m67-7-26_S207_L001_R2_001.fastq
m67.8.10,10-Aug,m,mutant,m867,15,m67-8-10_S223_L001_R1_001.fastq,m67-8-10_S223_L001_R2_001.fastq
m67.8.30,30-Aug,m,mutant,m867,25,m67-8-30_S239_L001_R1_001.fastq,m67-8-30_S239_L001_R2_001.fastq
m67.9.14,14-Sep,m,mutant,m867,40,m67-9-14_S255_L001_R1_001.fastq,m67-9-14_S255_L001_R2_001.fastq
m67.9.28,28-Sep,m,mutant,m867,54,m67-9-28_S271_L001_R1_001.fastq,m67-9-28_S271_L001_R2_001.fastq
m68.7.26,26-Jul,m,mutant,m868,0,m68-7-26_S208_L001_R1_001.fastq,m68-7-26_S208_L001_R2_001.fastq
m68.8.10,10-Aug,m,mutant,m868,15,m68-8-10_S224_L001_R1_001.fastq,m68-8-10_S224_L001_R2_001.fastq
m68.8.30,30-Aug,m,mutant,m868,25,m68-8-30_S240_L001_R1_001.fastq,m68-8-30_S240_L001_R2_001.fastq
m68.9.14,14-Sep,m,mutant,m868,40,m68-9-14_S256_L001_R1_001.fastq,m68-9-14_S256_L001_R2_001.fastq
m68.9.28,28-Sep,m,mutant,m868,54,m68-9-28_S272_L001_R1_001.fastq,m68-9-28_S272_L001_R2_001.fastq
m69.7.26,26-Jul,f,control,m869,0,m69-7-26_S205_L001_R1_001.fastq,m69-7-26_S205_L001_R2_001.fastq
m69.8.10,10-Aug,f,control,m869,15,m69-8-10_S221_L001_R1_001.fastq,m69-8-10_S221_L001_R2_001.fastq
m69.8.30,30-Aug,f,control,m869,25,m69-8-30_S237_L001_R1_001.fastq,m69-8-30_S237_L001_R2_001.fastq
m69.9.14,14-Sep,f,control,m869,40,m69-9-14_S253_L001_R1_001.fastq,m69-9-14_S253_L001_R2_001.fastq
m69.9.28,28-Sep,f,control,m869,54,m69-9-28_S269_L001_R1_001.fastq,m69-9-28_S269_L001_R2_001.fastq
m70.7.26,26-Jul,f,mutant,m870,0,m70-7-26_S200_L001_R1_001.fastq,m70-7-26_S200_L001_R2_001.fastq
m70.8.10,10-Aug,f,mutant,m870,15,m70-8-10_S216_L001_R1_001.fastq,m70-8-10_S216_L001_R2_001.fastq
m70.8.30,30-Aug,f,mutant,m870,25,m70-8-30_S232_L001_R1_001.fastq,m70-8-30_S232_L001_R2_001.fastq
m70.9.14,14-Sep,f,mutant,m870,40,m70-9-14_S248_L001_R1_001.fastq,m70-9-14_S248_L001_R2_001.fastq
m70.9.28,28-Sep,f,mutant,m870,54,m70-9-28_S264_L001_R1_001.fastq,m70-9-28_S264_L001_R2_001.fastq
m71.7.26,26-Jul,f,mutant,m871,0,m71-7-26_S203_L001_R1_001.fastq,m71-7-26_S203_L001_R2_001.fastq
m71.8.10,10-Aug,f,mutant,m871,15,m71-8-10_S219_L001_R1_001.fastq,m71-8-10_S219_L001_R2_001.fastq
m71.8.30,30-Aug,f,mutant,m871,25,m71-8-30_S235_L001_R1_001.fastq,m71-8-30_S235_L001_R2_001.fastq
m71.9.28,28-Sep,f,mutant,m871,54,m71-9-28_S267_L001_R1_001.fastq,m71-9-28_S267_L001_R2_001.fastq
m72.7.26,26-Jul,f,mutant,m872,0,m72-7-26_S206_L001_R1_001.fastq,m72-7-26_S206_L001_R2_001.fastq
m72.8.10,10-Aug,f,mutant,m872,15,m72-8-10_S222_L001_R1_001.fastq,m72-8-10_S222_L001_R2_001.fastq
m72.8.30,30-Aug,f,mutant,m872,25,m72-8-30_S238_L001_R1_001.fastq,m72-8-30_S238_L001_R2_001.fastq
m72.9.14,14-Sep,f,mutant,m872,40,m72-9-14_S254_L001_R1_001.fastq,m72-9-14_S254_L001_R2_001.fastq
m72.9.28,28-Sep,f,mutant,m872,54,m72-9-28_S270_L001_R1_001.fastq,m72-9-28_S270_L001_R2_001.fastq
