"","","sample.id","Genotype","","","MDS1","MDS2","","m840.c.0","m841.m.0","m842.m.0","m844.m.0","m846.m.0","m848.c.0","m849.c.0","m850.m.0","m866.c.0","m867.m.0","m868.m.0","m869.c.0","m870.m.0","m871.m.0","m872.m.0"
"Figure 3a","Day 0","m840.c.0","control","","NMDS points","-0.413467232805352","Bray-Curtis Dissimilarity between samples","m840.c.0","","","","","","","","","","","","","","",""
"","","m850.m.54","mutant","","","0.330431614763017","0.333577190908491","m850.m.54","0.477581009796534","0.513752825923135","0.518462697814619","0.546345139412208","0.495855312735494","0.297475508666164","0.444800301431801","0.508854559155991","","","","","","","",""
"","","m866.c.54","control","","","-0.169470933240648","-0.170788821823939","m866.c.54","0.258854559155991","0.434815373021854","0.404483798040693","0.340429540316503","0.269781461944235","0.434626978146194","0.269027882441598","0.343067068575735","0.449510173323286","","","","","","",""
"","","m867.m.54","mutant","","","0.536637341062603","-0.0398875265781502","m867.m.54","0.508854559155991","0.453843255463451","0.395440844009043","0.574415975885456","0.440467219291635","0.446307460437076","0.453278070836473","0.542200452147702","0.402599849284099","0.458929917106255","","","","","",""
"","","m868.m.54","mutant","","","0.0803230969919857","0.337500201016189","m868.m.54","0.32309721175584","0.55802562170309","0.503767897513188","0.52147701582517","0.418048229088169","0.247362471740769","0.409193669932178","0.443481537302185","0.333835719668425","0.434438583270535","0.442916352675207","","","","",""
"","","m869.c.54","control","","","-0.252863616639975","0.155618168010233","m869.c.54","0.296345139412208","0.557083647324793","0.55501130369254","0.38733986435569","0.34457422758101","0.38733986435569","0.207611152976639","0.212321024868124","0.484174830444612","0.357385079125848","0.530896759608139","0.368688771665411","","","",""
"","","m870.m.54","mutant","","","-0.0702782704399383","0.0341199988311468","m870.m.54","0.259984928409947","0.406556141672947","0.467030896759608","0.37490580256217","0.254333082140166","0.373210248681236","0.271100226073851","0.279389600602864","0.430482290881688","0.334966088922381","0.444611906556142","0.357196684250188","0.275244913338357","","",""
"","","m871.m.54","mutant","","","-0.126163065432847","0.164628322052032","m871.m.54","0.328560663149962","0.456103993971364","0.525056518462698","0.412019593067069","0.389788997739262","0.35983421250942","0.276563677467973","0.286925395629239","0.417483044461191","0.381876412961567","0.518839487565938","0.371703089675961","0.302750565184627","0.218538055764883","",""
"","","m872.m.54","mutant","","","0.111129317221553","0.0543272760350811","m872.m.54","0.355689525244913","0.398078372268274","0.425960813865863","0.468914845516202","0.355312735493595","0.347211755840241","0.356254709871892","0.348718914845516","0.392991710625471","0.402788244159759","0.404295403165034","0.387716654107008","0.35361718161266","0.199886963074604","0.250376789751319",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
