"","","BC distance within patients","BC distance between patients and relatives","BC distance within Relatives"
"1","Figure 1b","0.886169780666125","0.511677497969131","0.64733956133225"
"2","","0.52142567018684","0.848903330625508","0.604792851340374"
"3","","0.633631194151097","0.690393988627132","0.579406986190089"
"4","","0.657189277010561","0.664703493095045","0.635357432981316"
"5","","0.78929731925264","0.525487408610885","0.731722177091795"
"6","","0.894496344435418","0.709991876523152","0.59463850528026"
"7","","0.53391551584078","0.855706742485784","0.501015434606011"
"8","","0.569557270511779","0.422826969943136","0.672420796100731"
"9","","0.79193744922827","0.477457351746548","0.690698619008936"
"10","","0.498070674248578","0.726340373679935","0.506397238017872"
"11","","0.703290008123477","0.52944760357433","0.696588139723802"
"12","","0.607737611697807","0.648354995938262","0.404142973192526"
"13","","0.549857839155158","0.50264012997563","0.493501218521527"
"14","","0.963952071486596","0.72502030869212","0.727457351746548"
"15","","0.6071283509342","0.987307067424858","0.687855402112104"
"16","","0.624695369618197","0.64642567018684","0.448009748172218"
"17","","0.697705117790414","0.501726238830219","0.618196588139724"
"18","","0.55442729488221","0.63931762794476","0.686941510966694"
"19","","0.650385865150284","0.438667749796913","0.428716490658002"
"20","","0.51695775792039","0.487002437043054","0.519496344435418"
"21","","0.458671811535337","0.376320064987815","0.504163281884647"
"22","","0.639622258326564","0.465678310316816","0.529346060113729"
"23","","0.493805848903331","0.658407798537774","0.736799350121852"
"24","","0.543155970755483","0.390231519090171","0.50984971567831"
"25","","0.566409423233144","0.543054427294882","0.478371242891958"
"26","","0.801279447603574","0.465678310316816","0.411454102355808"
"27","","0.547725426482535","0.890129975629569","0.553919577579204"
"28","","0.580727051177904","0.620125913891145","0.60002030869212"
"29","","0.62317221770918","0.477558895207149","0.431458164094232"
"30","","0.773558082859464","0.662774167343623","0.375507717303006"
"31","","0.776909017059301","0.701563769293257","0.620329000812348"
"32","","0.606112916328188","0.623679935012185","0.607229894394801"
"33","","0.726949634443542","0.374898456539399","0.450649878147847"
"34","","0.932981316003249","0.791125101543461","0.816612510154346"
"35","","0.736494719740049","0.979995938261576","0.646933387489846"
"36","","0.565089358245329","0.688058489033306","0.550060926076361"
"37","","0.833265637692933","0.618602761982128","0.590475223395613"
"38","","0.772745735174655","0.787875710804224","0.68836311941511"
"39","","0.49735987002437","0.663281884646629","0.631194151096669"
"40","","0.659017059301381","0.428005686433794","0.397238017871649"
"41","","0.671303818034119","0.545085296506905","0.424045491470349"
"42","","0.394800974817222","0.656986190089358","0.529650690495532"
"43","","0.466592201462226","0.6963850528026","0.60174654752234"
"44","","0.512286758732738","0.75091389114541","0.747562956945573"
"45","","0.71253046303818","0.856722177091795","0.576563769293257"
"46","","0.696486596263201","0.810418359057677","0.512083671811535"
"47","","0.608143785540211","0.636677497969131","0.431864337936637"
"48","","0.77142567018684","0.52589358245329","0.696994313566206"
"49","","0.872461413484972","0.77497969130788","0.597989439480098"
"50","","0.966186027619821","0.962327376116978","0.511677497969131"
"51","","0.865861088545898","0.859362307067425","0.609159220146223"
"52","","0.636068237205524","0.800670186839967","0.60895613322502"
"53","","0.904853777416734","0.680036555645816","0.626320064987815"
"54","","0.903939886271324","0.791226645004062","0.580422420796101"
"55","","0.963647441104793","0.976035743298132","0.628960194963444"
"56","","0.767973192526401","0.688667749796913","0.590982940698619"
"57","","0.74461819658814","0.669983753046304","0.646019496344435"
"58","","0.851238830219334","0.715475223395613","0.702883834281072"
"59","","0.940292445166531","0.788281884646629","0.591592201462226"
"60","","0.761982128350934","0.815495532087734","0.824329813160033"
"61","","0.745329000812348","0.770004061738424","0.681965881397238"
"62","","0.903736799350122","0.88657595450853","0.658204711616572"
"63","","0.912266450040617","0.977761982128351","0.75984971567831"
"64","","0.844232331437855","0.733549959382616","0.806153533712429"
"65","","0.794272948822096","0.652619821283509","0.601441917140536"
"66","","0.869212022745735","0.652416734362307","0.642363931762794"
"67","","0.859463850528026","0.729183590576767","0.312652315190902"
"68","","0.570268074735987","0.83397644191714","0.616368805848903"
"69","","0.827477660438668","0.596669374492283","0.62235987002437"
"70","","0.801076360682372","0.690393988627132","0.630584890333063"
"71","","0.757920389926889","0.899370430544273","0.653635255889521"
"72","","0.783509341998375","0.695877335499594","0.687956945572705"
"73","","0.880787977254265","0.836108854589764","0.637185215272136"
"74","","0.729285134037368","0.873476848090983","0.627030869212023"
"75","","0.851035743298132","0.887794476035743","0.642465475223396"
"76","","0.956640942323314","0.86068237205524","0.660235580828595"
"77","","0.925467099918765","0.68836311941511","0.865048740861089"
"78","","0.781783103168156","0.811027619821283","0.685621445978879"
"79","","0.911961819658814","0.636372867587327","0.614439480097482"
"80","","0.720146222583266","0.702883834281072","0.670593013809911"
"81","","0.936230706742486","0.678818034118603","0.718318440292445"
"82","","0.862916328188465","0.836413484971568","0.662875710804224"
"83","","0.8213850528026","0.979792851340374","0.852863525588952"
"84","","0.67323314378554","0.746344435418359","0.650081234768481"
"85","","0.843419983753046","0.772542648253452","0.726949634443542"
"86","","0.930544272948822","0.812144597887896","0.65800162469537"
"87","","0.936129163281885","0.808489033306255","0.655767668562145"
"88","","0.901299756295695","0.731011372867587","0.596669374492283"
"89","","0.936535337124289","0.682981316003249","0.625101543460601"
"90","","0.933793663688058","0.681051990251828","0.646324126726239"
"91","","0.922623883021933","0.803208773354996","0.748578391551584"
"92","","0.868602761982128","0.780869212022746","0.695775792038993"
"93","","0.721263200649878","0.841186027619821","0.690901705930138"
"94","","0.56874492282697","0.811941510966694","0.788484971567831"
"95","","0.825040617384241","0.716693744922827","0.539805036555646"
"96","","0.831336311941511","0.674045491470349","0.739439480097482"
"97","","0.876929325751422","0.69019090170593","0.668155970755483"
"98","","0.703696181965881","0.922116165718928","0.604894394800975"
"99","","0.707859463850528","0.711007311129163","0.592404549147035"
"100","","0.859057676685621","0.686535337124289","0.539500406173842"
"101","","0.595146222583266","0.667242079610073","0.468013809910642"
"102","","0.671506904955321","0.664703493095045","0.65800162469537"
"103","","0.815901705930138","0.93480909829407","0.618602761982128"
"104","","0.769597887896019","0.592810722989439","0.569455727051178"
