"","","sample.id","genotype","","","2-Aminoisobutyric acid","4-Hydroxyphenylacetate","5-Aminopentanoate","Acetate","Adenine","Alanine","Alpha-ketoisovaleric acid","Arabinose","Asparagine","Aspartate","Beta-N-Acetylglucosamine","Butyrate","Chenodeoxycholic acid","Cholate","Choline","Cytidine monophosphate","D-Glucose","Dimethylamine","Ferulate","Formate","Fucose","Fumarate","Galactose","Glucose 1-phosphate","Glutamate","Glutamine","Glycine","Glycocholate","Guanosine monophosphate","Hexanoylcarnitine","Histamine","Histidine","Hypoxanthine","Inosine","Isobutyrate","Isoleucine","Isovalerate","L-Arginine","Lactate","Leucine","Lysine","Malonate","Mannose","Methionine","Methylamine","Nicotinate","Oxypurinol","Phenylacetic acid","Phenylalanine","Proline","Propionate","Ribose","Succinate","Taurine","Threonine","Thymine","Trimethylamine","Tryptophan","Tyrosine","UMP","Uracil","Urocanate","Valerate","Valine","Xanthine","Xylose","p-Cresol","?-Alanine"
"","","X1681","Control","","","-1.59680401","0.178504796","0.201982986","0.123072433","1.02685824","-0.42353187","-0.62056695","0.42801509","-0.4431715","0.2238245","0.27761248","1.1213901","1.11939306","0.14738494","-0.564353651","0.21278429","0.49840624","0.56483262","-0.052298135","-0.132406439","-0.71500514","0.64638726","0.31187228","-0.69698995","1.51499609","-0.007181001","-0.29508864","0.61745784","-1.258040456","-0.575920354","0.31954618","-2.194154","2.2286497","0.93664478","-0.090325657","-0.42596369","0.29290002","-0.02522506","-1.2190049","-0.5592535","-0.18044848","0.6620817","0.49458474","-0.01181083","0.8936826","1.95233303","1.42474649","0.5793017","-0.6320327","-0.15640183","1.29547529","0.5306412","0.50820557","-0.49363185","0.013658907","0.33329803","-0.01798574","-1.0566268","-0.57402221","1.06594014","0.74065503","0.734714032","1.2063057","-0.66324588","0.849336221","-0.23590705","0.376494","-2.45224743"
"","","X1695","Control","","","2.17539971","-0.07408571","-1.060861759","0.580160851","-0.88021521","-1.35317116","-0.87118257","1.33885492","-0.1136425","-0.8082377","0.53988191","0.5890649","0.24184901","-0.21908884","-0.135675228","0.58165798","0.02696482","1.02630507","0.971765014","0.469759993","0.56672958","-0.08305262","0.5298708","0.44774217","-1.48863012","1.077564778","-1.10385452","-0.34373912","0.979891877","1.29248443","-1.46666389","-0.2682669","0.9726887","0.41806773","-0.7443600674","-0.88374049","-0.93840521","0.73245395","0.4748098","-0.730843","-1.60366784","1.154297","0.66315541","-0.78698294","1.12285848","-1.29031469","-1.63260858","-1.4857679","-0.9747417","-2.75118067","0.82938227","0.8467022","-1.41774684","0.02127137","-0.847228147","-1.62870604","1.22878147","-0.6151021","-1.16722331","0.22822899","-0.97413883","-1.099036033","0.1897702","-1.00074117","-1.02731854","0.49935806","0.8183134","-1.01877162"
"","","X1694","Control","","","-0.57768157","0.712973769","0.968824386","-1.204645601","-1.66011679","-1.21799066","-0.46187701","0.97218435","-0.6546442","-0.4203321","0.71288073","-0.9103419","-0.97654389","1.07425002","0.472519483","0.85433155","0.31550548","1.77049087","1.679922992","0.905106946","0.90426945","-0.38138018","0.50742202","1.16308193","-1.07962036","0.363674121","-0.10984654","-0.37839234","0.162430227","1.991852654","0.29453718","1.0451472","0.7419797","0.71287907","1.328136709","-0.58042435","-1.3638","-0.38663914","1.0350074","-0.7675604","-0.49537701","0.2092064","1.63839746","-1.10318671","-2.06038997","-1.16472011","-1.72343948","-0.863445","-0.2972775","0.10554887","0.19856807","1.1117632","1.57718555","0.74156748","-0.264764648","-1.9844289","0.2597911","0.6634045","-0.68403808","-0.31693346","-1.71177414","-1.594854552","-1.5615869","-0.6004265","-1.193211197","1.52536258","0.3872568","-0.06991562"
"","","X1674a","FD","","","-1.37524024","-1.126371077","-1.665726841","0.274681126","1.40264721","0.66596776","0.85598678","-0.94692967","-0.5069497","-0.2883848","-0.32030241","2.0912178","-0.28265028","-1.59964221","1.346424703","0.01666247","1.57614866","0.11608752","-1.815819229","-0.956617833","-2.47837837","0.31914","-0.1912713","-0.11707473","0.73672093","0.753880338","0.5734653","-0.80760522","0.082854273","-0.636246784","-0.97044008","0.1312884","-0.4349071","2.33254358","-1.3914901813","0.37310763","1.08854045","-0.4326865","-0.9816871","0.7028929","0.71780932","-1.4975657","1.64163981","0.62627447","-0.11827899","1.53510924","2.36011489","0.4437928","-0.1784908","-0.11639135","1.12555156","0.5994178","-0.28130344","-0.98702447","0.872470282","0.69196922","-0.60807799","-0.9483768","0.22024057","1.69990927","1.45828851","1.162086472","1.6641255","0.26980707","1.247852589","-1.24141322","-1.5334256","1.70503584"
"","","X1671","FD","","","0.20196579","-1.200275175","-0.706086754","-0.640562545","0.7699821","1.99143639","1.60251404","-0.39350856","1.6639528","1.8028147","0.02402827","0.4608905","0.04677934","-0.85333087","-0.206597534","-1.23207704","0.57319228","-0.83111703","0.067879924","-1.125435829","-1.68120251","0.75653838","0.16582877","-1.07226899","1.37699417","1.643721145","1.51039021","0.48812147","-0.636808091","0.612676262","1.29650916","1.3664991","-0.7404856","0.55641027","-1.7604641278","2.01379609","0.60977485","1.10543441","-0.1787719","2.1328934","1.26735672","-1.6691705","-0.20665953","2.02167764","-0.32982701","0.29942725","-0.99293","0.2987646","1.9561144","2.12264258","-1.34643363","-0.4425485","-0.05112974","-1.10941018","2.628889299","0.65101856","-0.95187881","1.4104663","1.89613172","-1.75059811","0.82050106","1.895883799","0.2727765","1.90417298","0.805181555","-0.57707142","-3.0224386","0.06387223"
"","","X1650","FD","","","-1.01568181","-0.839312606","-1.258147156","-0.752192381","1.59346264","1.35856327","1.6448724","-1.22351326","-1.0682335","-1.06014","0.65245335","0.7865669","-0.1291024","-1.63688722","1.043861611","-0.44180163","1.80008127","-1.13590575","-1.616314972","-0.858076527","-1.05147854","1.29204196","0.28282139","0.42186324","1.15652688","0.509323568","0.86346198","-0.3445873","1.102858794","-1.627704878","-0.92405461","-1.3113722","0.9907174","2.31486645","-0.6079212489","0.59829006","1.03041708","-0.24235116","-1.6495653","0.5984471","0.74143105","-2.3878236","1.79241349","0.77487952","0.27600526","1.45594877","0.15703686","1.2306337","0.3591911","0.7510945","-0.3780197","0.8504322","-0.01993296","-1.77084417","0.538115789","1.93094064","-1.27193993","-0.4954312","0.65622821","0.01611862","1.75967045","1.180357618","0.8729833","0.74067243","1.744564232","-1.22617915","-1.2662767","1.77882122"
"","","X1673","FD","","","1.49763737","-0.258013571","-0.512269813","-0.278478521","0.33624832","1.31254123","1.82352373","-0.07428807","-0.2762035","0.7463592","0.00984467","-1.1593603","0.35422144","0.34327723","-0.19239687","1.32552217","0.31026673","0.07012372","1.498981982","0.307391584","0.59893765","0.46837822","0.42954037","0.40043694","0.45121491","0.685035836","0.50070429","-0.11751707","-0.008170402","1.156912338","0.88281064","1.4222715","-1.7761127","0.59805911","1.1691639917","0.67569","-1.10155336","0.78784953","0.1978212","0.9585866","1.17649959","-0.1496122","0.72921792","1.16032952","1.37974435","-0.86516804","-1.53646111","2.1595383","0.7693423","0.35553345","-2.04930835","0.8920565","-0.18838138","0.54984178","0.214580117","0.20943146","-0.02856976","0.5500043","1.24441839","0.61606573","-0.21286135","0.213193411","-0.8775051","0.69923132","0.565645373","1.35103066","1.1757958","-0.20627534"
"","","X1655","FD","","","-0.61894672","-0.297470265","-0.762242281","-1.354068785","0.31758254","1.40153814","0.80209955","0.78658971","0.2974901","1.3002463","0.5686849","0.435055","-1.47786019","0.36229608","-0.156116266","1.64315321","0.47123016","-1.53864098","-0.711939794","-0.836134415","0.11296125","-0.69194523","0.45076012","0.73916967","0.883563","0.992963275","1.22899056","-0.85798846","1.07022785","0.567374437","-0.3356928","1.1121519","0.5811447","0.45320449","-1.1047125511","1.56716868","-0.38664936","1.02039964","0.1730554","1.4926023","1.13503678","-0.6489605","-0.49989092","1.60955278","0.07656459","0.31974316","0.23259446","-0.839216","1.5161298","0.58322291","-0.59830953","0.3809801","-0.77753219","-0.26947798","1.23782447","-0.47577514","-1.2428387","1.3553161","1.50596885","1.09291412","-0.25664364","0.387984884","0.2547818","1.52304195","-0.173384597","1.86487036","-1.0124956","-0.63005616"
"","","X1657","FD","","","-1.20398358","-0.006035911","0.22533586","-0.035964201","0.10555848","-0.4488664","1.44563063","0.09257902","0.5080675","0.1645106","-0.69881394","-1.515613","-0.26400532","0.10324315","-3.62090711","0.41669416","-0.26086613","-0.95735482","1.064030569","0.81889455","0.51580156","-1.25727776","0.53174413","0.89855706","-0.2926014","-1.193385405","-3.154427","-1.09993666","-0.255170937","0.101280892","-0.29976954","0.5607424","-0.2819012","-0.07673314","-0.6800344347","0.0487311","-1.09379481","1.10936568","1.4293371","0.3218455","-0.49777065","-0.1670573","0.42782214","0.71841525","2.56658779","-1.14030246","0.06540659","0.492371","0.5127268","0.18166531","-2.02243422","1.648879","-1.13465365","0.32616009","-1.221762122","0.03260837","0.06729809","0.2861364","0.56609957","0.10704127","0.22582355","0.856128038","-1.4555788","0.50275891","0.083646415","1.21741233","0.1906276","-0.35182976"
"","","X1778","FD","","","-0.09272926","-1.710149819","1.261274446","1.450650501","-0.79580408","-0.18112124","-0.32204247","-0.9626178","1.0230702","0.5635748","-1.49847076","-1.7988435","-0.7146326","0.93006126","0.094493592","-2.00134902","-1.16703619","0.01554379","0.948022837","0.004531517","-0.24474739","-0.86179415","-1.25693426","-0.05764092","-0.02319024","-0.489348478","0.93612846","-0.81708345","0.651448089","0.087421145","0.8491143","0.9632668","0.6642189","-0.58767998","-1.9734133876","0.38323418","-1.09187157","-1.11681895","1.147917","0.2963592","0.68949947","0.1331599","-0.90172098","-0.09975203","-1.32513301","-0.95838303","0.04267364","-0.8117502","0.2839485","0.37926853","-1.64092498","-1.8586979","-0.69855223","0.83811367","0.071996717","-0.12317929","-0.89377244","0.7600011","0.58716822","0.2740929","-0.56459899","-0.001552515","-1.1129181","0.44259952","-0.778498652","0.02581058","0.6075026","0.80750019"
"","","X1779","FD","","","-0.51417877","-0.64478349","0.329728101","-0.001112305","-0.03084696","0.11130124","0.06517882","1.01732987","-0.311501","0.2495449","0.0476596","-0.4429273","-1.15681316","-0.11577273","0.90469261","-0.56107592","0.61871915","0.87429939","1.008600741","-0.055526194","-0.14459723","-0.1332525","0.36068452","0.01712643","-0.35851015","-0.15914454","0.62706634","-0.46810453","-0.624162824","0.796412608","0.75120774","0.964872","0.33435","-0.82941817","-0.1052719571","0.12621516","-1.62269211","0.51935445","1.0127021","0.3010619","0.37236673","0.3140604","-0.17902465","-0.45930741","0.3462763","-0.97594561","0.6671845","-1.2214423","0.3557072","1.0324318","-0.81243659","0.7307372","0.44205738","0.59681509","-0.166400598","-0.14794839","0.04602757","0.3692998","0.29654344","-0.77231185","-0.19901436","-1.261083045","-1.1420306","0.20566489","0.017474363","0.53113788","-0.2379173","-0.14276418"
"","","X1664","FD","","","1.24224977","2.660611878","1.225615774","0.928835051","-0.31542313","-0.74751464","0.76122769","0.74076036","-0.3833296","1.2252367","-0.01794153","-0.7173136","-0.11817945","-0.03209348","0.652586018","0.97993482","-0.55165322","0.16818812","0.312912542","0.864615411","0.08277146","1.65463935","0.06013865","0.1233625","0.03985732","0.880974232","-0.91114695","0.18143712","1.355470985","0.089663229","0.81133901","0.4868451","0.4970052","-0.15563711","-0.0936515551","-1.44946781","0.73760954","-0.84990007","-1.324559","-0.5477187","-0.15249324","1.3284809","-0.17205157","-0.37842202","-0.65323483","0.3421074","0.59794431","0.2993551","-0.9886337","-0.64467402","0.88959625","-0.5521873","1.91722223","1.09345203","-0.883906839","0.23613703","1.5476426","0.1731207","-1.2977576","-1.11444231","-0.53907742","-0.961460553","-0.4166436","-0.85281073","-0.66878861","-0.13310809","0.5192025","1.77043541"
"","","X1666a","FD","","","-0.29733884","-1.962130124","-1.866118685","0.495458855","1.35366691","1.20680072","-1.45262187","-1.62198056","-2.0511961","-0.9675892","0.10732651","1.6080129","-1.64109513","-3.14611337","0.859817717","-1.82532566","0.43028921","-0.4337463","-1.548038504","-2.769922298","-1.62429755","0.86866108","0.09918367","0.24511185","0.16812369","-2.489584243","0.93132807","-2.27182285","-0.335987539","-0.817170118","-1.97446404","-1.0618644","-1.8440009","0.70905887","0.6879109445","0.94244685","1.31404272","-0.16318981","-0.737302","0.7366677","1.07533879","-0.5581023","0.83382777","0.7021313","-0.42133304","1.70507664","-0.24766771","1.4223239","0.1094243","0.88068066","0.43752025","0.335702","0.40552838","-2.56291028","1.367124015","1.81063288","-0.42920622","-1.340767","0.28682671","-2.3489254","1.51977597","-0.170883213","0.3486078","0.98399065","1.726946045","-1.91326479","-0.4574236","1.5162866"
"","","X1682a","FD","","","0.56161458","0.365265312","-0.008637934","2.161778597","0.15285086","-0.6979818","-0.49956399","-0.68206006","-0.603395","-0.6057027","-1.87450081","1.1541213","0.14641478","-0.73306761","-0.285092787","-0.55286771","-1.5179373","-1.20131683","0.006658351","0.52597124","-0.37680808","-2.88904493","-2.28640045","-0.15552142","-0.27058151","-0.642466142","-0.3315331","-0.2915844","-1.373931983","-1.867544994","-0.18367949","0.3402833","-0.7101688","-0.22560131","-0.0689092673","-1.29439759","1.58255323","-2.41540117","-0.1571711","-0.9439534","-0.5400772","0.2393082","-0.64014586","-1.98665758","-0.10468313","0.29439277","-0.36772249","0.2311676","-1.1971835","-0.43795167","1.5012892","-2.2677763","-0.69368108","-1.22772928","-1.610700934","0.42566578","0.44592659","-1.0691755","-0.85416037","0.30981417","-0.07811162","0.515420603","1.5368772","-1.35737616","-0.332463066","-1.49472646","0.264412","0.85793586"
"","","X1684","FD","","","1.17520849","0.37557057","0.732903504","-0.231372141","-0.59364055","0.36854089","-0.23327862","0.76864196","1.279778","0.9137257","-0.13288619","-0.2113571","1.05074104","0.90004822","-0.092633671","1.26278333","-0.06128237","0.32540729","1.065782708","0.280672196","-0.04205623","0.30284547","0.24493106","-0.14384877","0.06386892","1.25113185","0.16217871","0.91685978","-1.700977909","-0.0653171","1.49230311","-0.3643523","0.1289894","-0.46527424","-0.5966520678","0.25419198","1.3050832","0.41223803","0.3773038","-0.1040601","0.11886554","1.3790342","-0.05351701","-0.39335223","0.18919009","-0.62858924","-0.37414205","-1.0249548","0.64095","0.52814157","0.60231464","0.3122848","-0.07442459","1.19240061","0.229946827","-0.15926928","1.38716094","0.5924428","0.57729484","0.79083451","-0.81860632","0.347922814","-0.9405164","0.34070235","-0.613549048","1.4292617","0.273422","-0.75092238"
