"","Otu0001","Otu0002","Otu0003","Otu0004","Otu0005","Otu0006","Otu0007","Otu0008","Otu0009","Otu0010","Otu0011","Otu0012","Otu0013","Otu0014","Otu0015","Otu0016","Otu0017","Otu0018","Otu0019","Otu0020","Otu0021","Otu0022","Otu0023","Otu0024","Otu0025","Otu0026","Otu0027","Otu0028","Otu0029","Otu0030","Otu0031","Otu0032","Otu0033","Otu0034","Otu0035","Otu0036","Otu0037","Otu0038","Otu0039","Otu0040","Otu0041","Otu0042","Otu0043","Otu0044","Otu0045","Otu0046","Otu0047","Otu0048","Otu0049","Otu0050","Otu0051","Otu0052","Otu0053","Otu0054","Otu0055","Otu0056","Otu0057","Otu0058","Otu0059","Otu0060","Otu0061","Otu0062","Otu0063","Otu0064","Otu0065","Otu0066","Otu0067","Otu0068","Otu0069","Otu0070","Otu0071","Otu0072","Otu0073","Otu0074","Otu0075","Otu0076","Otu0077","Otu0078","Otu0079","Otu0080","Otu0081","Otu0082","Otu0083","Otu0084","Otu0085","Otu0086","Otu0087","Otu0088","Otu0089","Otu0090","Otu0091","Otu0092","Otu0093","Otu0094","Otu0095","Otu0096","Otu0097","Otu0098","Otu0099","Otu0100","Otu0101","Otu0102","Otu0103","Otu0104","Otu0105","Otu0106","Otu0107","Otu0108","Otu0109","Otu0110","Otu0111","Otu0112","Otu0113","Otu0114","Otu0115","Otu0116","Otu0117","Otu0118","Otu0119","Otu0120","Otu0121","Otu0122","Otu0123","Otu0124","Otu0125","Otu0126","Otu0127","Otu0128","Otu0129","Otu0130","Otu0131","Otu0132","Otu0133","Otu0134","Otu0135","Otu0136","Otu0137","Otu0138","Otu0139","Otu0140","Otu0141","Otu0142","Otu0143","Otu0144","Otu0145","Otu0146","Otu0147","Otu0148","Otu0149","Otu0150","Otu0151","Otu0152","Otu0153","Otu0154","Otu0155","Otu0156","Otu0157","Otu0158","Otu0159","Otu0160","Otu0161","Otu0162","Otu0163","Otu0164","Otu0165","Otu0166","Otu0167","Otu0168","Otu0169","Otu0170","Otu0171","Otu0172","Otu0173","Otu0174","Otu0175","Otu0176","Otu0177","Otu0178","Otu0179","Otu0180","Otu0181","Otu0182","Otu0183","Otu0184","Otu0185","Otu0186","Otu0187","Otu0188","Otu0189","Otu0190","Otu0191","Otu0192","Otu0193","Otu0194","Otu0195","Otu0196","Otu0197","Otu0198","Otu0199","Otu0200","Otu0201","Otu0202","Otu0203","Otu0204","Otu0205","Otu0206","Otu0207","Otu0208","Otu0209","Otu0210","Otu0211","Otu0212","Otu0213","Otu0214","Otu0215","Otu0216","Otu0217","Otu0218","Otu0219","Otu0220","Otu0221","Otu0222","Otu0223","Otu0224","Otu0225","Otu0226","Otu0227","Otu0228","Otu0229","Otu0230","Otu0231","Otu0232","Otu0233","Otu0234","Otu0235","Otu0236","Otu0237","Otu0238","Otu0239","Otu0240","Otu0241","Otu0242","Otu0243","Otu0244","Otu0245","Otu0246","Otu0247","Otu0248","Otu0249","Otu0250","Otu0251","Otu0252","Otu0253","Otu0254","Otu0255","Otu0256","Otu0257","Otu0258","Otu0259","Otu0260","Otu0261","Otu0262","Otu0263","Otu0264","Otu0265","Otu0266","Otu0267","Otu0268","Otu0269","Otu0270","Otu0271","Otu0272","Otu0273","Otu0274","Otu0275","Otu0276","Otu0277","Otu0278","Otu0279","Otu0280","Otu0281","Otu0282","Otu0283","Otu0284","Otu0285","Otu0286","Otu0287","Otu0288","Otu0289","Otu0290","Otu0291","Otu0292","Otu0293","Otu0294","Otu0295","Otu0296","Otu0297","Otu0298","Otu0299","Otu0300","Otu0301","Otu0302","Otu0303","Otu0304","Otu0305","Otu0306","Otu0307","Otu0308","Otu0309","Otu0310","Otu0311","Otu0312","Otu0313","Otu0314","Otu0315","Otu0316","Otu0317","Otu0318","Otu0319","Otu0320","Otu0321","Otu0322","Otu0323","Otu0324","Otu0325","Otu0326","Otu0327","Otu0328","Otu0329","Otu0330","Otu0331","Otu0332","Otu0333","Otu0334","Otu0335","Otu0336","Otu0337","Otu0338","Otu0339","Otu0340","Otu0341","Otu0342","Otu0343","Otu0344","Otu0345","Otu0346","Otu0347","Otu0348","Otu0349","Otu0350","Otu0351","Otu0352","Otu0353","Otu0354","Otu0355","Otu0356","Otu0357","Otu0358","Otu0359","Otu0360","Otu0361","Otu0362","Otu0363","Otu0364","Otu0365","Otu0366","Otu0367","Otu0368","Otu0369","Otu0370","Otu0371","Otu0372","Otu0373","Otu0374","Otu0375","Otu0376","Otu0377","Otu0378","Otu0379","Otu0380","Otu0381","Otu0382","Otu0383","Otu0384","Otu0385","Otu0386","Otu0387","Otu0388","Otu0389","Otu0390","Otu0391","Otu0392","Otu0393"
"FD016",858,130,78,437,45,63,145,675,39,223,170,275,61,17,1,0,58,4,37,22,3,12,9,0,0,25,123,810,1455,1,204,148,0,264,30,543,0,0,0,67,0,2,61,0,8,0,24,33,21,2,17,0,1,1,0,0,1,47,3,0,2,0,0,0,0,67,84,0,0,0,4,0,2,0,52,0,0,0,20,8,64,4,0,0,47,0,4,152,0,4,19,102,0,0,0,47,0,1,0,3,0,0,0,0,0,0,0,303,6,0,104,31,1,3,1,65,0,27,0,0,8,6,3,244,0,1,80,0,0,0,0,0,14,38,0,0,0,1,16,0,0,0,0,0,0,0,0,0,4,0,0,0,9,0,1,0,3,0,0,364,0,1,0,0,0,0,1,63,1,0,9,0,0,20,0,10,0,0,1,0,0,0,29,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,32,0,1,7,0,0,1,1,0,1,0,1,0,0,0,0,11,0,2,0,2,30,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,20,5,0,85,0,0,38,0,1,1,0,0,0,0,0,0,0,3,0,0,15,0,0,0,0,0,0,1,0,0,1,8,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,12,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,23,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,2,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"FD017",615,903,1029,251,0,60,4,847,113,2170,0,159,0,0,0,0,451,0,8,21,12,5,0,0,0,147,444,0,0,16,0,17,15,97,0,0,16,19,0,10,0,181,51,0,14,0,16,44,4,4,0,0,0,3,0,1,8,0,22,7,21,1,0,0,0,82,0,0,125,0,42,1,158,0,0,4,8,1,0,0,0,25,0,4,24,40,8,0,0,0,7,151,8,0,4,52,0,1,0,7,0,9,0,0,0,1,0,0,0,0,0,0,5,11,0,0,154,0,7,0,0,6,11,0,0,13,57,0,0,0,0,0,38,0,1,0,329,0,0,0,0,0,0,5,0,17,8,7,7,0,5,1,6,0,0,0,0,0,0,0,0,0,1,0,35,0,0,0,2,0,0,2,0,0,0,12,10,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,35,0,0,0,0,0,1,0,248,0,15,0,0,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,18,0,29,0,0,0,0,12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,2,5,0,0,0,18,0,0,1,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,2,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"FD018",0,3054,0,0,0,0,0,3,0,0,0,0,980,0,0,0,0,0,0,0,3109,99,0,0,1473,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,1,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,1,0,0,166,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,3,293,0,353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0
"FD019",882,225,123,1109,249,109,1,5,838,40,253,119,47,60,9,48,63,121,114,92,24,16,83,437,167,29,28,14,0,35,66,79,0,0,20,0,0,0,0,0,751,5,15,0,0,0,40,0,11,38,118,6,0,0,0,0,4,0,233,2,4,0,0,0,0,6,14,1,0,1319,0,0,300,0,0,3,1,21,41,190,20,3,0,0,0,1,178,2,0,14,74,0,0,0,367,3,0,0,2,2,0,1,0,0,2,96,0,6,13,8,4,2,2,10,0,0,0,0,0,0,0,0,0,0,1,4,5,0,0,0,0,0,0,0,0,1,0,0,20,0,0,0,13,0,0,0,0,0,4,0,0,0,0,0,3,34,3,6,4,0,0,0,5,0,0,0,5,0,175,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,28,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,7,0,10,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,22,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,14,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FD020",1745,424,328,1223,22,201,0,126,300,163,0,0,144,171,35,0,113,225,168,324,19,56,135,811,13,28,0,3,0,10,48,209,7,89,12,0,6,0,0,43,369,6,57,0,13,0,75,0,129,29,0,49,0,1,0,0,2,1,0,44,54,1,0,0,0,122,0,2,0,0,0,2,20,0,45,12,10,26,72,343,0,7,0,0,0,0,15,12,0,34,33,0,4,0,80,1,0,0,0,27,234,15,0,0,1,8,6,0,29,62,0,0,42,49,84,2,0,1,8,0,22,0,11,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,2,0,36,0,0,2,0,0,0,0,0,0,6,0,0,0,13,0,13,0,4,0,28,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,6,0,0,0,0,51,0,0,0,0,0,0,1,8,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FD021",2127,731,495,983,670,158,62,301,108,138,0,218,75,60,0,319,91,106,252,63,0,13,1,534,16,102,366,75,0,46,0,6,3,0,0,0,9,0,0,0,3,0,156,0,0,0,0,0,48,39,69,0,33,8,0,0,6,0,19,1,46,5,1,13,0,58,1,0,0,0,128,0,1,0,0,232,2,20,0,0,0,0,241,4,0,0,2,10,0,11,0,0,0,0,0,9,0,0,0,16,0,36,0,0,0,1,5,0,1,0,0,1,7,7,0,0,0,0,0,0,0,26,1,0,0,17,11,0,0,0,0,0,25,0,0,48,0,0,0,0,0,2,0,8,0,0,0,4,18,0,2,0,0,0,5,0,4,0,19,0,0,0,0,0,3,0,0,0,0,0,5,0,0,6,163,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,4,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,6,0,6,0,0,0,0,0,0,0,0,11,0,2,0,7,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"FD022",1473,673,305,1107,982,191,1,378,203,152,0,167,60,93,0,246,59,218,501,27,0,65,0,685,1,9,219,41,0,7,0,8,33,0,0,0,1,0,0,2,41,3,151,0,0,0,0,0,80,42,76,0,105,3,0,0,9,0,55,6,24,8,0,36,0,39,0,0,0,0,0,1,1,0,0,216,25,98,0,0,0,0,402,6,0,0,0,5,0,18,0,0,1,0,0,2,0,4,0,1,0,43,0,0,0,0,1,0,3,0,0,5,3,18,0,3,0,0,0,0,0,35,0,0,4,18,8,0,0,0,0,0,19,0,0,0,0,0,0,0,18,3,0,1,0,0,0,22,9,0,2,0,0,0,8,0,8,0,33,0,0,0,6,0,2,0,2,0,0,0,0,0,4,0,95,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,10,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,1,0,0,0,0,10,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"FD023",330,165,795,502,148,63,10,148,154,119,0,264,67,66,146,0,4,96,116,98,3,12,149,0,24,106,86,886,1,5,52,218,24,249,105,179,1,0,0,89,6,41,0,538,0,0,1,123,5,34,9,0,4,1,0,0,0,0,26,4,24,7,0,0,1,4,102,0,0,0,39,2,0,0,0,2,0,26,116,5,16,7,0,0,7,0,0,99,193,13,6,0,3,0,13,6,0,0,35,23,0,2,0,0,0,5,0,0,3,2,0,16,21,51,0,2,0,0,0,672,70,3,1,0,0,32,45,0,0,6,0,2,35,0,0,51,0,0,36,0,0,64,62,21,0,7,0,3,7,334,0,0,18,0,14,4,35,5,24,0,0,0,4,42,3,1,0,0,0,0,55,29,0,4,0,1,5,0,1,0,0,0,0,0,5,0,81,0,0,19,0,0,115,0,5,0,0,2,0,0,1,10,0,0,0,0,1,14,0,22,9,0,0,0,0,0,11,2,3,0,6,0,0,1,0,6,12,2,0,1,37,0,0,122,7,0,4,0,1,11,0,0,0,0,6,67,0,0,0,0,0,0,8,9,0,12,0,21,5,0,1,0,1,0,0,0,0,82,0,0,0,7,2,0,0,0,0,5,0,6,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,111,0,1,2,0,0,49,0,2,0,0,0,3,0,10,3,0,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,0,0,0,6,0,13,1,2,0,0,0,0,11,0,0,0,1,0,0,4,0,0,0,0,0,17,0,2,0,0,0,0,0,2,4,0,0,0,0,0,3,12,0,0,0,1,0,0,0,0,0,8,0,0,0,0
"FD024",560,311,534,381,31,119,9,225,200,242,0,265,21,25,58,0,58,9,5,13,4,0,125,0,0,84,145,846,0,2,39,342,3,119,4,531,6,0,0,476,12,2,34,674,275,0,7,21,0,26,25,83,0,0,0,0,0,283,3,5,6,1,0,0,0,6,31,0,0,0,0,0,0,0,22,12,0,34,49,2,29,7,48,0,131,0,0,161,98,4,7,0,0,0,49,2,0,0,3,33,0,6,0,0,0,2,0,0,17,0,1,2,3,38,0,6,1,0,0,354,72,1,0,0,0,4,46,0,0,21,27,1,57,1,0,16,0,10,5,0,0,0,1,3,0,9,0,6,10,73,1,0,9,0,6,6,21,8,10,0,0,0,4,112,0,0,1,0,9,0,47,6,0,28,0,1,2,0,1,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,8,0,0,2,0,0,0,1,0,0,0,0,0,4,0,4,4,0,0,0,0,0,5,0,4,0,1,4,0,8,0,2,22,1,0,0,2,0,0,55,139,0,3,0,2,4,0,0,0,0,7,26,0,0,89,0,0,0,0,0,0,22,0,249,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,1,0,0,0,0,0,0,1,3,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,34,0,0,0,0,0,2,11,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,14,0,0,0,1,1,0,0,0,3,2,0,3,1,0,0,0,0,16,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,0,1,0,0,0,0,0,3,0,0,0,0,0,0
"FD025",714,161,426,343,133,162,49,337,74,249,100,1,67,38,145,0,197,29,119,52,1,1,18,0,0,157,0,313,0,44,103,298,3,39,0,92,13,0,0,0,45,0,73,0,0,0,60,30,108,13,0,136,2,3,0,618,0,0,0,8,5,11,0,0,1693,46,114,1,0,0,49,0,23,0,33,194,13,1,49,0,0,24,0,0,0,7,2,49,0,20,14,0,3,0,0,6,23,4,32,3,0,0,0,0,0,0,1,29,1,30,2,5,0,0,0,14,0,0,11,0,145,17,0,0,0,16,11,0,0,0,0,0,39,567,0,25,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,14,0,0,0,20,1,0,0,0,0,0,0,9,0,1,0,2,0,7,0,1,0,0,2,0,0,14,0,9,363,0,0,2,0,0,0,0,3,0,0,0,0,32,0,30,2,0,0,0,1,0,0,0,0,0,21,0,4,5,0,0,0,0,0,0,6,3,0,0,0,0,0,0,5,84,38,0,4,0,0,0,25,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,1,0,0,0,0,98,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13,0,0,0,0,2,1,0,0,0,42,2,1,0,0,9,0,8,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,7,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0
"FD028",2107,1193,613,1,0,495,936,0,74,0,1,1,154,0,392,1,501,142,66,104,262,6,0,0,9,1,1,0,0,164,0,0,194,51,366,1,23,0,0,36,0,152,0,0,0,0,117,0,0,70,1,0,510,1,0,1,7,0,3,37,46,51,1,0,0,48,0,0,0,0,0,30,1,0,46,0,0,2,0,26,0,0,0,1,0,0,0,1,0,0,0,0,23,5,0,0,0,5,0,0,0,103,0,0,0,1,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,174,0,14,0,0,0,255,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,12,0,8,0,19,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,0,0,2,3,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"FD029",875,1266,132,26,0,413,1,1,1,100,290,195,93,0,319,0,238,0,91,0,23,401,0,0,144,11,0,8,0,117,0,0,109,60,0,0,53,0,0,121,0,258,0,0,0,0,0,0,2,388,0,0,14,886,0,0,217,0,0,26,17,140,131,0,0,1,0,0,0,0,0,47,0,0,31,0,15,0,0,0,0,0,1,24,0,0,0,36,0,0,0,0,325,115,0,0,0,50,0,0,0,1,0,0,4,17,0,0,0,0,0,84,1,0,0,0,0,0,85,0,0,0,13,0,78,0,37,0,0,0,0,28,0,0,593,0,0,0,0,0,0,0,0,0,0,0,189,0,0,0,2,0,45,0,1,0,0,0,0,0,0,0,17,0,33,3,128,0,0,0,0,0,27,0,0,0,0,2,3,0,0,0,0,0,9,276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,128,0,15,46,0,0,13,0,0,0,9,0,0,0,0,0,6,31,0,0,0,31,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"FD030",1544,410,569,429,137,113,624,292,632,251,0,474,91,198,138,1,163,222,158,54,9,113,283,0,1,61,458,34,0,38,26,153,2,109,0,161,0,0,363,12,22,27,0,0,128,0,41,37,1,17,6,0,1,3,0,0,2,0,17,13,101,5,301,0,0,28,0,0,0,0,96,0,3,0,1,58,1,0,59,25,0,57,0,0,58,0,3,0,0,7,17,0,2,0,1,27,0,0,19,3,0,32,0,0,1,6,0,0,18,1,0,6,12,17,0,0,0,0,8,0,0,22,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,1,5,0,4,0,0,6,0,0,0,8,0,0,0,0,3,0,0,0,10,7,0,0,0,2,0,0,0,5,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,1,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,9,0,0,0,5,0,0,2,0,4,0,0,0,8,0,0,0,1,0,0,0,0,0,0,5,0,5,8,0,0,0,0,1,0,0,0,0,0,0,0,0,11,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,2,1,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,4,1,0,0,1,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,1,0,0,0,0,0,0,20,0,4,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FD031",1229,655,494,84,28,15,136,2257,45,543,0,72,128,0,4,0,126,3,44,58,0,2,8,0,384,11,242,354,0,152,0,10,14,14,0,227,4,0,0,17,26,1,96,0,0,0,0,6,14,0,4,0,7,34,76,0,0,36,0,83,86,23,2,0,0,36,0,10,0,0,5,16,0,0,95,1,0,0,0,0,0,0,0,2,0,0,0,27,0,0,0,53,31,0,27,14,35,0,0,36,0,0,1,0,0,5,3,1,1,1,23,44,11,0,0,3,0,0,19,0,0,0,13,0,14,3,66,0,0,0,0,0,0,15,27,0,0,0,0,0,29,130,2,1,0,15,0,0,0,0,0,0,25,0,8,0,0,0,3,0,0,0,20,0,2,44,0,0,0,0,0,148,2,0,1,1,0,56,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,8,0,0,30,0,0,3,6,0,0,0,0,73,0,0,67,0,0,9,2,0,0,4,1,0,3,8,0,0,0,89,0,0,0,0,0,0,0,0,33,0,0,2,0,3,1,0,89,0,0,3,0,0,0,0,0,0,0,33,1,0,0,0,0,0,0,3,0,92,0,0,0,0,0,0,0,16,30,11,0,0,0,0,0,0,0,0,0,0,14,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,1,0,1,10,0,0,0,0,0,0,0,0,0,0,0,45,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,8,0,0,8,2,1,0,0,0,0,0,0,3,56,0,0,0,0,0,4,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,3,19
